,pontos,dia,horarios
0,TERMINAL CAPAO RASO,DIA ÚTIL,17:00
1,TERMINAL CAPAO RASO,DIA ÚTIL,17:15
2,TERMINAL CAPAO RASO,DIA ÚTIL,17:30
3,TERMINAL CAPAO RASO,DIA ÚTIL,17:45
4,TERMINAL CAPAO RASO,DIA ÚTIL,18:00
5,TERMINAL CAPAO RASO,DIA ÚTIL,18:15
6,TERMINAL CAPAO RASO,DIA ÚTIL,18:30
7,TERMINAL CAPAO RASO,DIA ÚTIL,18:45
8,TERM.CIC-VAZIO,DIA ÚTIL,17:12
9,TERM.CIC-VAZIO,DIA ÚTIL,17:27
10,TERM.CIC-VAZIO,DIA ÚTIL,17:42
11,TERM.CIC-VAZIO,DIA ÚTIL,17:57
12,TERM.CIC-VAZIO,DIA ÚTIL,18:12
13,TERM.CIC-VAZIO,DIA ÚTIL,18:27
14,TERM.C.RASO-VAZIO,DIA ÚTIL,06:18
15,TERM.C.RASO-VAZIO,DIA ÚTIL,06:31
16,TERM.C.RASO-VAZIO,DIA ÚTIL,06:49
17,TERM.C.RASO-VAZIO,DIA ÚTIL,07:04
18,TERM.C.RASO-VAZIO,DIA ÚTIL,07:18
19,TERM.C.RASO-VAZIO,DIA ÚTIL,07:32
20,TERM.CIC/TERM.C.RASO,DIA ÚTIL,06:06
21,TERM.CIC/TERM.C.RASO,DIA ÚTIL,06:22
22,TERM.CIC/TERM.C.RASO,DIA ÚTIL,06:38
23,TERM.CIC/TERM.C.RASO,DIA ÚTIL,06:52
24,TERM.CIC/TERM.C.RASO,DIA ÚTIL,07:06
25,TERM.CIC/TERM.C.RASO,DIA ÚTIL,07:20
26,TERM.CIC/TERM.C.RASO,DIA ÚTIL,07:35
27,TERM.CIC/TERM.C.RASO,DIA ÚTIL,07:51
