,pontos,dia,horarios
0,TERMINAL CIC,DOMINGO,05:30
1,TERMINAL CIC,DOMINGO,05:52
2,TERMINAL CIC,DOMINGO,06:14
3,TERMINAL CIC,DOMINGO,06:36
4,TERMINAL CIC,DOMINGO,06:58
5,TERMINAL CIC,DOMINGO,07:20
6,TERMINAL CIC,DOMINGO,07:42
7,TERMINAL CIC,DOMINGO,08:04
8,TERMINAL CIC,DOMINGO,08:26
9,TERMINAL CIC,DOMINGO,08:48
10,TERMINAL CIC,DOMINGO,09:10
11,TERMINAL CIC,DOMINGO,09:33
12,TERMINAL CIC,DOMINGO,09:56
13,TERMINAL CIC,DOMINGO,10:19
14,TERMINAL CIC,DOMINGO,10:42
15,TERMINAL CIC,DOMINGO,11:05
16,TERMINAL CIC,DOMINGO,11:29
17,TERMINAL CIC,DOMINGO,11:53
18,TERMINAL CIC,DOMINGO,12:17
19,TERMINAL CIC,DOMINGO,12:41
20,TERMINAL CIC,DOMINGO,13:05
21,TERMINAL CIC,DOMINGO,13:29
22,TERMINAL CIC,DOMINGO,13:53
23,TERMINAL CIC,DOMINGO,14:17
24,TERMINAL CIC,DOMINGO,14:41
25,TERMINAL CIC,DOMINGO,15:05
26,TERMINAL CIC,DOMINGO,15:29
27,TERMINAL CIC,DOMINGO,15:54
28,TERMINAL CIC,DOMINGO,16:19
29,TERMINAL CIC,DOMINGO,16:44
30,TERMINAL CIC,DOMINGO,17:09
31,TERMINAL CIC,DOMINGO,17:34
32,TERMINAL CIC,DOMINGO,17:59
33,TERMINAL CIC,DOMINGO,18:24
34,TERMINAL CIC,DOMINGO,18:49
35,TERMINAL CIC,DOMINGO,19:14
36,TERMINAL CIC,DOMINGO,19:41
37,TERMINAL CIC,DOMINGO,20:08
38,TERMINAL CIC,DOMINGO,20:35
39,TERMINAL CIC,DOMINGO,21:05
40,TERMINAL CIC,DOMINGO,21:35
41,TERMINAL CIC,DOMINGO,22:05
42,TERMINAL CIC,DOMINGO,22:34
43,TERMINAL CIC,DOMINGO,23:03
44,TERMINAL CIC,DOMINGO,23:32
45,ESTACAO TUBO TIRADENTES,DOMINGO,06:00
46,ESTACAO TUBO TIRADENTES,DOMINGO,06:22
47,ESTACAO TUBO TIRADENTES,DOMINGO,06:44
48,ESTACAO TUBO TIRADENTES,DOMINGO,07:06
49,ESTACAO TUBO TIRADENTES,DOMINGO,07:28
50,ESTACAO TUBO TIRADENTES,DOMINGO,07:50
51,ESTACAO TUBO TIRADENTES,DOMINGO,08:12
52,ESTACAO TUBO TIRADENTES,DOMINGO,08:34
53,ESTACAO TUBO TIRADENTES,DOMINGO,08:56
54,ESTACAO TUBO TIRADENTES,DOMINGO,09:19
55,ESTACAO TUBO TIRADENTES,DOMINGO,09:42
56,ESTACAO TUBO TIRADENTES,DOMINGO,10:05
57,ESTACAO TUBO TIRADENTES,DOMINGO,10:28
58,ESTACAO TUBO TIRADENTES,DOMINGO,10:51
59,ESTACAO TUBO TIRADENTES,DOMINGO,11:14
60,ESTACAO TUBO TIRADENTES,DOMINGO,11:38
61,ESTACAO TUBO TIRADENTES,DOMINGO,12:02
62,ESTACAO TUBO TIRADENTES,DOMINGO,12:26
63,ESTACAO TUBO TIRADENTES,DOMINGO,12:50
64,ESTACAO TUBO TIRADENTES,DOMINGO,13:14
65,ESTACAO TUBO TIRADENTES,DOMINGO,13:38
66,ESTACAO TUBO TIRADENTES,DOMINGO,14:02
67,ESTACAO TUBO TIRADENTES,DOMINGO,14:26
68,ESTACAO TUBO TIRADENTES,DOMINGO,14:50
69,ESTACAO TUBO TIRADENTES,DOMINGO,15:14
70,ESTACAO TUBO TIRADENTES,DOMINGO,15:38
71,ESTACAO TUBO TIRADENTES,DOMINGO,16:03
72,ESTACAO TUBO TIRADENTES,DOMINGO,16:28
73,ESTACAO TUBO TIRADENTES,DOMINGO,16:53
74,ESTACAO TUBO TIRADENTES,DOMINGO,17:18
75,ESTACAO TUBO TIRADENTES,DOMINGO,17:43
76,ESTACAO TUBO TIRADENTES,DOMINGO,18:08
77,ESTACAO TUBO TIRADENTES,DOMINGO,18:33
78,ESTACAO TUBO TIRADENTES,DOMINGO,18:58
79,ESTACAO TUBO TIRADENTES,DOMINGO,19:23
80,ESTACAO TUBO TIRADENTES,DOMINGO,19:48
81,ESTACAO TUBO TIRADENTES,DOMINGO,20:13
82,ESTACAO TUBO TIRADENTES,DOMINGO,20:38
83,ESTACAO TUBO TIRADENTES,DOMINGO,21:07
84,ESTACAO TUBO TIRADENTES,DOMINGO,21:36
85,ESTACAO TUBO TIRADENTES,DOMINGO,22:05
86,ESTACAO TUBO TIRADENTES,DOMINGO,22:34
87,ESTACAO TUBO TIRADENTES,DOMINGO,23:03
88,ESTACAO TUBO TIRADENTES,DOMINGO,23:32
89,ESTACAO TUBO TIRADENTES,DOMINGO,00:00
90,TERMINAL CABRAL,DOMINGO,05:50
91,TERMINAL CABRAL,DOMINGO,06:13
92,TERMINAL CABRAL,DOMINGO,06:35
