,pontos,dia,horarios
0,PRACA 19 DE DEZEMBRO,DIA ÚTIL,06:30
1,PRACA 19 DE DEZEMBRO,DIA ÚTIL,06:43
2,PRACA 19 DE DEZEMBRO,DIA ÚTIL,06:56
3,PRACA 19 DE DEZEMBRO,DIA ÚTIL,07:09
4,PRACA 19 DE DEZEMBRO,DIA ÚTIL,07:22
5,PRACA 19 DE DEZEMBRO,DIA ÚTIL,07:35
6,PRACA 19 DE DEZEMBRO,DIA ÚTIL,07:48
7,PRACA 19 DE DEZEMBRO,DIA ÚTIL,08:01
8,PRACA 19 DE DEZEMBRO,DIA ÚTIL,08:14
9,PRACA 19 DE DEZEMBRO,DIA ÚTIL,08:27
10,PRACA 19 DE DEZEMBRO,DIA ÚTIL,08:40
11,PRACA 19 DE DEZEMBRO,DIA ÚTIL,08:53
12,PRACA 19 DE DEZEMBRO,DIA ÚTIL,09:06
13,PRACA 19 DE DEZEMBRO,DIA ÚTIL,09:19
14,PRACA 19 DE DEZEMBRO,DIA ÚTIL,09:32
15,PRACA 19 DE DEZEMBRO,DIA ÚTIL,09:45
16,PRACA 19 DE DEZEMBRO,DIA ÚTIL,09:58
17,PRACA 19 DE DEZEMBRO,DIA ÚTIL,10:11
18,PRACA 19 DE DEZEMBRO,DIA ÚTIL,10:24
19,PRACA 19 DE DEZEMBRO,DIA ÚTIL,10:37
20,PRACA 19 DE DEZEMBRO,DIA ÚTIL,10:50
21,PRACA 19 DE DEZEMBRO,DIA ÚTIL,11:03
22,PRACA 19 DE DEZEMBRO,DIA ÚTIL,11:16
23,PRACA 19 DE DEZEMBRO,DIA ÚTIL,11:29
24,PRACA 19 DE DEZEMBRO,DIA ÚTIL,11:42
25,PRACA 19 DE DEZEMBRO,DIA ÚTIL,11:55
26,PRACA 19 DE DEZEMBRO,DIA ÚTIL,12:08
27,PRACA 19 DE DEZEMBRO,DIA ÚTIL,12:21
28,PRACA 19 DE DEZEMBRO,DIA ÚTIL,12:34
29,PRACA 19 DE DEZEMBRO,DIA ÚTIL,12:47
30,PRACA 19 DE DEZEMBRO,DIA ÚTIL,13:00
31,PRACA 19 DE DEZEMBRO,DIA ÚTIL,13:13
32,PRACA 19 DE DEZEMBRO,DIA ÚTIL,13:26
33,PRACA 19 DE DEZEMBRO,DIA ÚTIL,13:39
34,PRACA 19 DE DEZEMBRO,DIA ÚTIL,13:52
35,PRACA 19 DE DEZEMBRO,DIA ÚTIL,14:05
36,PRACA 19 DE DEZEMBRO,DIA ÚTIL,14:18
37,PRACA 19 DE DEZEMBRO,DIA ÚTIL,14:30
38,PRACA 19 DE DEZEMBRO,DIA ÚTIL,14:45
39,PRACA 19 DE DEZEMBRO,DIA ÚTIL,15:00
40,PRACA 19 DE DEZEMBRO,DIA ÚTIL,15:15
41,PRACA 19 DE DEZEMBRO,DIA ÚTIL,15:30
42,PRACA 19 DE DEZEMBRO,DIA ÚTIL,15:45
43,PRACA 19 DE DEZEMBRO,DIA ÚTIL,16:00
44,PRACA 19 DE DEZEMBRO,DIA ÚTIL,16:15
45,PRACA 19 DE DEZEMBRO,DIA ÚTIL,16:30
46,PRACA 19 DE DEZEMBRO,DIA ÚTIL,16:45
47,PRACA 19 DE DEZEMBRO,DIA ÚTIL,17:00
48,PRACA 19 DE DEZEMBRO,DIA ÚTIL,17:15
49,PRACA 19 DE DEZEMBRO,DIA ÚTIL,17:30
50,PRACA 19 DE DEZEMBRO,DIA ÚTIL,17:45
51,PRACA 19 DE DEZEMBRO,DIA ÚTIL,18:00
52,PRACA 19 DE DEZEMBRO,DIA ÚTIL,18:15
53,PRACA 19 DE DEZEMBRO,DIA ÚTIL,18:30
54,PRACA 19 DE DEZEMBRO,DIA ÚTIL,18:45
55,PRACA 19 DE DEZEMBRO,DIA ÚTIL,19:00
56,PRACA 19 DE DEZEMBRO,DIA ÚTIL,19:15
57,PRACA 19 DE DEZEMBRO,SÁBADO,06:20
58,PRACA 19 DE DEZEMBRO,SÁBADO,06:38
59,PRACA 19 DE DEZEMBRO,SÁBADO,06:55
60,PRACA 19 DE DEZEMBRO,SÁBADO,07:13
61,PRACA 19 DE DEZEMBRO,SÁBADO,07:30
62,PRACA 19 DE DEZEMBRO,SÁBADO,07:48
63,PRACA 19 DE DEZEMBRO,SÁBADO,08:05
64,PRACA 19 DE DEZEMBRO,SÁBADO,08:23
65,PRACA 19 DE DEZEMBRO,SÁBADO,08:40
66,PRACA 19 DE DEZEMBRO,SÁBADO,08:58
67,PRACA 19 DE DEZEMBRO,SÁBADO,09:15
68,PRACA 19 DE DEZEMBRO,SÁBADO,09:33
69,PRACA 19 DE DEZEMBRO,SÁBADO,09:50
70,PRACA 19 DE DEZEMBRO,SÁBADO,10:08
71,PRACA 19 DE DEZEMBRO,SÁBADO,10:25
72,PRACA 19 DE DEZEMBRO,SÁBADO,10:43
73,PRACA 19 DE DEZEMBRO,SÁBADO,11:00
74,PRACA 19 DE DEZEMBRO,SÁBADO,11:18
75,PRACA 19 DE DEZEMBRO,SÁBADO,11:35
76,PRACA 19 DE DEZEMBRO,SÁBADO,11:58
77,PRACA 19 DE DEZEMBRO,SÁBADO,12:15
78,PRACA 19 DE DEZEMBRO,SÁBADO,12:38
79,PRACA 19 DE DEZEMBRO,SÁBADO,12:55
80,PRACA 19 DE DEZEMBRO,SÁBADO,13:13
81,PRACA 19 DE DEZEMBRO,SÁBADO,13:30
82,PRACA 19 DE DEZEMBRO,SÁBADO,13:48
