,pontos,dia,horarios
0,PRACA SANTOS ANDRADE,DIA ÚTIL,06:20
1,PRACA SANTOS ANDRADE,DIA ÚTIL,06:46
2,PRACA SANTOS ANDRADE,DIA ÚTIL,06:59
3,PRACA SANTOS ANDRADE,DIA ÚTIL,07:12
4,PRACA SANTOS ANDRADE,DIA ÚTIL,07:24
5,PRACA SANTOS ANDRADE,DIA ÚTIL,07:36
6,PRACA SANTOS ANDRADE,DIA ÚTIL,07:48
7,PRACA SANTOS ANDRADE,DIA ÚTIL,08:00
8,PRACA SANTOS ANDRADE,DIA ÚTIL,08:13
9,PRACA SANTOS ANDRADE,DIA ÚTIL,08:26
10,PRACA SANTOS ANDRADE,DIA ÚTIL,08:40
11,PRACA SANTOS ANDRADE,DIA ÚTIL,08:53
12,PRACA SANTOS ANDRADE,DIA ÚTIL,09:06
13,PRACA SANTOS ANDRADE,DIA ÚTIL,09:19
14,PRACA SANTOS ANDRADE,DIA ÚTIL,09:32
15,PRACA SANTOS ANDRADE,DIA ÚTIL,09:45
16,PRACA SANTOS ANDRADE,DIA ÚTIL,09:58
17,PRACA SANTOS ANDRADE,DIA ÚTIL,10:11
18,PRACA SANTOS ANDRADE,DIA ÚTIL,10:23
19,PRACA SANTOS ANDRADE,DIA ÚTIL,10:35
20,PRACA SANTOS ANDRADE,DIA ÚTIL,10:46
21,PRACA SANTOS ANDRADE,DIA ÚTIL,10:57
22,PRACA SANTOS ANDRADE,DIA ÚTIL,11:08
23,PRACA SANTOS ANDRADE,DIA ÚTIL,11:19
24,PRACA SANTOS ANDRADE,DIA ÚTIL,11:30
25,PRACA SANTOS ANDRADE,DIA ÚTIL,11:41
26,PRACA SANTOS ANDRADE,DIA ÚTIL,11:52
27,PRACA SANTOS ANDRADE,DIA ÚTIL,12:04
28,PRACA SANTOS ANDRADE,DIA ÚTIL,12:16
29,PRACA SANTOS ANDRADE,DIA ÚTIL,12:28
30,PRACA SANTOS ANDRADE,DIA ÚTIL,12:39
31,PRACA SANTOS ANDRADE,DIA ÚTIL,12:50
32,PRACA SANTOS ANDRADE,DIA ÚTIL,13:01
33,PRACA SANTOS ANDRADE,DIA ÚTIL,13:12
34,PRACA SANTOS ANDRADE,DIA ÚTIL,13:23
35,PRACA SANTOS ANDRADE,DIA ÚTIL,13:34
36,PRACA SANTOS ANDRADE,DIA ÚTIL,13:46
37,PRACA SANTOS ANDRADE,DIA ÚTIL,13:58
38,PRACA SANTOS ANDRADE,DIA ÚTIL,14:10
39,PRACA SANTOS ANDRADE,DIA ÚTIL,14:22
40,PRACA SANTOS ANDRADE,DIA ÚTIL,14:34
41,PRACA SANTOS ANDRADE,DIA ÚTIL,14:46
42,PRACA SANTOS ANDRADE,DIA ÚTIL,14:58
43,PRACA SANTOS ANDRADE,DIA ÚTIL,15:10
44,PRACA SANTOS ANDRADE,DIA ÚTIL,15:22
45,PRACA SANTOS ANDRADE,DIA ÚTIL,15:34
46,PRACA SANTOS ANDRADE,DIA ÚTIL,15:46
47,PRACA SANTOS ANDRADE,DIA ÚTIL,15:58
48,PRACA SANTOS ANDRADE,DIA ÚTIL,16:10
49,PRACA SANTOS ANDRADE,DIA ÚTIL,16:21
50,PRACA SANTOS ANDRADE,DIA ÚTIL,16:33
51,PRACA SANTOS ANDRADE,DIA ÚTIL,16:44
52,PRACA SANTOS ANDRADE,DIA ÚTIL,16:55
53,PRACA SANTOS ANDRADE,DIA ÚTIL,17:06
54,PRACA SANTOS ANDRADE,DIA ÚTIL,17:18
55,PRACA SANTOS ANDRADE,DIA ÚTIL,17:30
56,PRACA SANTOS ANDRADE,DIA ÚTIL,17:42
57,PRACA SANTOS ANDRADE,DIA ÚTIL,17:54
58,PRACA SANTOS ANDRADE,DIA ÚTIL,18:07
59,PRACA SANTOS ANDRADE,DIA ÚTIL,18:20
60,PRACA SANTOS ANDRADE,DIA ÚTIL,18:33
61,PRACA SANTOS ANDRADE,DIA ÚTIL,18:46
62,PRACA SANTOS ANDRADE,DIA ÚTIL,18:58
63,PRACA SANTOS ANDRADE,DIA ÚTIL,19:10
