,pontos,dia,horarios
0,TERMINAL PINHEIRINHO,DIA ÚTIL,05:17
1,TERMINAL PINHEIRINHO,DIA ÚTIL,05:30
2,TERMINAL PINHEIRINHO,DIA ÚTIL,05:45
3,TERMINAL PINHEIRINHO,DIA ÚTIL,06:00
4,TERMINAL PINHEIRINHO,DIA ÚTIL,06:10
5,TERMINAL PINHEIRINHO,DIA ÚTIL,06:19
6,TERMINAL PINHEIRINHO,DIA ÚTIL,06:31
7,TERMINAL PINHEIRINHO,DIA ÚTIL,06:42
8,TERMINAL PINHEIRINHO,DIA ÚTIL,06:54
9,TERMINAL PINHEIRINHO,DIA ÚTIL,07:02
10,TERMINAL PINHEIRINHO,DIA ÚTIL,07:10
11,TERMINAL PINHEIRINHO,DIA ÚTIL,07:18
12,TERMINAL PINHEIRINHO,DIA ÚTIL,07:26
13,TERMINAL PINHEIRINHO,DIA ÚTIL,07:34
14,TERMINAL PINHEIRINHO,DIA ÚTIL,07:42
15,TERMINAL PINHEIRINHO,DIA ÚTIL,07:50
16,TERMINAL PINHEIRINHO,DIA ÚTIL,07:58
17,TERMINAL PINHEIRINHO,DIA ÚTIL,08:05
18,TERMINAL PINHEIRINHO,DIA ÚTIL,08:12
19,TERMINAL PINHEIRINHO,DIA ÚTIL,08:22
20,TERMINAL PINHEIRINHO,DIA ÚTIL,08:32
21,TERMINAL PINHEIRINHO,DIA ÚTIL,08:43
22,TERMINAL PINHEIRINHO,DIA ÚTIL,08:54
23,TERMINAL PINHEIRINHO,DIA ÚTIL,09:05
24,TERMINAL PINHEIRINHO,DIA ÚTIL,09:16
25,TERMINAL PINHEIRINHO,DIA ÚTIL,09:27
26,TERMINAL PINHEIRINHO,DIA ÚTIL,09:38
27,TERMINAL PINHEIRINHO,DIA ÚTIL,09:49
28,TERMINAL PINHEIRINHO,DIA ÚTIL,10:00
29,TERMINAL PINHEIRINHO,DIA ÚTIL,10:11
30,TERMINAL PINHEIRINHO,DIA ÚTIL,10:22
31,TERMINAL PINHEIRINHO,DIA ÚTIL,10:33
32,TERMINAL PINHEIRINHO,DIA ÚTIL,10:44
33,TERMINAL PINHEIRINHO,DIA ÚTIL,10:54
34,TERMINAL PINHEIRINHO,DIA ÚTIL,11:05
35,TERMINAL PINHEIRINHO,DIA ÚTIL,11:16
36,TERMINAL PINHEIRINHO,DIA ÚTIL,11:27
37,TERMINAL PINHEIRINHO,DIA ÚTIL,11:38
38,TERMINAL PINHEIRINHO,DIA ÚTIL,11:49
39,TERMINAL PINHEIRINHO,DIA ÚTIL,12:00
40,TERMINAL PINHEIRINHO,DIA ÚTIL,12:10
41,TERMINAL PINHEIRINHO,DIA ÚTIL,12:21
42,TERMINAL PINHEIRINHO,DIA ÚTIL,12:32
43,TERMINAL PINHEIRINHO,DIA ÚTIL,12:43
44,TERMINAL PINHEIRINHO,DIA ÚTIL,12:54
45,TERMINAL PINHEIRINHO,DIA ÚTIL,13:05
46,TERMINAL PINHEIRINHO,DIA ÚTIL,13:16
47,TERMINAL PINHEIRINHO,DIA ÚTIL,13:26
48,TERMINAL PINHEIRINHO,DIA ÚTIL,13:37
49,TERMINAL PINHEIRINHO,DIA ÚTIL,13:48
50,TERMINAL PINHEIRINHO,DIA ÚTIL,13:59
51,TERMINAL PINHEIRINHO,DIA ÚTIL,14:10
52,TERMINAL PINHEIRINHO,DIA ÚTIL,14:21
53,TERMINAL PINHEIRINHO,DIA ÚTIL,14:32
54,TERMINAL PINHEIRINHO,DIA ÚTIL,14:42
55,TERMINAL PINHEIRINHO,DIA ÚTIL,14:53
56,TERMINAL PINHEIRINHO,DIA ÚTIL,15:04
57,TERMINAL PINHEIRINHO,DIA ÚTIL,15:15
58,TERMINAL PINHEIRINHO,DIA ÚTIL,15:26
59,TERMINAL PINHEIRINHO,DIA ÚTIL,15:37
60,TERMINAL PINHEIRINHO,DIA ÚTIL,15:48
61,TERMINAL PINHEIRINHO,DIA ÚTIL,15:58
62,TERMINAL PINHEIRINHO,DIA ÚTIL,16:09
63,TERMINAL PINHEIRINHO,DIA ÚTIL,16:20
64,TERMINAL PINHEIRINHO,DIA ÚTIL,16:31
65,TERMINAL PINHEIRINHO,DIA ÚTIL,16:42
66,TERMINAL PINHEIRINHO,DIA ÚTIL,16:53
67,TERMINAL PINHEIRINHO,DIA ÚTIL,17:04
68,TERMINAL PINHEIRINHO,DIA ÚTIL,17:09
69,TERMINAL PINHEIRINHO,DIA ÚTIL,17:14
70,TERMINAL PINHEIRINHO,DIA ÚTIL,17:20
71,TERMINAL PINHEIRINHO,DIA ÚTIL,17:26
72,TERMINAL PINHEIRINHO,DIA ÚTIL,17:32
73,TERMINAL PINHEIRINHO,DIA ÚTIL,17:38
74,TERMINAL PINHEIRINHO,DIA ÚTIL,17:44
75,TERMINAL PINHEIRINHO,DIA ÚTIL,17:51
