,pontos,dia,horarios
0,TERMINAL SITIO CERCADO,DIA ÚTIL,05:15
1,TERMINAL SITIO CERCADO,DIA ÚTIL,05:30
2,TERMINAL SITIO CERCADO,DIA ÚTIL,05:40
3,TERMINAL SITIO CERCADO,DIA ÚTIL,05:50
4,TERMINAL SITIO CERCADO,DIA ÚTIL,06:00
5,TERMINAL SITIO CERCADO,DIA ÚTIL,06:10
6,TERMINAL SITIO CERCADO,DIA ÚTIL,06:20
7,TERMINAL SITIO CERCADO,DIA ÚTIL,06:26
8,TERMINAL SITIO CERCADO,DIA ÚTIL,06:31
9,TERMINAL SITIO CERCADO,DIA ÚTIL,06:36
10,TERMINAL SITIO CERCADO,DIA ÚTIL,06:41
11,TERMINAL SITIO CERCADO,DIA ÚTIL,06:47
12,TERMINAL SITIO CERCADO,DIA ÚTIL,06:53
13,TERMINAL SITIO CERCADO,DIA ÚTIL,06:59
14,TERMINAL SITIO CERCADO,DIA ÚTIL,07:05
15,TERMINAL SITIO CERCADO,DIA ÚTIL,07:11
16,TERMINAL SITIO CERCADO,DIA ÚTIL,07:16
17,TERMINAL SITIO CERCADO,DIA ÚTIL,07:22
18,TERMINAL SITIO CERCADO,DIA ÚTIL,07:29
19,TERMINAL SITIO CERCADO,DIA ÚTIL,07:36
20,TERMINAL SITIO CERCADO,DIA ÚTIL,07:42
21,TERMINAL SITIO CERCADO,DIA ÚTIL,07:47
22,TERMINAL SITIO CERCADO,DIA ÚTIL,07:52
23,TERMINAL SITIO CERCADO,DIA ÚTIL,07:57
24,TERMINAL SITIO CERCADO,DIA ÚTIL,08:03
25,TERMINAL SITIO CERCADO,DIA ÚTIL,08:09
26,TERMINAL SITIO CERCADO,DIA ÚTIL,08:15
27,TERMINAL SITIO CERCADO,DIA ÚTIL,08:20
28,TERMINAL SITIO CERCADO,DIA ÚTIL,08:27
29,TERMINAL SITIO CERCADO,DIA ÚTIL,08:33
30,TERMINAL SITIO CERCADO,DIA ÚTIL,08:44
31,TERMINAL SITIO CERCADO,DIA ÚTIL,08:55
32,TERMINAL SITIO CERCADO,DIA ÚTIL,09:06
33,TERMINAL SITIO CERCADO,DIA ÚTIL,09:17
34,TERMINAL SITIO CERCADO,DIA ÚTIL,09:27
35,TERMINAL SITIO CERCADO,DIA ÚTIL,09:38
36,TERMINAL SITIO CERCADO,DIA ÚTIL,09:49
37,TERMINAL SITIO CERCADO,DIA ÚTIL,10:00
38,TERMINAL SITIO CERCADO,DIA ÚTIL,10:11
39,TERMINAL SITIO CERCADO,DIA ÚTIL,10:22
40,TERMINAL SITIO CERCADO,DIA ÚTIL,10:33
41,TERMINAL SITIO CERCADO,DIA ÚTIL,10:43
42,TERMINAL SITIO CERCADO,DIA ÚTIL,10:54
43,TERMINAL SITIO CERCADO,DIA ÚTIL,11:05
44,TERMINAL SITIO CERCADO,DIA ÚTIL,11:16
45,TERMINAL SITIO CERCADO,DIA ÚTIL,11:27
46,TERMINAL SITIO CERCADO,DIA ÚTIL,11:38
47,TERMINAL SITIO CERCADO,DIA ÚTIL,11:49
48,TERMINAL SITIO CERCADO,DIA ÚTIL,11:59
49,TERMINAL SITIO CERCADO,DIA ÚTIL,12:10
50,TERMINAL SITIO CERCADO,DIA ÚTIL,12:21
51,TERMINAL SITIO CERCADO,DIA ÚTIL,12:32
52,TERMINAL SITIO CERCADO,DIA ÚTIL,12:43
53,TERMINAL SITIO CERCADO,DIA ÚTIL,12:54
54,TERMINAL SITIO CERCADO,DIA ÚTIL,13:05
55,TERMINAL SITIO CERCADO,DIA ÚTIL,13:15
56,TERMINAL SITIO CERCADO,DIA ÚTIL,13:26
57,TERMINAL SITIO CERCADO,DIA ÚTIL,13:37
58,TERMINAL SITIO CERCADO,DIA ÚTIL,13:48
59,TERMINAL SITIO CERCADO,DIA ÚTIL,13:59
60,TERMINAL SITIO CERCADO,DIA ÚTIL,14:10
61,TERMINAL SITIO CERCADO,DIA ÚTIL,14:21
62,TERMINAL SITIO CERCADO,DIA ÚTIL,14:31
