,pontos,dia,horarios
0,TERMINAL CABRAL,DIA ÚTIL,06:04
1,TERMINAL CABRAL,DIA ÚTIL,06:15
2,TERMINAL CABRAL,DIA ÚTIL,06:25
3,TERMINAL CABRAL,DIA ÚTIL,06:35
4,TERMINAL CABRAL,DIA ÚTIL,06:45
5,TERMINAL CABRAL,DIA ÚTIL,06:55
6,TERMINAL CABRAL,DIA ÚTIL,07:05
7,TERMINAL CABRAL,DIA ÚTIL,07:15
8,TERMINAL CABRAL,DIA ÚTIL,07:26
9,TERMINAL CABRAL,DIA ÚTIL,07:37
10,TERMINAL CABRAL,DIA ÚTIL,07:47
11,TERMINAL CABRAL,DIA ÚTIL,07:58
12,TERMINAL CABRAL,DIA ÚTIL,08:08
13,TERMINAL CABRAL,DIA ÚTIL,08:19
14,TERMINAL CABRAL,DIA ÚTIL,08:29
15,TERMINAL CABRAL,DIA ÚTIL,08:40
16,TERMINAL CABRAL,DIA ÚTIL,08:50
17,TERMINAL CABRAL,DIA ÚTIL,09:10
18,TERMINAL CABRAL,DIA ÚTIL,09:30
19,TERMINAL CABRAL,DIA ÚTIL,09:50
20,TERMINAL CABRAL,DIA ÚTIL,10:10
21,TERMINAL CABRAL,DIA ÚTIL,10:30
22,TERMINAL CABRAL,DIA ÚTIL,10:50
23,TERMINAL CABRAL,DIA ÚTIL,11:10
24,TERMINAL CABRAL,DIA ÚTIL,11:28
25,TERMINAL CABRAL,DIA ÚTIL,11:46
26,TERMINAL CABRAL,DIA ÚTIL,12:05
27,TERMINAL CABRAL,DIA ÚTIL,12:25
28,TERMINAL CABRAL,DIA ÚTIL,12:45
29,TERMINAL CABRAL,DIA ÚTIL,13:03
30,TERMINAL CABRAL,DIA ÚTIL,13:21
31,TERMINAL CABRAL,DIA ÚTIL,13:40
32,TERMINAL CABRAL,DIA ÚTIL,14:02
33,TERMINAL CABRAL,DIA ÚTIL,14:24
34,TERMINAL CABRAL,DIA ÚTIL,14:46
35,TERMINAL CABRAL,DIA ÚTIL,15:08
36,TERMINAL CABRAL,DIA ÚTIL,15:30
37,TERMINAL CABRAL,DIA ÚTIL,15:52
38,TERMINAL CABRAL,DIA ÚTIL,16:14
39,TERMINAL CABRAL,DIA ÚTIL,16:35
40,TERMINAL CABRAL,DIA ÚTIL,16:56
41,TERMINAL CABRAL,DIA ÚTIL,17:08
42,TERMINAL CABRAL,DIA ÚTIL,17:20
43,TERMINAL CABRAL,DIA ÚTIL,17:32
44,TERMINAL CABRAL,DIA ÚTIL,17:42
45,TERMINAL CABRAL,DIA ÚTIL,17:55
46,TERMINAL CABRAL,DIA ÚTIL,18:06
47,TERMINAL CABRAL,DIA ÚTIL,18:18
48,TERMINAL CABRAL,DIA ÚTIL,18:31
49,TERMINAL CABRAL,DIA ÚTIL,18:44
50,TERMINAL CABRAL,DIA ÚTIL,18:58
51,TERMINAL CABRAL,DIA ÚTIL,19:18
52,TERMINAL CABRAL,DIA ÚTIL,19:39
53,TERMINAL CABRAL,DIA ÚTIL,20:00
54,TERMINAL CABRAL,DIA ÚTIL,20:20
55,TERMINAL CABRAL,DIA ÚTIL,20:40
56,TERMINAL CABRAL,DIA ÚTIL,21:00
57,TERMINAL CABRAL,DIA ÚTIL,21:20
58,TERMINAL CABRAL,DIA ÚTIL,21:40
59,TERMINAL CABRAL,DIA ÚTIL,22:00
60,TERMINAL CABRAL,DIA ÚTIL,22:20
61,TERMINAL CABRAL,DIA ÚTIL,22:40
62,TERMINAL CABRAL,DIA ÚTIL,23:00
63,TERMINAL CABRAL,DIA ÚTIL,23:20
64,TERMINAL CABRAL,DIA ÚTIL,23:40
65,TERMINAL CABRAL,DIA ÚTIL,00:00
66,BAIRRO COLINA VERDE,DIA ÚTIL,05:45
67,BAIRRO COLINA VERDE,DIA ÚTIL,05:58
68,BAIRRO COLINA VERDE,DIA ÚTIL,06:05
69,BAIRRO COLINA VERDE,DIA ÚTIL,06:11
70,BAIRRO COLINA VERDE,DIA ÚTIL,06:24
71,BAIRRO COLINA VERDE,DIA ÚTIL,06:35
72,BAIRRO COLINA VERDE,DIA ÚTIL,06:45
73,BAIRRO COLINA VERDE,DIA ÚTIL,06:55
74,BAIRRO COLINA VERDE,DIA ÚTIL,07:05
75,BAIRRO COLINA VERDE,DIA ÚTIL,07:15
76,BAIRRO COLINA VERDE,DIA ÚTIL,07:26
77,BAIRRO COLINA VERDE,DIA ÚTIL,07:36
78,BAIRRO COLINA VERDE,DIA ÚTIL,07:47
79,BAIRRO COLINA VERDE,DIA ÚTIL,07:58
80,BAIRRO COLINA VERDE,DIA ÚTIL,08:08
81,BAIRRO COLINA VERDE,DIA ÚTIL,08:19
82,BAIRRO COLINA VERDE,DIA ÚTIL,08:30
83,BAIRRO COLINA VERDE,DIA ÚTIL,08:50
84,BAIRRO COLINA VERDE,DIA ÚTIL,09:10
85,BAIRRO COLINA VERDE,DIA ÚTIL,09:30
86,BAIRRO COLINA VERDE,DIA ÚTIL,09:50
87,BAIRRO COLINA VERDE,DIA ÚTIL,10:10
88,BAIRRO COLINA VERDE,DIA ÚTIL,10:30
89,BAIRRO COLINA VERDE,DIA ÚTIL,10:50
90,BAIRRO COLINA VERDE,DIA ÚTIL,11:10
91,BAIRRO COLINA VERDE,DIA ÚTIL,11:28
92,BAIRRO COLINA VERDE,DIA ÚTIL,11:46
93,BAIRRO COLINA VERDE,DIA ÚTIL,12:05
94,BAIRRO COLINA VERDE,DIA ÚTIL,12:25
95,BAIRRO COLINA VERDE,DIA ÚTIL,12:45
96,BAIRRO COLINA VERDE,DIA ÚTIL,13:03
97,BAIRRO COLINA VERDE,DIA ÚTIL,13:21
98,BAIRRO COLINA VERDE,DIA ÚTIL,13:41
99,BAIRRO COLINA VERDE,DIA ÚTIL,14:02
100,BAIRRO COLINA VERDE,DIA ÚTIL,14:24
101,BAIRRO COLINA VERDE,DIA ÚTIL,14:46
102,BAIRRO COLINA VERDE,DIA ÚTIL,15:08
103,BAIRRO COLINA VERDE,DIA ÚTIL,15:30
104,BAIRRO COLINA VERDE,DIA ÚTIL,15:52
105,BAIRRO COLINA VERDE,DIA ÚTIL,16:14
106,BAIRRO COLINA VERDE,DIA ÚTIL,16:34
107,BAIRRO COLINA VERDE,DIA ÚTIL,16:46
108,BAIRRO COLINA VERDE,DIA ÚTIL,16:58
109,BAIRRO COLINA VERDE,DIA ÚTIL,17:08
110,BAIRRO COLINA VERDE,DIA ÚTIL,17:18
111,BAIRRO COLINA VERDE,DIA ÚTIL,17:30
112,BAIRRO COLINA VERDE,DIA ÚTIL,17:42
113,BAIRRO COLINA VERDE,DIA ÚTIL,17:54
114,BAIRRO COLINA VERDE,DIA ÚTIL,18:07
115,BAIRRO COLINA VERDE,DIA ÚTIL,18:19
116,BAIRRO COLINA VERDE,DIA ÚTIL,18:32
117,BAIRRO COLINA VERDE,DIA ÚTIL,18:44
118,BAIRRO COLINA VERDE,DIA ÚTIL,18:57
119,BAIRRO COLINA VERDE,DIA ÚTIL,19:18
120,BAIRRO COLINA VERDE,DIA ÚTIL,19:39
121,BAIRRO COLINA VERDE,DIA ÚTIL,20:00
122,BAIRRO COLINA VERDE,DIA ÚTIL,20:20
123,BAIRRO COLINA VERDE,DIA ÚTIL,20:40
124,BAIRRO COLINA VERDE,DIA ÚTIL,21:00
125,BAIRRO COLINA VERDE,DIA ÚTIL,21:20
126,BAIRRO COLINA VERDE,DIA ÚTIL,21:40
127,BAIRRO COLINA VERDE,DIA ÚTIL,22:00
128,BAIRRO COLINA VERDE,DIA ÚTIL,22:20
129,BAIRRO COLINA VERDE,DIA ÚTIL,22:40
130,BAIRRO COLINA VERDE,DIA ÚTIL,23:00
131,BAIRRO COLINA VERDE,DIA ÚTIL,23:20
132,BAIRRO COLINA VERDE,DIA ÚTIL,23:40
133,TERMINAL CABRAL,SÁBADO,06:05
134,TERMINAL CABRAL,SÁBADO,06:18
135,TERMINAL CABRAL,SÁBADO,06:36
136,TERMINAL CABRAL,SÁBADO,06:54
137,TERMINAL CABRAL,SÁBADO,07:13
138,TERMINAL CABRAL,SÁBADO,07:32
139,TERMINAL CABRAL,SÁBADO,07:51
140,TERMINAL CABRAL,SÁBADO,08:10
141,TERMINAL CABRAL,SÁBADO,08:30
142,TERMINAL CABRAL,SÁBADO,08:50
143,TERMINAL CABRAL,SÁBADO,09:10
144,TERMINAL CABRAL,SÁBADO,09:30
145,TERMINAL CABRAL,SÁBADO,09:50
146,TERMINAL CABRAL,SÁBADO,10:10
