,pontos,dia,horarios
0,TERMINAL CIC,DIA ÚTIL,05:18
1,TERMINAL CIC,DIA ÚTIL,05:30
2,TERMINAL CIC,DIA ÚTIL,05:42
3,TERMINAL CIC,DIA ÚTIL,05:51
4,TERMINAL CIC,DIA ÚTIL,06:00
5,TERMINAL CIC,DIA ÚTIL,06:09
6,TERMINAL CIC,DIA ÚTIL,06:18
7,TERMINAL CIC,DIA ÚTIL,06:26
8,TERMINAL CIC,DIA ÚTIL,06:34
9,TERMINAL CIC,DIA ÚTIL,06:41
10,TERMINAL CIC,DIA ÚTIL,06:48
11,TERMINAL CIC,DIA ÚTIL,06:55
12,TERMINAL CIC,DIA ÚTIL,07:02
13,TERMINAL CIC,DIA ÚTIL,07:10
14,TERMINAL CIC,DIA ÚTIL,07:18
15,TERMINAL CIC,DIA ÚTIL,07:26
16,TERMINAL CIC,DIA ÚTIL,07:35
17,TERMINAL CIC,DIA ÚTIL,07:45
18,TERMINAL CIC,DIA ÚTIL,07:55
19,TERMINAL CIC,DIA ÚTIL,08:05
20,TERMINAL CIC,DIA ÚTIL,08:15
21,TERMINAL CIC,DIA ÚTIL,08:25
22,TERMINAL CIC,DIA ÚTIL,08:35
23,TERMINAL CIC,DIA ÚTIL,08:45
24,TERMINAL CIC,DIA ÚTIL,08:55
25,TERMINAL CIC,DIA ÚTIL,09:07
26,TERMINAL CIC,DIA ÚTIL,09:20
27,TERMINAL CIC,DIA ÚTIL,09:32
28,TERMINAL CIC,DIA ÚTIL,09:44
29,TERMINAL CIC,DIA ÚTIL,09:56
30,TERMINAL CIC,DIA ÚTIL,10:08
31,TERMINAL CIC,DIA ÚTIL,10:20
32,TERMINAL CIC,DIA ÚTIL,10:32
33,TERMINAL CIC,DIA ÚTIL,10:44
34,TERMINAL CIC,DIA ÚTIL,10:56
35,TERMINAL CIC,DIA ÚTIL,11:08
36,TERMINAL CIC,DIA ÚTIL,11:20
37,TERMINAL CIC,DIA ÚTIL,11:32
38,TERMINAL CIC,DIA ÚTIL,11:44
39,TERMINAL CIC,DIA ÚTIL,11:56
40,TERMINAL CIC,DIA ÚTIL,12:08
41,TERMINAL CIC,DIA ÚTIL,12:20
42,TERMINAL CIC,DIA ÚTIL,12:32
43,TERMINAL CIC,DIA ÚTIL,12:44
44,TERMINAL CIC,DIA ÚTIL,12:56
45,TERMINAL CIC,DIA ÚTIL,13:08
46,TERMINAL CIC,DIA ÚTIL,13:20
47,TERMINAL CIC,DIA ÚTIL,13:32
48,TERMINAL CIC,DIA ÚTIL,13:44
49,TERMINAL CIC,DIA ÚTIL,13:56
50,TERMINAL CIC,DIA ÚTIL,14:08
51,TERMINAL CIC,DIA ÚTIL,14:20
52,TERMINAL CIC,DIA ÚTIL,14:32
53,TERMINAL CIC,DIA ÚTIL,14:44
54,TERMINAL CIC,DIA ÚTIL,14:56
55,TERMINAL CIC,DIA ÚTIL,15:08
56,TERMINAL CIC,DIA ÚTIL,15:20
57,TERMINAL CIC,DIA ÚTIL,15:32
58,TERMINAL CIC,DIA ÚTIL,15:44
59,TERMINAL CIC,DIA ÚTIL,15:56
60,TERMINAL CIC,DIA ÚTIL,16:08
61,TERMINAL CIC,DIA ÚTIL,16:20
62,TERMINAL CIC,DIA ÚTIL,16:32
63,TERMINAL CIC,DIA ÚTIL,16:44
64,TERMINAL CIC,DIA ÚTIL,16:55
65,TERMINAL CIC,DIA ÚTIL,17:06
66,TERMINAL CIC,DIA ÚTIL,17:17
67,TERMINAL CIC,DIA ÚTIL,17:25
68,TERMINAL CIC,DIA ÚTIL,17:33
69,TERMINAL CIC,DIA ÚTIL,17:42
70,TERMINAL CIC,DIA ÚTIL,17:50
71,TERMINAL CIC,DIA ÚTIL,17:59
72,TERMINAL CIC,DIA ÚTIL,18:07
73,TERMINAL CIC,DIA ÚTIL,18:16
74,TERMINAL CIC,DIA ÚTIL,18:25
75,TERMINAL CIC,DIA ÚTIL,18:34
76,TERMINAL CIC,DIA ÚTIL,18:45
77,TERMINAL CIC,DIA ÚTIL,18:56
78,TERMINAL CIC,DIA ÚTIL,19:06
79,TERMINAL CIC,DIA ÚTIL,19:16
80,TERMINAL CIC,DIA ÚTIL,19:26
81,TERMINAL CIC,DIA ÚTIL,19:36
82,TERMINAL CIC,DIA ÚTIL,19:50
83,TERMINAL CIC,DIA ÚTIL,20:04
84,TERMINAL CIC,DIA ÚTIL,20:18
85,TERMINAL CIC,DIA ÚTIL,20:32
86,TERMINAL CIC,DIA ÚTIL,20:44
87,TERMINAL CIC,DIA ÚTIL,20:56
88,TERMINAL CIC,DIA ÚTIL,21:08
89,TERMINAL CIC,DIA ÚTIL,21:20
90,TERMINAL CIC,DIA ÚTIL,21:32
