,pontos,dia,horarios
0,TERMINAL FAZENDINHA,DIA ÚTIL,05:28
1,TERMINAL FAZENDINHA,DIA ÚTIL,05:52
2,TERMINAL FAZENDINHA,DIA ÚTIL,06:16
3,TERMINAL FAZENDINHA,DIA ÚTIL,06:40
4,TERMINAL FAZENDINHA,DIA ÚTIL,07:05
5,TERMINAL FAZENDINHA,DIA ÚTIL,07:30
6,TERMINAL FAZENDINHA,DIA ÚTIL,07:55
7,TERMINAL FAZENDINHA,DIA ÚTIL,08:20
8,TERMINAL FAZENDINHA,DIA ÚTIL,08:45
9,TERMINAL FAZENDINHA,DIA ÚTIL,09:10
10,TERMINAL FAZENDINHA,DIA ÚTIL,09:47
11,TERMINAL FAZENDINHA,DIA ÚTIL,10:24
12,TERMINAL FAZENDINHA,DIA ÚTIL,11:01
13,TERMINAL FAZENDINHA,DIA ÚTIL,11:38
14,TERMINAL FAZENDINHA,DIA ÚTIL,12:15
15,TERMINAL FAZENDINHA,DIA ÚTIL,12:41
16,TERMINAL FAZENDINHA,DIA ÚTIL,13:07
17,TERMINAL FAZENDINHA,DIA ÚTIL,13:38
18,TERMINAL FAZENDINHA,DIA ÚTIL,14:18
19,TERMINAL FAZENDINHA,DIA ÚTIL,14:58
20,TERMINAL FAZENDINHA,DIA ÚTIL,15:38
21,TERMINAL FAZENDINHA,DIA ÚTIL,16:18
22,TERMINAL FAZENDINHA,DIA ÚTIL,16:58
23,TERMINAL FAZENDINHA,DIA ÚTIL,17:26
24,TERMINAL FAZENDINHA,DIA ÚTIL,17:54
25,TERMINAL FAZENDINHA,DIA ÚTIL,18:23
26,TERMINAL FAZENDINHA,DIA ÚTIL,18:52
27,TERMINAL FAZENDINHA,DIA ÚTIL,19:29
28,TERMINAL FAZENDINHA,DIA ÚTIL,20:07
29,TERMINAL FAZENDINHA,DIA ÚTIL,20:42
30,TERMINAL FAZENDINHA,DIA ÚTIL,21:17
31,TERMINAL FAZENDINHA,DIA ÚTIL,21:52
32,TERMINAL FAZENDINHA,DIA ÚTIL,22:27
33,TERMINAL FAZENDINHA,DIA ÚTIL,23:02
34,TERMINAL FAZENDINHA,DIA ÚTIL,23:37
35,PRACA RUI BARBOSA,DIA ÚTIL,06:05
36,PRACA RUI BARBOSA,DIA ÚTIL,06:30
37,PRACA RUI BARBOSA,DIA ÚTIL,06:55
38,PRACA RUI BARBOSA,DIA ÚTIL,07:20
39,PRACA RUI BARBOSA,DIA ÚTIL,07:45
40,PRACA RUI BARBOSA,DIA ÚTIL,08:10
41,PRACA RUI BARBOSA,DIA ÚTIL,08:35
42,PRACA RUI BARBOSA,DIA ÚTIL,09:08
43,PRACA RUI BARBOSA,DIA ÚTIL,09:45
44,PRACA RUI BARBOSA,DIA ÚTIL,10:22
45,PRACA RUI BARBOSA,DIA ÚTIL,10:59
46,PRACA RUI BARBOSA,DIA ÚTIL,11:36
47,PRACA RUI BARBOSA,DIA ÚTIL,12:01
