,pontos,dia,horarios
0,BAIRRO CRISTO REI,DIA ÚTIL,06:04
1,BAIRRO CRISTO REI,DIA ÚTIL,06:22
2,BAIRRO CRISTO REI,DIA ÚTIL,06:40
3,BAIRRO CRISTO REI,DIA ÚTIL,06:58
4,BAIRRO CRISTO REI,DIA ÚTIL,07:16
5,BAIRRO CRISTO REI,DIA ÚTIL,07:36
6,BAIRRO CRISTO REI,DIA ÚTIL,07:58
7,BAIRRO CRISTO REI,DIA ÚTIL,08:20
8,BAIRRO CRISTO REI,DIA ÚTIL,08:43
9,BAIRRO CRISTO REI,DIA ÚTIL,09:06
10,BAIRRO CRISTO REI,DIA ÚTIL,09:30
11,BAIRRO CRISTO REI,DIA ÚTIL,09:52
12,BAIRRO CRISTO REI,DIA ÚTIL,10:14
13,BAIRRO CRISTO REI,DIA ÚTIL,10:36
14,BAIRRO CRISTO REI,DIA ÚTIL,10:58
15,BAIRRO CRISTO REI,DIA ÚTIL,11:20
16,BAIRRO CRISTO REI,DIA ÚTIL,11:42
17,BAIRRO CRISTO REI,DIA ÚTIL,12:04
18,BAIRRO CRISTO REI,DIA ÚTIL,12:26
19,BAIRRO CRISTO REI,DIA ÚTIL,12:49
20,BAIRRO CRISTO REI,DIA ÚTIL,13:12
21,BAIRRO CRISTO REI,DIA ÚTIL,13:35
22,BAIRRO CRISTO REI,DIA ÚTIL,13:58
23,BAIRRO CRISTO REI,DIA ÚTIL,14:21
24,BAIRRO CRISTO REI,DIA ÚTIL,14:44
25,BAIRRO CRISTO REI,DIA ÚTIL,15:07
26,BAIRRO CRISTO REI,DIA ÚTIL,15:30
27,BAIRRO CRISTO REI,DIA ÚTIL,15:53
28,BAIRRO CRISTO REI,DIA ÚTIL,16:16
29,BAIRRO CRISTO REI,DIA ÚTIL,16:39
30,BAIRRO CRISTO REI,DIA ÚTIL,17:03
31,BAIRRO CRISTO REI,DIA ÚTIL,17:27
32,BAIRRO CRISTO REI,DIA ÚTIL,17:55
33,BAIRRO CRISTO REI,DIA ÚTIL,18:24
34,BAIRRO CRISTO REI,DIA ÚTIL,18:53
35,BAIRRO CRISTO REI,DIA ÚTIL,19:22
36,BAIRRO CRISTO REI,DIA ÚTIL,19:50
37,BAIRRO CRISTO REI,DIA ÚTIL,20:25
38,BAIRRO CRISTO REI,DIA ÚTIL,21:05
39,BAIRRO CRISTO REI,DIA ÚTIL,21:45
40,BAIRRO CRISTO REI,DIA ÚTIL,22:25
41,BAIRRO CRISTO REI,DIA ÚTIL,23:05
42,STA.CASA DE MISERICORDIA,DIA ÚTIL,06:23
43,STA.CASA DE MISERICORDIA,DIA ÚTIL,06:41
44,STA.CASA DE MISERICORDIA,DIA ÚTIL,07:01
45,STA.CASA DE MISERICORDIA,DIA ÚTIL,07:21
46,STA.CASA DE MISERICORDIA,DIA ÚTIL,07:43
47,STA.CASA DE MISERICORDIA,DIA ÚTIL,08:06
48,STA.CASA DE MISERICORDIA,DIA ÚTIL,08:28
49,STA.CASA DE MISERICORDIA,DIA ÚTIL,08:50
50,STA.CASA DE MISERICORDIA,DIA ÚTIL,09:12
51,STA.CASA DE MISERICORDIA,DIA ÚTIL,09:34
52,STA.CASA DE MISERICORDIA,DIA ÚTIL,09:56
53,STA.CASA DE MISERICORDIA,DIA ÚTIL,10:18
54,STA.CASA DE MISERICORDIA,DIA ÚTIL,10:40
55,STA.CASA DE MISERICORDIA,DIA ÚTIL,11:02
56,STA.CASA DE MISERICORDIA,DIA ÚTIL,11:24
57,STA.CASA DE MISERICORDIA,DIA ÚTIL,11:46
58,STA.CASA DE MISERICORDIA,DIA ÚTIL,12:08
59,STA.CASA DE MISERICORDIA,DIA ÚTIL,12:30
60,STA.CASA DE MISERICORDIA,DIA ÚTIL,12:52
61,STA.CASA DE MISERICORDIA,DIA ÚTIL,13:15
62,STA.CASA DE MISERICORDIA,DIA ÚTIL,13:38
63,STA.CASA DE MISERICORDIA,DIA ÚTIL,14:01
64,STA.CASA DE MISERICORDIA,DIA ÚTIL,14:24
65,STA.CASA DE MISERICORDIA,DIA ÚTIL,14:47
66,STA.CASA DE MISERICORDIA,DIA ÚTIL,15:10
67,STA.CASA DE MISERICORDIA,DIA ÚTIL,15:33
68,STA.CASA DE MISERICORDIA,DIA ÚTIL,15:56
69,STA.CASA DE MISERICORDIA,DIA ÚTIL,16:20
70,STA.CASA DE MISERICORDIA,DIA ÚTIL,16:44
71,STA.CASA DE MISERICORDIA,DIA ÚTIL,17:07
72,STA.CASA DE MISERICORDIA,DIA ÚTIL,17:34
73,STA.CASA DE MISERICORDIA,DIA ÚTIL,18:02
74,STA.CASA DE MISERICORDIA,DIA ÚTIL,18:30
75,STA.CASA DE MISERICORDIA,DIA ÚTIL,18:58
76,STA.CASA DE MISERICORDIA,DIA ÚTIL,19:25
77,STA.CASA DE MISERICORDIA,DIA ÚTIL,19:50
78,STA.CASA DE MISERICORDIA,DIA ÚTIL,20:15
79,STA.CASA DE MISERICORDIA,DIA ÚTIL,20:45
80,STA.CASA DE MISERICORDIA,DIA ÚTIL,21:25
81,STA.CASA DE MISERICORDIA,DIA ÚTIL,22:05
82,STA.CASA DE MISERICORDIA,DIA ÚTIL,22:45
83,STA.CASA DE MISERICORDIA,DIA ÚTIL,23:25
84,BAIRRO CRISTO REI,SÁBADO,06:00
85,BAIRRO CRISTO REI,SÁBADO,06:23
86,BAIRRO CRISTO REI,SÁBADO,06:46
87,BAIRRO CRISTO REI,SÁBADO,07:09
88,BAIRRO CRISTO REI,SÁBADO,07:32
89,BAIRRO CRISTO REI,SÁBADO,07:55
90,BAIRRO CRISTO REI,SÁBADO,08:18
91,BAIRRO CRISTO REI,SÁBADO,08:41
92,BAIRRO CRISTO REI,SÁBADO,09:04
93,BAIRRO CRISTO REI,SÁBADO,09:27
94,BAIRRO CRISTO REI,SÁBADO,09:50
95,BAIRRO CRISTO REI,SÁBADO,10:13
96,BAIRRO CRISTO REI,SÁBADO,10:36
97,BAIRRO CRISTO REI,SÁBADO,10:59
98,BAIRRO CRISTO REI,SÁBADO,11:22
99,BAIRRO CRISTO REI,SÁBADO,11:45
100,BAIRRO CRISTO REI,SÁBADO,12:08
101,BAIRRO CRISTO REI,SÁBADO,12:31
102,BAIRRO CRISTO REI,SÁBADO,12:54
103,BAIRRO CRISTO REI,SÁBADO,13:17
104,BAIRRO CRISTO REI,SÁBADO,13:40
105,BAIRRO CRISTO REI,SÁBADO,14:03
106,BAIRRO CRISTO REI,SÁBADO,14:26
107,BAIRRO CRISTO REI,SÁBADO,14:49
108,BAIRRO CRISTO REI,SÁBADO,15:12
109,BAIRRO CRISTO REI,SÁBADO,15:35
110,BAIRRO CRISTO REI,SÁBADO,15:58
111,BAIRRO CRISTO REI,SÁBADO,16:21
112,BAIRRO CRISTO REI,SÁBADO,16:44
113,BAIRRO CRISTO REI,SÁBADO,17:07
114,BAIRRO CRISTO REI,SÁBADO,17:30
115,BAIRRO CRISTO REI,SÁBADO,17:53
116,BAIRRO CRISTO REI,SÁBADO,18:16
117,BAIRRO CRISTO REI,SÁBADO,18:39
118,BAIRRO CRISTO REI,SÁBADO,19:32
119,BAIRRO CRISTO REI,SÁBADO,20:22
120,BAIRRO CRISTO REI,SÁBADO,21:12
121,BAIRRO CRISTO REI,SÁBADO,22:02
122,BAIRRO CRISTO REI,SÁBADO,22:57
123,BAIRRO CRISTO REI,SÁBADO,23:40
124,STA.CASA DE MISERICORDIA,SÁBADO,06:23
125,STA.CASA DE MISERICORDIA,SÁBADO,06:46
126,STA.CASA DE MISERICORDIA,SÁBADO,07:09
127,STA.CASA DE MISERICORDIA,SÁBADO,07:32
128,STA.CASA DE MISERICORDIA,SÁBADO,07:55
129,STA.CASA DE MISERICORDIA,SÁBADO,08:18
130,STA.CASA DE MISERICORDIA,SÁBADO,08:41
131,STA.CASA DE MISERICORDIA,SÁBADO,09:04
132,STA.CASA DE MISERICORDIA,SÁBADO,09:27
133,STA.CASA DE MISERICORDIA,SÁBADO,09:50
134,STA.CASA DE MISERICORDIA,SÁBADO,10:13
135,STA.CASA DE MISERICORDIA,SÁBADO,10:36
136,STA.CASA DE MISERICORDIA,SÁBADO,10:59
137,STA.CASA DE MISERICORDIA,SÁBADO,11:22
138,STA.CASA DE MISERICORDIA,SÁBADO,11:45
139,STA.CASA DE MISERICORDIA,SÁBADO,12:08
140,STA.CASA DE MISERICORDIA,SÁBADO,12:31
141,STA.CASA DE MISERICORDIA,SÁBADO,12:54
142,STA.CASA DE MISERICORDIA,SÁBADO,13:17
143,STA.CASA DE MISERICORDIA,SÁBADO,13:40
144,STA.CASA DE MISERICORDIA,SÁBADO,14:03
145,STA.CASA DE MISERICORDIA,SÁBADO,14:26
146,STA.CASA DE MISERICORDIA,SÁBADO,14:49
147,STA.CASA DE MISERICORDIA,SÁBADO,15:12
148,STA.CASA DE MISERICORDIA,SÁBADO,15:35
149,STA.CASA DE MISERICORDIA,SÁBADO,15:58
150,STA.CASA DE MISERICORDIA,SÁBADO,16:21
151,STA.CASA DE MISERICORDIA,SÁBADO,16:44
152,STA.CASA DE MISERICORDIA,SÁBADO,17:07
153,STA.CASA DE MISERICORDIA,SÁBADO,17:30
154,STA.CASA DE MISERICORDIA,SÁBADO,17:53
155,STA.CASA DE MISERICORDIA,SÁBADO,18:16
156,STA.CASA DE MISERICORDIA,SÁBADO,18:39
157,STA.CASA DE MISERICORDIA,SÁBADO,19:03
158,STA.CASA DE MISERICORDIA,SÁBADO,19:57
159,STA.CASA DE MISERICORDIA,SÁBADO,20:47
160,STA.CASA DE MISERICORDIA,SÁBADO,21:37
161,STA.CASA DE MISERICORDIA,SÁBADO,22:27
162,STA.CASA DE MISERICORDIA,SÁBADO,23:20
163,STA.CASA DE MISERICORDIA,SÁBADO,00:00
164,BAIRRO CRISTO REI,DOMINGO,06:00
165,BAIRRO CRISTO REI,DOMINGO,06:40
166,BAIRRO CRISTO REI,DOMINGO,07:20
167,BAIRRO CRISTO REI,DOMINGO,08:00
168,BAIRRO CRISTO REI,DOMINGO,08:40
169,BAIRRO CRISTO REI,DOMINGO,09:20
170,BAIRRO CRISTO REI,DOMINGO,10:00
171,BAIRRO CRISTO REI,DOMINGO,10:40
