,pontos,dia,horarios
0,TERMINAL PINHEIRINHO,DIA ÚTIL,05:55
1,TERMINAL PINHEIRINHO,DIA ÚTIL,06:18
2,TERMINAL PINHEIRINHO,DIA ÚTIL,06:47
3,TERMINAL PINHEIRINHO,DIA ÚTIL,07:15
4,TERMINAL PINHEIRINHO,DIA ÚTIL,07:44
5,TERMINAL PINHEIRINHO,DIA ÚTIL,08:42
6,TERMINAL PINHEIRINHO,DIA ÚTIL,09:42
7,TERMINAL PINHEIRINHO,DIA ÚTIL,10:46
8,TERMINAL PINHEIRINHO,DIA ÚTIL,11:50
9,TERMINAL PINHEIRINHO,DIA ÚTIL,12:54
10,TERMINAL PINHEIRINHO,DIA ÚTIL,14:00
11,TERMINAL PINHEIRINHO,DIA ÚTIL,15:04
12,TERMINAL PINHEIRINHO,DIA ÚTIL,16:08
13,TERMINAL PINHEIRINHO,DIA ÚTIL,17:08
14,TERMINAL PINHEIRINHO,DIA ÚTIL,18:08
15,TERMINAL PINHEIRINHO,DIA ÚTIL,19:08
16,TERMINAL PINHEIRINHO,DIA ÚTIL,19:58
17,TERMINAL PINHEIRINHO,DIA ÚTIL,20:43
18,TERMINAL PINHEIRINHO,DIA ÚTIL,21:28
19,TERMINAL PINHEIRINHO,DIA ÚTIL,22:13
20,TERMINAL PINHEIRINHO,DIA ÚTIL,22:57
21,TERMINAL PINHEIRINHO,DIA ÚTIL,23:40
22,VILA DALAGASSA,DIA ÚTIL,05:30
23,VILA DALAGASSA,DIA ÚTIL,05:53
24,VILA DALAGASSA,DIA ÚTIL,06:16
25,VILA DALAGASSA,DIA ÚTIL,06:39
26,VILA DALAGASSA,DIA ÚTIL,07:09
27,VILA DALAGASSA,DIA ÚTIL,07:39
28,VILA DALAGASSA,DIA ÚTIL,08:09
29,VILA DALAGASSA,DIA ÚTIL,09:10
30,VILA DALAGASSA,DIA ÚTIL,10:14
31,VILA DALAGASSA,DIA ÚTIL,11:18
32,VILA DALAGASSA,DIA ÚTIL,12:22
33,VILA DALAGASSA,DIA ÚTIL,13:26
34,VILA DALAGASSA,DIA ÚTIL,14:30
35,VILA DALAGASSA,DIA ÚTIL,15:34
36,VILA DALAGASSA,DIA ÚTIL,16:38
37,VILA DALAGASSA,DIA ÚTIL,17:38
38,VILA DALAGASSA,DIA ÚTIL,18:38
39,VILA DALAGASSA,DIA ÚTIL,19:33
40,VILA DALAGASSA,DIA ÚTIL,20:18
41,VILA DALAGASSA,DIA ÚTIL,21:03
42,VILA DALAGASSA,DIA ÚTIL,21:48
43,VILA DALAGASSA,DIA ÚTIL,22:33
44,VILA DALAGASSA,DIA ÚTIL,23:16
