,pontos,dia,horarios
0,BAIRRO DETRAN,DIA ÚTIL,05:32
1,BAIRRO DETRAN,DIA ÚTIL,05:49
2,BAIRRO DETRAN,DIA ÚTIL,06:06
3,BAIRRO DETRAN,DIA ÚTIL,06:23
4,BAIRRO DETRAN,DIA ÚTIL,06:40
5,BAIRRO DETRAN,DIA ÚTIL,06:57
6,BAIRRO DETRAN,DIA ÚTIL,07:14
7,BAIRRO DETRAN,DIA ÚTIL,07:31
8,BAIRRO DETRAN,DIA ÚTIL,07:48
9,BAIRRO DETRAN,DIA ÚTIL,08:05
10,BAIRRO DETRAN,DIA ÚTIL,08:22
11,BAIRRO DETRAN,DIA ÚTIL,08:39
12,BAIRRO DETRAN,DIA ÚTIL,08:56
13,BAIRRO DETRAN,DIA ÚTIL,09:13
14,BAIRRO DETRAN,DIA ÚTIL,09:30
15,BAIRRO DETRAN,DIA ÚTIL,09:47
16,BAIRRO DETRAN,DIA ÚTIL,10:04
17,BAIRRO DETRAN,DIA ÚTIL,10:21
18,BAIRRO DETRAN,DIA ÚTIL,10:38
19,BAIRRO DETRAN,DIA ÚTIL,10:55
20,BAIRRO DETRAN,DIA ÚTIL,11:13
21,BAIRRO DETRAN,DIA ÚTIL,11:32
22,BAIRRO DETRAN,DIA ÚTIL,11:51
23,BAIRRO DETRAN,DIA ÚTIL,12:10
24,BAIRRO DETRAN,DIA ÚTIL,12:30
25,BAIRRO DETRAN,DIA ÚTIL,12:50
26,BAIRRO DETRAN,DIA ÚTIL,13:09
27,BAIRRO DETRAN,DIA ÚTIL,13:28
28,BAIRRO DETRAN,DIA ÚTIL,13:46
29,BAIRRO DETRAN,DIA ÚTIL,14:06
30,BAIRRO DETRAN,DIA ÚTIL,14:26
31,BAIRRO DETRAN,DIA ÚTIL,14:45
32,BAIRRO DETRAN,DIA ÚTIL,15:04
33,BAIRRO DETRAN,DIA ÚTIL,15:22
34,BAIRRO DETRAN,DIA ÚTIL,15:42
35,BAIRRO DETRAN,DIA ÚTIL,16:02
36,BAIRRO DETRAN,DIA ÚTIL,16:21
37,BAIRRO DETRAN,DIA ÚTIL,16:38
38,BAIRRO DETRAN,DIA ÚTIL,16:55
39,BAIRRO DETRAN,DIA ÚTIL,17:12
40,BAIRRO DETRAN,DIA ÚTIL,17:29
41,BAIRRO DETRAN,DIA ÚTIL,17:46
42,BAIRRO DETRAN,DIA ÚTIL,18:03
43,BAIRRO DETRAN,DIA ÚTIL,18:20
44,BAIRRO DETRAN,DIA ÚTIL,18:37
45,BAIRRO DETRAN,DIA ÚTIL,18:54
46,BAIRRO DETRAN,DIA ÚTIL,19:11
47,BAIRRO DETRAN,DIA ÚTIL,19:28
48,BAIRRO DETRAN,DIA ÚTIL,19:45
49,BAIRRO DETRAN,DIA ÚTIL,20:01
50,BAIRRO DETRAN,DIA ÚTIL,20:27
51,BAIRRO DETRAN,DIA ÚTIL,20:53
52,BAIRRO DETRAN,DIA ÚTIL,21:19
53,BAIRRO DETRAN,DIA ÚTIL,21:44
54,BAIRRO DETRAN,DIA ÚTIL,22:09
