,pontos,dia,horarios
0,BAIRRO DOM ATICO,DIA ÚTIL,05:40
1,BAIRRO DOM ATICO,DIA ÚTIL,06:00
2,BAIRRO DOM ATICO,DIA ÚTIL,06:20
3,BAIRRO DOM ATICO,DIA ÚTIL,06:40
4,BAIRRO DOM ATICO,DIA ÚTIL,07:00
5,BAIRRO DOM ATICO,DIA ÚTIL,07:20
6,BAIRRO DOM ATICO,DIA ÚTIL,07:40
7,BAIRRO DOM ATICO,DIA ÚTIL,08:00
8,BAIRRO DOM ATICO,DIA ÚTIL,08:20
9,BAIRRO DOM ATICO,DIA ÚTIL,08:40
10,BAIRRO DOM ATICO,DIA ÚTIL,09:10
11,BAIRRO DOM ATICO,DIA ÚTIL,09:40
12,BAIRRO DOM ATICO,DIA ÚTIL,10:10
13,BAIRRO DOM ATICO,DIA ÚTIL,10:40
14,BAIRRO DOM ATICO,DIA ÚTIL,11:10
15,BAIRRO DOM ATICO,DIA ÚTIL,11:40
16,BAIRRO DOM ATICO,DIA ÚTIL,12:10
17,BAIRRO DOM ATICO,DIA ÚTIL,12:40
18,BAIRRO DOM ATICO,DIA ÚTIL,13:10
19,BAIRRO DOM ATICO,DIA ÚTIL,13:40
20,BAIRRO DOM ATICO,DIA ÚTIL,14:10
21,BAIRRO DOM ATICO,DIA ÚTIL,14:40
22,BAIRRO DOM ATICO,DIA ÚTIL,15:10
23,BAIRRO DOM ATICO,DIA ÚTIL,15:40
24,BAIRRO DOM ATICO,DIA ÚTIL,16:10
25,BAIRRO DOM ATICO,DIA ÚTIL,16:40
26,BAIRRO DOM ATICO,DIA ÚTIL,17:10
27,BAIRRO DOM ATICO,DIA ÚTIL,17:43
28,BAIRRO DOM ATICO,DIA ÚTIL,18:05
29,BAIRRO DOM ATICO,DIA ÚTIL,18:27
30,BAIRRO DOM ATICO,DIA ÚTIL,18:49
31,BAIRRO DOM ATICO,DIA ÚTIL,19:30
32,BAIRRO DOM ATICO,DIA ÚTIL,20:00
33,BAIRRO DOM ATICO,DIA ÚTIL,20:30
34,BAIRRO DOM ATICO,DIA ÚTIL,21:00
35,BAIRRO DOM ATICO,DIA ÚTIL,21:30
36,BAIRRO DOM ATICO,DIA ÚTIL,22:00
37,BAIRRO DOM ATICO,DIA ÚTIL,22:30
38,BAIRRO DOM ATICO,DIA ÚTIL,23:00
39,BAIRRO DOM ATICO,DIA ÚTIL,23:30
40,BAIRRO DOM ATICO,DIA ÚTIL,23:57
41,PRACA RUI BARBOSA,DIA ÚTIL,06:11
42,PRACA RUI BARBOSA,DIA ÚTIL,06:31
43,PRACA RUI BARBOSA,DIA ÚTIL,06:51
44,PRACA RUI BARBOSA,DIA ÚTIL,07:11
45,PRACA RUI BARBOSA,DIA ÚTIL,07:31
46,PRACA RUI BARBOSA,DIA ÚTIL,07:51
47,PRACA RUI BARBOSA,DIA ÚTIL,08:11
48,PRACA RUI BARBOSA,DIA ÚTIL,08:40
49,PRACA RUI BARBOSA,DIA ÚTIL,09:10
50,PRACA RUI BARBOSA,DIA ÚTIL,09:40
51,PRACA RUI BARBOSA,DIA ÚTIL,10:10
52,PRACA RUI BARBOSA,DIA ÚTIL,10:40
53,PRACA RUI BARBOSA,DIA ÚTIL,11:10
54,PRACA RUI BARBOSA,DIA ÚTIL,11:40
55,PRACA RUI BARBOSA,DIA ÚTIL,12:10
56,PRACA RUI BARBOSA,DIA ÚTIL,12:40
57,PRACA RUI BARBOSA,DIA ÚTIL,13:10
58,PRACA RUI BARBOSA,DIA ÚTIL,13:40
59,PRACA RUI BARBOSA,DIA ÚTIL,14:10
60,PRACA RUI BARBOSA,DIA ÚTIL,14:40
61,PRACA RUI BARBOSA,DIA ÚTIL,15:10
62,PRACA RUI BARBOSA,DIA ÚTIL,15:40
63,PRACA RUI BARBOSA,DIA ÚTIL,16:10
64,PRACA RUI BARBOSA,DIA ÚTIL,16:40
65,PRACA RUI BARBOSA,DIA ÚTIL,17:10
66,PRACA RUI BARBOSA,DIA ÚTIL,17:32
67,PRACA RUI BARBOSA,DIA ÚTIL,17:54
68,PRACA RUI BARBOSA,DIA ÚTIL,18:16
69,PRACA RUI BARBOSA,DIA ÚTIL,18:38
70,PRACA RUI BARBOSA,DIA ÚTIL,19:00
71,PRACA RUI BARBOSA,DIA ÚTIL,19:30
72,PRACA RUI BARBOSA,DIA ÚTIL,20:00
73,PRACA RUI BARBOSA,DIA ÚTIL,20:30
74,PRACA RUI BARBOSA,DIA ÚTIL,21:00
75,PRACA RUI BARBOSA,DIA ÚTIL,21:30
76,PRACA RUI BARBOSA,DIA ÚTIL,22:00
77,PRACA RUI BARBOSA,DIA ÚTIL,22:30
78,PRACA RUI BARBOSA,DIA ÚTIL,23:00
79,PRACA RUI BARBOSA,DIA ÚTIL,23:30
80,PRACA RUI BARBOSA,DIA ÚTIL,00:00
81,PRACA RUI BARBOSA,DIA ÚTIL,00:24
82,BAIRRO DOM ATICO,SÁBADO,05:55
83,BAIRRO DOM ATICO,SÁBADO,06:20
84,BAIRRO DOM ATICO,SÁBADO,06:45
85,BAIRRO DOM ATICO,SÁBADO,07:10
86,BAIRRO DOM ATICO,SÁBADO,07:35
87,BAIRRO DOM ATICO,SÁBADO,08:00
88,BAIRRO DOM ATICO,SÁBADO,08:25
89,BAIRRO DOM ATICO,SÁBADO,08:55
90,BAIRRO DOM ATICO,SÁBADO,09:25
91,BAIRRO DOM ATICO,SÁBADO,09:55
92,BAIRRO DOM ATICO,SÁBADO,10:25
93,BAIRRO DOM ATICO,SÁBADO,10:55
94,BAIRRO DOM ATICO,SÁBADO,11:25
95,BAIRRO DOM ATICO,SÁBADO,11:55
96,BAIRRO DOM ATICO,SÁBADO,12:25
97,BAIRRO DOM ATICO,SÁBADO,12:55
98,BAIRRO DOM ATICO,SÁBADO,13:25
99,BAIRRO DOM ATICO,SÁBADO,13:55
100,BAIRRO DOM ATICO,SÁBADO,14:25
101,BAIRRO DOM ATICO,SÁBADO,14:55
102,BAIRRO DOM ATICO,SÁBADO,15:25
103,BAIRRO DOM ATICO,SÁBADO,15:55
104,BAIRRO DOM ATICO,SÁBADO,16:25
105,BAIRRO DOM ATICO,SÁBADO,16:55
106,BAIRRO DOM ATICO,SÁBADO,17:25
107,BAIRRO DOM ATICO,SÁBADO,17:55
108,BAIRRO DOM ATICO,SÁBADO,18:25
109,BAIRRO DOM ATICO,SÁBADO,18:55
110,BAIRRO DOM ATICO,SÁBADO,19:25
111,BAIRRO DOM ATICO,SÁBADO,19:55
112,BAIRRO DOM ATICO,SÁBADO,20:25
113,BAIRRO DOM ATICO,SÁBADO,20:55
114,BAIRRO DOM ATICO,SÁBADO,21:25
115,BAIRRO DOM ATICO,SÁBADO,21:55
116,BAIRRO DOM ATICO,SÁBADO,22:25
117,BAIRRO DOM ATICO,SÁBADO,22:55
118,BAIRRO DOM ATICO,SÁBADO,23:25
119,PRACA RUI BARBOSA,SÁBADO,06:20
120,PRACA RUI BARBOSA,SÁBADO,06:45
121,PRACA RUI BARBOSA,SÁBADO,07:10
122,PRACA RUI BARBOSA,SÁBADO,07:35
123,PRACA RUI BARBOSA,SÁBADO,08:00
124,PRACA RUI BARBOSA,SÁBADO,08:25
125,PRACA RUI BARBOSA,SÁBADO,08:55
126,PRACA RUI BARBOSA,SÁBADO,09:25
127,PRACA RUI BARBOSA,SÁBADO,09:55
128,PRACA RUI BARBOSA,SÁBADO,10:25
129,PRACA RUI BARBOSA,SÁBADO,10:55
130,PRACA RUI BARBOSA,SÁBADO,11:25
131,PRACA RUI BARBOSA,SÁBADO,11:55
132,PRACA RUI BARBOSA,SÁBADO,12:25
133,PRACA RUI BARBOSA,SÁBADO,12:55
134,PRACA RUI BARBOSA,SÁBADO,13:25
135,PRACA RUI BARBOSA,SÁBADO,13:55
136,PRACA RUI BARBOSA,SÁBADO,14:25
137,PRACA RUI BARBOSA,SÁBADO,14:55
138,PRACA RUI BARBOSA,SÁBADO,15:25
139,PRACA RUI BARBOSA,SÁBADO,15:55
140,PRACA RUI BARBOSA,SÁBADO,16:25
141,PRACA RUI BARBOSA,SÁBADO,16:55
142,PRACA RUI BARBOSA,SÁBADO,17:25
143,PRACA RUI BARBOSA,SÁBADO,17:55
144,PRACA RUI BARBOSA,SÁBADO,18:25
145,PRACA RUI BARBOSA,SÁBADO,18:55
146,PRACA RUI BARBOSA,SÁBADO,19:25
147,PRACA RUI BARBOSA,SÁBADO,19:55
148,PRACA RUI BARBOSA,SÁBADO,20:25
149,PRACA RUI BARBOSA,SÁBADO,20:55
150,PRACA RUI BARBOSA,SÁBADO,21:25
151,PRACA RUI BARBOSA,SÁBADO,21:55
152,PRACA RUI BARBOSA,SÁBADO,22:25
153,PRACA RUI BARBOSA,SÁBADO,22:55
154,PRACA RUI BARBOSA,SÁBADO,23:25
155,PRACA RUI BARBOSA,SÁBADO,23:55
156,BAIRRO DOM ATICO,DOMINGO,06:13
157,BAIRRO DOM ATICO,DOMINGO,06:43
158,BAIRRO DOM ATICO,DOMINGO,07:13
159,BAIRRO DOM ATICO,DOMINGO,07:43
160,BAIRRO DOM ATICO,DOMINGO,08:13
161,BAIRRO DOM ATICO,DOMINGO,08:43
162,BAIRRO DOM ATICO,DOMINGO,09:13
163,BAIRRO DOM ATICO,DOMINGO,09:43
164,BAIRRO DOM ATICO,DOMINGO,10:13
165,BAIRRO DOM ATICO,DOMINGO,10:43
166,BAIRRO DOM ATICO,DOMINGO,11:13
167,BAIRRO DOM ATICO,DOMINGO,11:43
168,BAIRRO DOM ATICO,DOMINGO,12:13
169,BAIRRO DOM ATICO,DOMINGO,12:43
170,BAIRRO DOM ATICO,DOMINGO,13:13
171,BAIRRO DOM ATICO,DOMINGO,13:43
172,BAIRRO DOM ATICO,DOMINGO,14:13
173,BAIRRO DOM ATICO,DOMINGO,14:43
174,BAIRRO DOM ATICO,DOMINGO,15:13
175,BAIRRO DOM ATICO,DOMINGO,15:43
176,BAIRRO DOM ATICO,DOMINGO,16:13
177,BAIRRO DOM ATICO,DOMINGO,16:43
178,BAIRRO DOM ATICO,DOMINGO,17:13
179,BAIRRO DOM ATICO,DOMINGO,17:43
180,BAIRRO DOM ATICO,DOMINGO,18:13
181,BAIRRO DOM ATICO,DOMINGO,18:43
182,BAIRRO DOM ATICO,DOMINGO,19:13
183,BAIRRO DOM ATICO,DOMINGO,19:43
184,BAIRRO DOM ATICO,DOMINGO,20:13
185,BAIRRO DOM ATICO,DOMINGO,20:43
186,BAIRRO DOM ATICO,DOMINGO,21:13
187,BAIRRO DOM ATICO,DOMINGO,21:43
188,BAIRRO DOM ATICO,DOMINGO,22:13
189,BAIRRO DOM ATICO,DOMINGO,22:43
