,pontos,dia,horarios
0,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,05:12
1,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,05:40
2,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,05:57
3,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,06:10
4,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,06:27
5,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,06:35
6,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,06:55
7,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,07:02
8,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,07:25
9,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,07:30
10,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,07:50
11,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,08:05
12,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,08:40
13,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,09:35
14,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,10:30
15,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,11:25
16,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,12:20
17,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,13:15
18,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,14:10
19,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,15:05
20,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,16:00
21,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,16:35
22,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,16:50
23,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,17:05
24,T.BOQUEIRAO/SENT.E.VERISSIMO,DIA ÚTIL,17:30
