,pontos,dia,horarios
0,BAIRRO ERASTO GAERTNER,DIA ÚTIL,06:20
1,BAIRRO ERASTO GAERTNER,DIA ÚTIL,07:05
2,BAIRRO ERASTO GAERTNER,DIA ÚTIL,07:55
3,BAIRRO ERASTO GAERTNER,DIA ÚTIL,08:45
4,BAIRRO ERASTO GAERTNER,DIA ÚTIL,09:35
5,BAIRRO ERASTO GAERTNER,DIA ÚTIL,10:25
6,BAIRRO ERASTO GAERTNER,DIA ÚTIL,11:15
7,BAIRRO ERASTO GAERTNER,DIA ÚTIL,12:05
8,BAIRRO ERASTO GAERTNER,DIA ÚTIL,12:55
9,BAIRRO ERASTO GAERTNER,DIA ÚTIL,13:45
10,BAIRRO ERASTO GAERTNER,DIA ÚTIL,14:35
11,BAIRRO ERASTO GAERTNER,DIA ÚTIL,15:25
12,BAIRRO ERASTO GAERTNER,DIA ÚTIL,16:15
13,BAIRRO ERASTO GAERTNER,DIA ÚTIL,17:10
14,BAIRRO ERASTO GAERTNER,DIA ÚTIL,18:10
15,BAIRRO ERASTO GAERTNER,DIA ÚTIL,19:10
16,BAIRRO ERASTO GAERTNER,DIA ÚTIL,20:00
17,BAIRRO ERASTO GAERTNER,DIA ÚTIL,20:50
18,BAIRRO ERASTO GAERTNER,DIA ÚTIL,21:40
19,BAIRRO ERASTO GAERTNER,DIA ÚTIL,22:20
20,BAIRRO ERASTO GAERTNER,DIA ÚTIL,23:00
21,BAIRRO ERASTO GAERTNER,DIA ÚTIL,23:40
22,PRACA RUI BARBOSA,DIA ÚTIL,06:00
23,PRACA RUI BARBOSA,DIA ÚTIL,06:40
24,PRACA RUI BARBOSA,DIA ÚTIL,07:30
25,PRACA RUI BARBOSA,DIA ÚTIL,08:20
26,PRACA RUI BARBOSA,DIA ÚTIL,09:10
27,PRACA RUI BARBOSA,DIA ÚTIL,10:00
28,PRACA RUI BARBOSA,DIA ÚTIL,10:50
29,PRACA RUI BARBOSA,DIA ÚTIL,11:40
30,PRACA RUI BARBOSA,DIA ÚTIL,12:30
31,PRACA RUI BARBOSA,DIA ÚTIL,13:20
32,PRACA RUI BARBOSA,DIA ÚTIL,14:10
33,PRACA RUI BARBOSA,DIA ÚTIL,15:00
34,PRACA RUI BARBOSA,DIA ÚTIL,15:50
35,PRACA RUI BARBOSA,DIA ÚTIL,16:40
36,PRACA RUI BARBOSA,DIA ÚTIL,17:40
37,PRACA RUI BARBOSA,DIA ÚTIL,18:40
38,PRACA RUI BARBOSA,DIA ÚTIL,19:35
39,PRACA RUI BARBOSA,DIA ÚTIL,20:25
40,PRACA RUI BARBOSA,DIA ÚTIL,21:15
41,PRACA RUI BARBOSA,DIA ÚTIL,22:00
42,PRACA RUI BARBOSA,DIA ÚTIL,22:40
43,PRACA RUI BARBOSA,DIA ÚTIL,23:20
44,PRACA RUI BARBOSA,DIA ÚTIL,00:00
45,BAIRRO ERASTO GAERTNER,SÁBADO,06:20
46,BAIRRO ERASTO GAERTNER,SÁBADO,07:05
47,BAIRRO ERASTO GAERTNER,SÁBADO,07:55
48,BAIRRO ERASTO GAERTNER,SÁBADO,08:45
49,BAIRRO ERASTO GAERTNER,SÁBADO,09:35
50,BAIRRO ERASTO GAERTNER,SÁBADO,10:25
51,BAIRRO ERASTO GAERTNER,SÁBADO,11:15
52,BAIRRO ERASTO GAERTNER,SÁBADO,12:05
53,BAIRRO ERASTO GAERTNER,SÁBADO,12:55
54,BAIRRO ERASTO GAERTNER,SÁBADO,13:45
55,BAIRRO ERASTO GAERTNER,SÁBADO,14:35
56,BAIRRO ERASTO GAERTNER,SÁBADO,15:25
57,BAIRRO ERASTO GAERTNER,SÁBADO,16:15
58,BAIRRO ERASTO GAERTNER,SÁBADO,17:10
59,BAIRRO ERASTO GAERTNER,SÁBADO,18:10
60,BAIRRO ERASTO GAERTNER,SÁBADO,19:10
61,BAIRRO ERASTO GAERTNER,SÁBADO,20:00
62,BAIRRO ERASTO GAERTNER,SÁBADO,20:50
63,BAIRRO ERASTO GAERTNER,SÁBADO,21:40
64,BAIRRO ERASTO GAERTNER,SÁBADO,22:20
65,BAIRRO ERASTO GAERTNER,SÁBADO,23:00
66,BAIRRO ERASTO GAERTNER,SÁBADO,23:40
67,PRACA RUI BARBOSA,SÁBADO,06:00
68,PRACA RUI BARBOSA,SÁBADO,06:40
69,PRACA RUI BARBOSA,SÁBADO,07:30
70,PRACA RUI BARBOSA,SÁBADO,08:20
