,pontos,dia,horarios
0,BAIRRO ESTRIBO AHU,DIA ÚTIL,05:30
1,BAIRRO ESTRIBO AHU,DIA ÚTIL,05:56
2,BAIRRO ESTRIBO AHU,DIA ÚTIL,06:21
3,BAIRRO ESTRIBO AHU,DIA ÚTIL,06:38
4,BAIRRO ESTRIBO AHU,DIA ÚTIL,06:55
5,BAIRRO ESTRIBO AHU,DIA ÚTIL,07:12
6,BAIRRO ESTRIBO AHU,DIA ÚTIL,07:29
7,BAIRRO ESTRIBO AHU,DIA ÚTIL,07:46
8,BAIRRO ESTRIBO AHU,DIA ÚTIL,08:03
9,BAIRRO ESTRIBO AHU,DIA ÚTIL,08:20
10,BAIRRO ESTRIBO AHU,DIA ÚTIL,08:37
11,BAIRRO ESTRIBO AHU,DIA ÚTIL,09:00
12,BAIRRO ESTRIBO AHU,DIA ÚTIL,09:25
13,BAIRRO ESTRIBO AHU,DIA ÚTIL,09:50
14,BAIRRO ESTRIBO AHU,DIA ÚTIL,10:15
15,BAIRRO ESTRIBO AHU,DIA ÚTIL,10:36
16,BAIRRO ESTRIBO AHU,DIA ÚTIL,11:03
17,BAIRRO ESTRIBO AHU,DIA ÚTIL,11:28
18,BAIRRO ESTRIBO AHU,DIA ÚTIL,11:47
19,BAIRRO ESTRIBO AHU,DIA ÚTIL,12:05
20,BAIRRO ESTRIBO AHU,DIA ÚTIL,12:23
21,BAIRRO ESTRIBO AHU,DIA ÚTIL,12:41
22,BAIRRO ESTRIBO AHU,DIA ÚTIL,12:59
23,BAIRRO ESTRIBO AHU,DIA ÚTIL,13:17
24,BAIRRO ESTRIBO AHU,DIA ÚTIL,13:35
25,BAIRRO ESTRIBO AHU,DIA ÚTIL,13:53
26,BAIRRO ESTRIBO AHU,DIA ÚTIL,14:11
27,BAIRRO ESTRIBO AHU,DIA ÚTIL,14:30
28,BAIRRO ESTRIBO AHU,DIA ÚTIL,14:50
29,BAIRRO ESTRIBO AHU,DIA ÚTIL,15:10
30,BAIRRO ESTRIBO AHU,DIA ÚTIL,15:30
31,BAIRRO ESTRIBO AHU,DIA ÚTIL,15:50
32,BAIRRO ESTRIBO AHU,DIA ÚTIL,16:10
33,BAIRRO ESTRIBO AHU,DIA ÚTIL,16:30
34,BAIRRO ESTRIBO AHU,DIA ÚTIL,16:50
35,BAIRRO ESTRIBO AHU,DIA ÚTIL,17:10
36,BAIRRO ESTRIBO AHU,DIA ÚTIL,17:30
37,BAIRRO ESTRIBO AHU,DIA ÚTIL,17:50
38,BAIRRO ESTRIBO AHU,DIA ÚTIL,18:11
39,BAIRRO ESTRIBO AHU,DIA ÚTIL,18:32
40,BAIRRO ESTRIBO AHU,DIA ÚTIL,18:55
41,BAIRRO ESTRIBO AHU,DIA ÚTIL,19:25
42,BAIRRO ESTRIBO AHU,DIA ÚTIL,19:50
43,BAIRRO ESTRIBO AHU,DIA ÚTIL,20:15
44,BAIRRO ESTRIBO AHU,DIA ÚTIL,20:40
45,BAIRRO ESTRIBO AHU,DIA ÚTIL,21:08
46,BAIRRO ESTRIBO AHU,DIA ÚTIL,21:36
47,BAIRRO ESTRIBO AHU,DIA ÚTIL,22:05
48,BAIRRO ESTRIBO AHU,DIA ÚTIL,22:54
49,BAIRRO ESTRIBO AHU,DIA ÚTIL,23:38
50,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,05:55
51,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,06:28
52,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,06:47
53,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:04
54,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:21
55,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:38
56,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:55
57,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,08:12
58,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,08:35
59,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,09:00
60,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,09:25
61,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,09:50
62,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,10:15
63,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,10:40
64,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,10:58
65,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,11:17
66,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,11:35
67,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,11:55
68,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,12:14
69,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,12:32
70,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,12:49
71,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,13:07
72,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,13:25
73,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,13:44
74,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,14:02
75,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,14:20
76,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,14:40
77,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,15:00
78,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,15:20
79,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,15:40
80,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,16:00
81,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,16:20
82,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,16:40
83,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,17:00
84,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,17:20
85,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,17:40
86,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,18:00
87,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,18:20
88,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,18:40
89,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,19:00
90,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,19:25
91,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,19:50
92,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,20:15
93,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,20:40
94,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,21:08
95,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,21:36
96,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,22:04
97,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,22:32
98,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,23:16
99,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,00:00
100,BAIRRO ESTRIBO AHU,SÁBADO,06:00
101,BAIRRO ESTRIBO AHU,SÁBADO,06:25
102,BAIRRO ESTRIBO AHU,SÁBADO,06:50
103,BAIRRO ESTRIBO AHU,SÁBADO,07:15
104,BAIRRO ESTRIBO AHU,SÁBADO,07:40
105,BAIRRO ESTRIBO AHU,SÁBADO,08:05
106,BAIRRO ESTRIBO AHU,SÁBADO,08:30
