,pontos,dia,horarios
0,BAIRRO ESTUDANTES,DIA ÚTIL,06:00
1,BAIRRO ESTUDANTES,DIA ÚTIL,06:23
2,BAIRRO ESTUDANTES,DIA ÚTIL,06:43
3,BAIRRO ESTUDANTES,DIA ÚTIL,07:10
4,BAIRRO ESTUDANTES,DIA ÚTIL,07:23
5,BAIRRO ESTUDANTES,DIA ÚTIL,07:50
6,BAIRRO ESTUDANTES,DIA ÚTIL,08:15
7,BAIRRO ESTUDANTES,DIA ÚTIL,08:38
8,BAIRRO ESTUDANTES,DIA ÚTIL,09:00
9,BAIRRO ESTUDANTES,DIA ÚTIL,09:23
10,BAIRRO ESTUDANTES,DIA ÚTIL,09:45
11,BAIRRO ESTUDANTES,DIA ÚTIL,10:08
12,BAIRRO ESTUDANTES,DIA ÚTIL,10:30
13,BAIRRO ESTUDANTES,DIA ÚTIL,10:53
14,BAIRRO ESTUDANTES,DIA ÚTIL,11:15
15,BAIRRO ESTUDANTES,DIA ÚTIL,11:38
16,BAIRRO ESTUDANTES,DIA ÚTIL,12:00
17,BAIRRO ESTUDANTES,DIA ÚTIL,12:23
18,BAIRRO ESTUDANTES,DIA ÚTIL,12:45
19,BAIRRO ESTUDANTES,DIA ÚTIL,13:08
20,BAIRRO ESTUDANTES,DIA ÚTIL,13:30
21,BAIRRO ESTUDANTES,DIA ÚTIL,13:53
22,BAIRRO ESTUDANTES,DIA ÚTIL,14:15
23,BAIRRO ESTUDANTES,DIA ÚTIL,14:38
24,BAIRRO ESTUDANTES,DIA ÚTIL,15:00
25,BAIRRO ESTUDANTES,DIA ÚTIL,15:23
26,BAIRRO ESTUDANTES,DIA ÚTIL,15:45
27,BAIRRO ESTUDANTES,DIA ÚTIL,16:08
28,BAIRRO ESTUDANTES,DIA ÚTIL,16:35
29,BAIRRO ESTUDANTES,DIA ÚTIL,17:02
30,BAIRRO ESTUDANTES,DIA ÚTIL,17:29
31,BAIRRO ESTUDANTES,DIA ÚTIL,17:56
32,BAIRRO ESTUDANTES,DIA ÚTIL,18:23
33,BAIRRO ESTUDANTES,DIA ÚTIL,18:50
34,BAIRRO ESTUDANTES,DIA ÚTIL,19:17
35,BAIRRO ESTUDANTES,DIA ÚTIL,19:44
36,BAIRRO ESTUDANTES,DIA ÚTIL,20:06
37,BAIRRO ESTUDANTES,DIA ÚTIL,20:33
38,BAIRRO ESTUDANTES,DIA ÚTIL,20:54
39,BAIRRO ESTUDANTES,DIA ÚTIL,21:16
40,BAIRRO ESTUDANTES,DIA ÚTIL,21:38
41,BAIRRO ESTUDANTES,DIA ÚTIL,22:00
42,BAIRRO ESTUDANTES,DIA ÚTIL,22:20
43,BAIRRO ESTUDANTES,DIA ÚTIL,22:40
44,BAIRRO ESTUDANTES,DIA ÚTIL,23:00
45,BAIRRO ESTUDANTES,DIA ÚTIL,23:20
46,BAIRRO ESTUDANTES,DIA ÚTIL,23:40
47,PASSEIO PUBLICO,DIA ÚTIL,06:23
48,PASSEIO PUBLICO,DIA ÚTIL,06:50
49,PASSEIO PUBLICO,DIA ÚTIL,07:03
50,PASSEIO PUBLICO,DIA ÚTIL,07:30
51,PASSEIO PUBLICO,DIA ÚTIL,07:49
52,PASSEIO PUBLICO,DIA ÚTIL,08:16
53,PASSEIO PUBLICO,DIA ÚTIL,08:38
54,PASSEIO PUBLICO,DIA ÚTIL,09:01
55,PASSEIO PUBLICO,DIA ÚTIL,09:23
56,PASSEIO PUBLICO,DIA ÚTIL,09:46
57,PASSEIO PUBLICO,DIA ÚTIL,10:08
58,PASSEIO PUBLICO,DIA ÚTIL,10:31
59,PASSEIO PUBLICO,DIA ÚTIL,10:53
60,PASSEIO PUBLICO,DIA ÚTIL,11:16
61,PASSEIO PUBLICO,DIA ÚTIL,11:38
62,PASSEIO PUBLICO,DIA ÚTIL,12:01
63,PASSEIO PUBLICO,DIA ÚTIL,12:23
64,PASSEIO PUBLICO,DIA ÚTIL,12:46
65,PASSEIO PUBLICO,DIA ÚTIL,13:08
66,PASSEIO PUBLICO,DIA ÚTIL,13:31
67,PASSEIO PUBLICO,DIA ÚTIL,13:53
68,PASSEIO PUBLICO,DIA ÚTIL,14:16
69,PASSEIO PUBLICO,DIA ÚTIL,14:38
70,PASSEIO PUBLICO,DIA ÚTIL,15:01
71,PASSEIO PUBLICO,DIA ÚTIL,15:23
72,PASSEIO PUBLICO,DIA ÚTIL,15:46
73,PASSEIO PUBLICO,DIA ÚTIL,16:08
74,PASSEIO PUBLICO,DIA ÚTIL,16:35
75,PASSEIO PUBLICO,DIA ÚTIL,17:02
76,PASSEIO PUBLICO,DIA ÚTIL,17:29
77,PASSEIO PUBLICO,DIA ÚTIL,17:56
78,PASSEIO PUBLICO,DIA ÚTIL,18:23
79,PASSEIO PUBLICO,DIA ÚTIL,18:50
80,PASSEIO PUBLICO,DIA ÚTIL,19:17
81,PASSEIO PUBLICO,DIA ÚTIL,19:44
82,PASSEIO PUBLICO,DIA ÚTIL,20:11
83,PASSEIO PUBLICO,DIA ÚTIL,20:32
84,PASSEIO PUBLICO,DIA ÚTIL,20:55
85,PASSEIO PUBLICO,DIA ÚTIL,21:16
86,PASSEIO PUBLICO,DIA ÚTIL,21:38
87,PASSEIO PUBLICO,DIA ÚTIL,22:00
88,PASSEIO PUBLICO,DIA ÚTIL,22:20
89,PASSEIO PUBLICO,DIA ÚTIL,22:40
90,PASSEIO PUBLICO,DIA ÚTIL,23:00
91,PASSEIO PUBLICO,DIA ÚTIL,23:20
92,PASSEIO PUBLICO,DIA ÚTIL,23:40
93,BAIRRO ESTUDANTES,SÁBADO,06:00
94,BAIRRO ESTUDANTES,SÁBADO,06:40
