,pontos,dia,horarios
0,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,05:43
1,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,06:05
2,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,06:27
3,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,06:50
4,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,07:15
5,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,07:40
6,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,08:05
7,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,08:30
8,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,08:55
9,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,09:20
10,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,09:45
11,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,10:10
12,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,10:35
13,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,11:00
14,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,11:25
15,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,11:50
16,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,12:15
17,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,12:40
18,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,13:05
19,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,13:30
20,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,13:55
21,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,14:20
22,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,14:45
23,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,15:10
24,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,15:35
25,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,16:00
26,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,16:25
27,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,16:50
28,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,17:18
29,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,17:58
30,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,18:30
31,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,19:03
32,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,19:38
33,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,20:13
34,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,20:48
35,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,21:23
36,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,21:58
37,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,22:33
38,BAIRRO F.NORONHA/LARANJEIRAS,SÁBADO,23:08
39,TRAVESSA MOREIRA GARCEZ,SÁBADO,06:22
40,TRAVESSA MOREIRA GARCEZ,SÁBADO,06:46
41,TRAVESSA MOREIRA GARCEZ,SÁBADO,07:10
42,TRAVESSA MOREIRA GARCEZ,SÁBADO,07:35
43,TRAVESSA MOREIRA GARCEZ,SÁBADO,08:00
44,TRAVESSA MOREIRA GARCEZ,SÁBADO,08:25
45,TRAVESSA MOREIRA GARCEZ,SÁBADO,08:50
46,TRAVESSA MOREIRA GARCEZ,SÁBADO,09:15
47,TRAVESSA MOREIRA GARCEZ,SÁBADO,09:40
48,TRAVESSA MOREIRA GARCEZ,SÁBADO,10:05
49,TRAVESSA MOREIRA GARCEZ,SÁBADO,10:30
50,TRAVESSA MOREIRA GARCEZ,SÁBADO,10:55
51,TRAVESSA MOREIRA GARCEZ,SÁBADO,11:20
52,TRAVESSA MOREIRA GARCEZ,SÁBADO,11:45
53,TRAVESSA MOREIRA GARCEZ,SÁBADO,12:10
54,TRAVESSA MOREIRA GARCEZ,SÁBADO,12:35
55,TRAVESSA MOREIRA GARCEZ,SÁBADO,13:00
56,TRAVESSA MOREIRA GARCEZ,SÁBADO,13:25
57,TRAVESSA MOREIRA GARCEZ,SÁBADO,13:50
58,TRAVESSA MOREIRA GARCEZ,SÁBADO,14:15
59,TRAVESSA MOREIRA GARCEZ,SÁBADO,14:40
60,TRAVESSA MOREIRA GARCEZ,SÁBADO,15:05
61,TRAVESSA MOREIRA GARCEZ,SÁBADO,15:30
62,TRAVESSA MOREIRA GARCEZ,SÁBADO,15:55
63,TRAVESSA MOREIRA GARCEZ,SÁBADO,16:20
64,TRAVESSA MOREIRA GARCEZ,SÁBADO,16:45
65,TRAVESSA MOREIRA GARCEZ,SÁBADO,17:08
66,TRAVESSA MOREIRA GARCEZ,SÁBADO,17:30
67,TRAVESSA MOREIRA GARCEZ,SÁBADO,18:02
68,TRAVESSA MOREIRA GARCEZ,SÁBADO,18:35
69,TRAVESSA MOREIRA GARCEZ,SÁBADO,19:10
70,TRAVESSA MOREIRA GARCEZ,SÁBADO,19:45
71,TRAVESSA MOREIRA GARCEZ,SÁBADO,20:20
72,TRAVESSA MOREIRA GARCEZ,SÁBADO,20:55
73,TRAVESSA MOREIRA GARCEZ,SÁBADO,21:30
74,TRAVESSA MOREIRA GARCEZ,SÁBADO,22:05
75,TRAVESSA MOREIRA GARCEZ,SÁBADO,22:40
76,TRAVESSA MOREIRA GARCEZ,SÁBADO,23:15
77,TRAVESSA MOREIRA GARCEZ,SÁBADO,23:50
78,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,05:58
79,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,07:03
80,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,08:05
81,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,09:07
82,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,10:09
83,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,11:11
84,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,12:13
85,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,13:16
86,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,14:18
87,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,15:20
88,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,16:21
89,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,17:23
90,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,18:25
91,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,19:27
92,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,20:29
93,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,21:30
94,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,22:29
95,BAIRRO F.NORONHA/LARANJEIRAS,DOMINGO,23:27
96,TRAVESSA MOREIRA GARCEZ,DOMINGO,06:35
97,TRAVESSA MOREIRA GARCEZ,DOMINGO,07:38
98,TRAVESSA MOREIRA GARCEZ,DOMINGO,08:40
99,TRAVESSA MOREIRA GARCEZ,DOMINGO,09:42
100,TRAVESSA MOREIRA GARCEZ,DOMINGO,10:44
101,TRAVESSA MOREIRA GARCEZ,DOMINGO,11:46
102,TRAVESSA MOREIRA GARCEZ,DOMINGO,12:48
103,TRAVESSA MOREIRA GARCEZ,DOMINGO,13:50
104,TRAVESSA MOREIRA GARCEZ,DOMINGO,14:52
105,TRAVESSA MOREIRA GARCEZ,DOMINGO,15:54
106,TRAVESSA MOREIRA GARCEZ,DOMINGO,16:56
107,TRAVESSA MOREIRA GARCEZ,DOMINGO,17:58
108,TRAVESSA MOREIRA GARCEZ,DOMINGO,19:00
109,TRAVESSA MOREIRA GARCEZ,DOMINGO,20:02
110,TRAVESSA MOREIRA GARCEZ,DOMINGO,21:04
111,TRAVESSA MOREIRA GARCEZ,DOMINGO,22:04
112,TRAVESSA MOREIRA GARCEZ,DOMINGO,23:02
113,TRAVESSA MOREIRA GARCEZ,DOMINGO,00:00
