,pontos,dia,horarios
0,TERMINAL HAUER,DIA ÚTIL,05:20
1,TERMINAL HAUER,DIA ÚTIL,05:34
2,TERMINAL HAUER,DIA ÚTIL,05:44
3,TERMINAL HAUER,DIA ÚTIL,05:56
4,TERMINAL HAUER,DIA ÚTIL,06:08
5,TERMINAL HAUER,DIA ÚTIL,06:20
6,TERMINAL HAUER,DIA ÚTIL,06:32
7,TERMINAL HAUER,DIA ÚTIL,06:44
8,TERMINAL HAUER,DIA ÚTIL,06:56
9,TERMINAL HAUER,DIA ÚTIL,07:08
10,TERMINAL HAUER,DIA ÚTIL,07:20
11,TERMINAL HAUER,DIA ÚTIL,07:32
12,TERMINAL HAUER,DIA ÚTIL,07:44
13,TERMINAL HAUER,DIA ÚTIL,07:56
14,TERMINAL HAUER,DIA ÚTIL,08:08
15,TERMINAL HAUER,DIA ÚTIL,08:23
16,TERMINAL HAUER,DIA ÚTIL,08:37
17,TERMINAL HAUER,DIA ÚTIL,08:44
18,TERMINAL HAUER,DIA ÚTIL,09:02
19,TERMINAL HAUER,DIA ÚTIL,09:22
20,TERMINAL HAUER,DIA ÚTIL,09:42
21,TERMINAL HAUER,DIA ÚTIL,10:02
22,TERMINAL HAUER,DIA ÚTIL,10:22
23,TERMINAL HAUER,DIA ÚTIL,10:42
24,TERMINAL HAUER,DIA ÚTIL,11:02
25,TERMINAL HAUER,DIA ÚTIL,11:22
26,TERMINAL HAUER,DIA ÚTIL,11:42
27,TERMINAL HAUER,DIA ÚTIL,12:02
28,TERMINAL HAUER,DIA ÚTIL,12:22
29,TERMINAL HAUER,DIA ÚTIL,12:42
30,TERMINAL HAUER,DIA ÚTIL,13:02
31,TERMINAL HAUER,DIA ÚTIL,13:22
32,TERMINAL HAUER,DIA ÚTIL,13:42
33,TERMINAL HAUER,DIA ÚTIL,14:02
34,TERMINAL HAUER,DIA ÚTIL,14:22
35,TERMINAL HAUER,DIA ÚTIL,14:42
36,TERMINAL HAUER,DIA ÚTIL,15:02
37,TERMINAL HAUER,DIA ÚTIL,15:22
38,TERMINAL HAUER,DIA ÚTIL,15:42
39,TERMINAL HAUER,DIA ÚTIL,16:02
40,TERMINAL HAUER,DIA ÚTIL,16:25
41,TERMINAL HAUER,DIA ÚTIL,16:44
42,TERMINAL HAUER,DIA ÚTIL,16:57
43,TERMINAL HAUER,DIA ÚTIL,17:10
44,TERMINAL HAUER,DIA ÚTIL,17:22
45,TERMINAL HAUER,DIA ÚTIL,17:35
46,TERMINAL HAUER,DIA ÚTIL,17:47
47,TERMINAL HAUER,DIA ÚTIL,18:00
48,TERMINAL HAUER,DIA ÚTIL,18:12
49,TERMINAL HAUER,DIA ÚTIL,18:25
50,TERMINAL HAUER,DIA ÚTIL,18:37
51,TERMINAL HAUER,DIA ÚTIL,18:50
52,TERMINAL HAUER,DIA ÚTIL,19:02
53,TERMINAL HAUER,DIA ÚTIL,19:15
54,TERMINAL HAUER,DIA ÚTIL,19:34
55,TERMINAL HAUER,DIA ÚTIL,19:44
56,TERMINAL HAUER,DIA ÚTIL,19:52
57,TERMINAL HAUER,DIA ÚTIL,20:05
58,TERMINAL HAUER,DIA ÚTIL,20:30
59,TERMINAL HAUER,DIA ÚTIL,20:55
60,TERMINAL HAUER,DIA ÚTIL,21:20
61,TERMINAL HAUER,DIA ÚTIL,21:45
62,TERMINAL HAUER,DIA ÚTIL,22:10
63,TERMINAL HAUER,DIA ÚTIL,22:35
64,TERMINAL HAUER,DIA ÚTIL,23:00
65,TERMINAL HAUER,DIA ÚTIL,23:25
66,TERMINAL HAUER,DIA ÚTIL,23:50
67,TERMINAL HAUER,DIA ÚTIL,00:10
68,TERMINAL CAPAO RASO,DIA ÚTIL,05:20
69,TERMINAL CAPAO RASO,DIA ÚTIL,05:32
70,TERMINAL CAPAO RASO,DIA ÚTIL,05:44
71,TERMINAL CAPAO RASO,DIA ÚTIL,05:56
72,TERMINAL CAPAO RASO,DIA ÚTIL,06:08
73,TERMINAL CAPAO RASO,DIA ÚTIL,06:20
74,TERMINAL CAPAO RASO,DIA ÚTIL,06:32
75,TERMINAL CAPAO RASO,DIA ÚTIL,06:44
76,TERMINAL CAPAO RASO,DIA ÚTIL,06:56
77,TERMINAL CAPAO RASO,DIA ÚTIL,07:08
78,TERMINAL CAPAO RASO,DIA ÚTIL,07:20
79,TERMINAL CAPAO RASO,DIA ÚTIL,07:32
80,TERMINAL CAPAO RASO,DIA ÚTIL,07:44
81,TERMINAL CAPAO RASO,DIA ÚTIL,07:56
82,TERMINAL CAPAO RASO,DIA ÚTIL,08:08
83,TERMINAL CAPAO RASO,DIA ÚTIL,08:20
84,TERMINAL CAPAO RASO,DIA ÚTIL,08:32
85,TERMINAL CAPAO RASO,DIA ÚTIL,08:52
86,TERMINAL CAPAO RASO,DIA ÚTIL,09:12
87,TERMINAL CAPAO RASO,DIA ÚTIL,09:32
88,TERMINAL CAPAO RASO,DIA ÚTIL,09:52
89,TERMINAL CAPAO RASO,DIA ÚTIL,10:12
90,TERMINAL CAPAO RASO,DIA ÚTIL,10:32
91,TERMINAL CAPAO RASO,DIA ÚTIL,10:52
92,TERMINAL CAPAO RASO,DIA ÚTIL,11:12
93,TERMINAL CAPAO RASO,DIA ÚTIL,11:32
94,TERMINAL CAPAO RASO,DIA ÚTIL,11:52
95,TERMINAL CAPAO RASO,DIA ÚTIL,12:12
96,TERMINAL CAPAO RASO,DIA ÚTIL,12:32
97,TERMINAL CAPAO RASO,DIA ÚTIL,12:52
98,TERMINAL CAPAO RASO,DIA ÚTIL,13:12
99,TERMINAL CAPAO RASO,DIA ÚTIL,13:32
100,TERMINAL CAPAO RASO,DIA ÚTIL,13:52
101,TERMINAL CAPAO RASO,DIA ÚTIL,14:12
102,TERMINAL CAPAO RASO,DIA ÚTIL,14:32
103,TERMINAL CAPAO RASO,DIA ÚTIL,14:52
