,pontos,dia,horarios
0,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:53
1,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:35
2,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:49
3,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:00
4,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:52
5,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:11
6,TERMINAL FAZENDINHA,DIA ÚTIL,07:02
7,TERMINAL FAZENDINHA,DIA ÚTIL,07:23
8,TERMINAL FAZENDINHA,DIA ÚTIL,08:00
9,TERMINAL FAZENDINHA,DIA ÚTIL,08:15
10,TERMINAL FAZENDINHA,DIA ÚTIL,17:23
11,TERMINAL FAZENDINHA,DIA ÚTIL,17:40
12,TERMINAL FAZENDINHA,DIA ÚTIL,18:26
13,TERMINAL FAZENDINHA,DIA ÚTIL,18:42
