,pontos,dia,horarios
0,TERMINAL FAZENDINHA,DIA ÚTIL,05:48
1,TERMINAL FAZENDINHA,DIA ÚTIL,06:20
2,TERMINAL FAZENDINHA,DIA ÚTIL,06:53
3,TERMINAL FAZENDINHA,DIA ÚTIL,07:27
4,TERMINAL FAZENDINHA,DIA ÚTIL,08:00
5,TERMINAL FAZENDINHA,DIA ÚTIL,17:29
6,TERMINAL FAZENDINHA,DIA ÚTIL,18:02
7,TERMINAL FAZENDINHA,DIA ÚTIL,18:36
8,TERMINAL FAZENDINHA,DIA ÚTIL,19:10
9,TERMINAL CAPAO RASO,DIA ÚTIL,06:05
10,TERMINAL CAPAO RASO,DIA ÚTIL,06:38
11,TERMINAL CAPAO RASO,DIA ÚTIL,07:12
12,TERMINAL CAPAO RASO,DIA ÚTIL,07:45
13,TERMINAL CAPAO RASO,DIA ÚTIL,08:17
14,TERMINAL CAPAO RASO,DIA ÚTIL,17:46
15,TERMINAL CAPAO RASO,DIA ÚTIL,18:20
16,TERMINAL CAPAO RASO,DIA ÚTIL,18:54
