,pontos,dia,horarios
0,TERMINAL FAZENDINHA,DIA ÚTIL,05:30
1,TERMINAL FAZENDINHA,DIA ÚTIL,06:00
2,TERMINAL FAZENDINHA,DIA ÚTIL,06:13
3,TERMINAL FAZENDINHA,DIA ÚTIL,06:26
4,TERMINAL FAZENDINHA,DIA ÚTIL,06:40
5,TERMINAL FAZENDINHA,DIA ÚTIL,06:53
6,TERMINAL FAZENDINHA,DIA ÚTIL,07:06
7,TERMINAL FAZENDINHA,DIA ÚTIL,07:20
8,TERMINAL FAZENDINHA,DIA ÚTIL,07:33
9,TERMINAL FAZENDINHA,DIA ÚTIL,07:46
10,TERMINAL FAZENDINHA,DIA ÚTIL,07:59
11,TERMINAL FAZENDINHA,DIA ÚTIL,08:13
12,TERMINAL FAZENDINHA,DIA ÚTIL,08:26
13,TERMINAL FAZENDINHA,DIA ÚTIL,08:46
14,TERMINAL FAZENDINHA,DIA ÚTIL,09:06
15,TERMINAL FAZENDINHA,DIA ÚTIL,09:26
16,TERMINAL FAZENDINHA,DIA ÚTIL,09:46
17,TERMINAL FAZENDINHA,DIA ÚTIL,10:06
18,TERMINAL FAZENDINHA,DIA ÚTIL,10:26
19,TERMINAL FAZENDINHA,DIA ÚTIL,10:46
20,TERMINAL FAZENDINHA,DIA ÚTIL,11:06
21,TERMINAL FAZENDINHA,DIA ÚTIL,11:26
22,TERMINAL FAZENDINHA,DIA ÚTIL,11:46
23,TERMINAL FAZENDINHA,DIA ÚTIL,12:06
24,TERMINAL FAZENDINHA,DIA ÚTIL,12:26
25,TERMINAL FAZENDINHA,DIA ÚTIL,12:46
26,TERMINAL FAZENDINHA,DIA ÚTIL,13:06
27,TERMINAL FAZENDINHA,DIA ÚTIL,13:26
28,TERMINAL FAZENDINHA,DIA ÚTIL,13:46
29,TERMINAL FAZENDINHA,DIA ÚTIL,14:06
30,TERMINAL FAZENDINHA,DIA ÚTIL,14:26
31,TERMINAL FAZENDINHA,DIA ÚTIL,14:46
32,TERMINAL FAZENDINHA,DIA ÚTIL,15:06
33,TERMINAL FAZENDINHA,DIA ÚTIL,15:28
34,TERMINAL FAZENDINHA,DIA ÚTIL,15:48
35,TERMINAL FAZENDINHA,DIA ÚTIL,16:08
36,TERMINAL FAZENDINHA,DIA ÚTIL,16:28
37,TERMINAL FAZENDINHA,DIA ÚTIL,16:48
38,TERMINAL FAZENDINHA,DIA ÚTIL,17:09
39,TERMINAL FAZENDINHA,DIA ÚTIL,17:30
40,TERMINAL FAZENDINHA,DIA ÚTIL,17:45
41,TERMINAL FAZENDINHA,DIA ÚTIL,18:01
42,TERMINAL FAZENDINHA,DIA ÚTIL,18:16
43,TERMINAL FAZENDINHA,DIA ÚTIL,18:37
44,TERMINAL FAZENDINHA,DIA ÚTIL,18:58
45,TERMINAL FAZENDINHA,DIA ÚTIL,19:19
46,TERMINAL FAZENDINHA,DIA ÚTIL,19:40
47,TERMINAL FAZENDINHA,DIA ÚTIL,20:00
48,TERMINAL FAZENDINHA,DIA ÚTIL,20:20
49,TERMINAL FAZENDINHA,DIA ÚTIL,20:40
50,TERMINAL FAZENDINHA,DIA ÚTIL,21:00
51,TERMINAL FAZENDINHA,DIA ÚTIL,21:20
52,TERMINAL FAZENDINHA,DIA ÚTIL,21:40
53,TERMINAL FAZENDINHA,DIA ÚTIL,22:00
54,TERMINAL FAZENDINHA,DIA ÚTIL,22:20
55,TERMINAL FAZENDINHA,DIA ÚTIL,22:41
56,TERMINAL FAZENDINHA,DIA ÚTIL,23:02
57,TERMINAL FAZENDINHA,DIA ÚTIL,23:22
58,TERMINAL FAZENDINHA,DIA ÚTIL,23:42
59,TERMINAL PORTAO,DIA ÚTIL,05:52
60,TERMINAL PORTAO,DIA ÚTIL,06:21
61,TERMINAL PORTAO,DIA ÚTIL,06:34
62,TERMINAL PORTAO,DIA ÚTIL,06:47
63,TERMINAL PORTAO,DIA ÚTIL,07:01
64,TERMINAL PORTAO,DIA ÚTIL,07:14
65,TERMINAL PORTAO,DIA ÚTIL,07:27
66,TERMINAL PORTAO,DIA ÚTIL,07:40
67,TERMINAL PORTAO,DIA ÚTIL,07:53
68,TERMINAL PORTAO,DIA ÚTIL,08:06
69,TERMINAL PORTAO,DIA ÚTIL,08:26
70,TERMINAL PORTAO,DIA ÚTIL,08:46
71,TERMINAL PORTAO,DIA ÚTIL,09:06
72,TERMINAL PORTAO,DIA ÚTIL,09:26
73,TERMINAL PORTAO,DIA ÚTIL,09:46
74,TERMINAL PORTAO,DIA ÚTIL,10:06
75,TERMINAL PORTAO,DIA ÚTIL,10:26
76,TERMINAL PORTAO,DIA ÚTIL,10:46
77,TERMINAL PORTAO,DIA ÚTIL,11:06
78,TERMINAL PORTAO,DIA ÚTIL,11:26
79,TERMINAL PORTAO,DIA ÚTIL,11:46
80,TERMINAL PORTAO,DIA ÚTIL,12:06
81,TERMINAL PORTAO,DIA ÚTIL,12:26
82,TERMINAL PORTAO,DIA ÚTIL,12:46
83,TERMINAL PORTAO,DIA ÚTIL,13:06
84,TERMINAL PORTAO,DIA ÚTIL,13:26
85,TERMINAL PORTAO,DIA ÚTIL,13:46
86,TERMINAL PORTAO,DIA ÚTIL,14:06
87,TERMINAL PORTAO,DIA ÚTIL,14:26
88,TERMINAL PORTAO,DIA ÚTIL,14:46
89,TERMINAL PORTAO,DIA ÚTIL,15:06
90,TERMINAL PORTAO,DIA ÚTIL,15:26
91,TERMINAL PORTAO,DIA ÚTIL,15:46
92,TERMINAL PORTAO,DIA ÚTIL,16:06
93,TERMINAL PORTAO,DIA ÚTIL,16:26
94,TERMINAL PORTAO,DIA ÚTIL,16:46
95,TERMINAL PORTAO,DIA ÚTIL,17:06
96,TERMINAL PORTAO,DIA ÚTIL,17:21
97,TERMINAL PORTAO,DIA ÚTIL,17:36
98,TERMINAL PORTAO,DIA ÚTIL,17:51
99,TERMINAL PORTAO,DIA ÚTIL,18:07
100,TERMINAL PORTAO,DIA ÚTIL,18:23
101,TERMINAL PORTAO,DIA ÚTIL,18:39
102,TERMINAL PORTAO,DIA ÚTIL,18:58
103,TERMINAL PORTAO,DIA ÚTIL,19:18
104,TERMINAL PORTAO,DIA ÚTIL,19:38
105,TERMINAL PORTAO,DIA ÚTIL,19:58
106,TERMINAL PORTAO,DIA ÚTIL,20:18
107,TERMINAL PORTAO,DIA ÚTIL,20:38
108,TERMINAL PORTAO,DIA ÚTIL,20:58
109,TERMINAL PORTAO,DIA ÚTIL,21:18
110,TERMINAL PORTAO,DIA ÚTIL,21:38
111,TERMINAL PORTAO,DIA ÚTIL,21:58
112,TERMINAL PORTAO,DIA ÚTIL,22:19
113,TERMINAL PORTAO,DIA ÚTIL,22:40
114,TERMINAL PORTAO,DIA ÚTIL,23:00
115,TERMINAL PORTAO,DIA ÚTIL,23:20
116,TERMINAL PORTAO,DIA ÚTIL,23:40
117,TERMINAL PORTAO,DIA ÚTIL,00:00
118,TERMINAL FAZENDINHA,SÁBADO,06:00
119,TERMINAL FAZENDINHA,SÁBADO,06:20
120,TERMINAL FAZENDINHA,SÁBADO,06:40
121,TERMINAL FAZENDINHA,SÁBADO,07:00
122,TERMINAL FAZENDINHA,SÁBADO,07:20
123,TERMINAL FAZENDINHA,SÁBADO,07:40
124,TERMINAL FAZENDINHA,SÁBADO,08:00
125,TERMINAL FAZENDINHA,SÁBADO,08:20
126,TERMINAL FAZENDINHA,SÁBADO,08:40
127,TERMINAL FAZENDINHA,SÁBADO,09:00
128,TERMINAL FAZENDINHA,SÁBADO,09:20
129,TERMINAL FAZENDINHA,SÁBADO,09:40
130,TERMINAL FAZENDINHA,SÁBADO,10:00
131,TERMINAL FAZENDINHA,SÁBADO,10:20
132,TERMINAL FAZENDINHA,SÁBADO,10:40
133,TERMINAL FAZENDINHA,SÁBADO,11:00
134,TERMINAL FAZENDINHA,SÁBADO,11:20
135,TERMINAL FAZENDINHA,SÁBADO,11:40
136,TERMINAL FAZENDINHA,SÁBADO,12:00
137,TERMINAL FAZENDINHA,SÁBADO,12:20
138,TERMINAL FAZENDINHA,SÁBADO,12:40
139,TERMINAL FAZENDINHA,SÁBADO,13:00
140,TERMINAL FAZENDINHA,SÁBADO,13:20
141,TERMINAL FAZENDINHA,SÁBADO,13:40
142,TERMINAL FAZENDINHA,SÁBADO,14:00
143,TERMINAL FAZENDINHA,SÁBADO,14:20
144,TERMINAL FAZENDINHA,SÁBADO,14:40
145,TERMINAL FAZENDINHA,SÁBADO,15:00
146,TERMINAL FAZENDINHA,SÁBADO,15:20
147,TERMINAL FAZENDINHA,SÁBADO,15:40
148,TERMINAL FAZENDINHA,SÁBADO,16:00
149,TERMINAL FAZENDINHA,SÁBADO,16:20
150,TERMINAL FAZENDINHA,SÁBADO,16:40
151,TERMINAL FAZENDINHA,SÁBADO,17:00
152,TERMINAL FAZENDINHA,SÁBADO,17:20
153,TERMINAL FAZENDINHA,SÁBADO,17:40
154,TERMINAL FAZENDINHA,SÁBADO,18:00
155,TERMINAL FAZENDINHA,SÁBADO,18:20
156,TERMINAL FAZENDINHA,SÁBADO,18:40
157,TERMINAL FAZENDINHA,SÁBADO,19:00
158,TERMINAL FAZENDINHA,SÁBADO,19:20
159,TERMINAL FAZENDINHA,SÁBADO,19:40
160,TERMINAL FAZENDINHA,SÁBADO,20:20
161,TERMINAL FAZENDINHA,SÁBADO,21:00
162,TERMINAL FAZENDINHA,SÁBADO,21:40
163,TERMINAL FAZENDINHA,SÁBADO,22:20
164,TERMINAL FAZENDINHA,SÁBADO,23:00
165,TERMINAL FAZENDINHA,SÁBADO,23:40
166,TERMINAL PORTAO,SÁBADO,06:20
167,TERMINAL PORTAO,SÁBADO,06:40
168,TERMINAL PORTAO,SÁBADO,07:00
169,TERMINAL PORTAO,SÁBADO,07:20
170,TERMINAL PORTAO,SÁBADO,07:40
171,TERMINAL PORTAO,SÁBADO,08:00
172,TERMINAL PORTAO,SÁBADO,08:20
173,TERMINAL PORTAO,SÁBADO,08:40
174,TERMINAL PORTAO,SÁBADO,09:00
175,TERMINAL PORTAO,SÁBADO,09:20
176,TERMINAL PORTAO,SÁBADO,09:40
177,TERMINAL PORTAO,SÁBADO,10:00
