,pontos,dia,horarios
0,TERMINAL FAZENDINHA,DIA ÚTIL,05:28
1,TERMINAL FAZENDINHA,DIA ÚTIL,05:48
2,TERMINAL FAZENDINHA,DIA ÚTIL,06:08
3,TERMINAL FAZENDINHA,DIA ÚTIL,06:31
4,TERMINAL FAZENDINHA,DIA ÚTIL,06:54
5,TERMINAL FAZENDINHA,DIA ÚTIL,07:17
6,TERMINAL FAZENDINHA,DIA ÚTIL,07:40
7,TERMINAL FAZENDINHA,DIA ÚTIL,08:04
8,TERMINAL FAZENDINHA,DIA ÚTIL,08:28
9,TERMINAL FAZENDINHA,DIA ÚTIL,08:52
10,TERMINAL FAZENDINHA,DIA ÚTIL,09:16
11,TERMINAL FAZENDINHA,DIA ÚTIL,09:40
12,TERMINAL FAZENDINHA,DIA ÚTIL,10:04
13,TERMINAL FAZENDINHA,DIA ÚTIL,10:28
14,TERMINAL FAZENDINHA,DIA ÚTIL,10:52
15,TERMINAL FAZENDINHA,DIA ÚTIL,11:16
16,TERMINAL FAZENDINHA,DIA ÚTIL,11:40
17,TERMINAL FAZENDINHA,DIA ÚTIL,12:04
18,TERMINAL FAZENDINHA,DIA ÚTIL,12:28
19,TERMINAL FAZENDINHA,DIA ÚTIL,12:52
20,TERMINAL FAZENDINHA,DIA ÚTIL,13:16
21,TERMINAL FAZENDINHA,DIA ÚTIL,13:40
22,TERMINAL FAZENDINHA,DIA ÚTIL,14:04
23,TERMINAL FAZENDINHA,DIA ÚTIL,14:28
24,TERMINAL FAZENDINHA,DIA ÚTIL,14:52
25,TERMINAL FAZENDINHA,DIA ÚTIL,15:16
26,TERMINAL FAZENDINHA,DIA ÚTIL,15:40
27,TERMINAL FAZENDINHA,DIA ÚTIL,16:05
28,TERMINAL FAZENDINHA,DIA ÚTIL,16:30
29,TERMINAL FAZENDINHA,DIA ÚTIL,16:55
30,TERMINAL FAZENDINHA,DIA ÚTIL,17:21
31,TERMINAL FAZENDINHA,DIA ÚTIL,17:47
32,TERMINAL FAZENDINHA,DIA ÚTIL,18:13
33,TERMINAL FAZENDINHA,DIA ÚTIL,18:39
34,TERMINAL FAZENDINHA,DIA ÚTIL,19:05
35,TERMINAL FAZENDINHA,DIA ÚTIL,19:31
36,TERMINAL FAZENDINHA,DIA ÚTIL,19:57
37,TERMINAL FAZENDINHA,DIA ÚTIL,20:39
38,TERMINAL FAZENDINHA,DIA ÚTIL,21:21
39,TERMINAL FAZENDINHA,DIA ÚTIL,22:03
40,TERMINAL FAZENDINHA,DIA ÚTIL,22:50
41,TERMINAL FAZENDINHA,DIA ÚTIL,23:28
42,TERMINAL FAZENDINHA,DIA ÚTIL,00:10
43,TERMINAL CAIUA,DIA ÚTIL,05:18
44,TERMINAL CAIUA,DIA ÚTIL,05:39
45,TERMINAL CAIUA,DIA ÚTIL,05:58
46,TERMINAL CAIUA,DIA ÚTIL,06:20
47,TERMINAL CAIUA,DIA ÚTIL,06:41
48,TERMINAL CAIUA,DIA ÚTIL,07:04
49,TERMINAL CAIUA,DIA ÚTIL,07:27
50,TERMINAL CAIUA,DIA ÚTIL,07:50
51,TERMINAL CAIUA,DIA ÚTIL,08:14
52,TERMINAL CAIUA,DIA ÚTIL,08:38
53,TERMINAL CAIUA,DIA ÚTIL,09:02
54,TERMINAL CAIUA,DIA ÚTIL,09:26
55,TERMINAL CAIUA,DIA ÚTIL,09:50
56,TERMINAL CAIUA,DIA ÚTIL,10:14
57,TERMINAL CAIUA,DIA ÚTIL,10:38
58,TERMINAL CAIUA,DIA ÚTIL,11:02
59,TERMINAL CAIUA,DIA ÚTIL,11:26
60,TERMINAL CAIUA,DIA ÚTIL,11:50
61,TERMINAL CAIUA,DIA ÚTIL,12:14
62,TERMINAL CAIUA,DIA ÚTIL,12:38
63,TERMINAL CAIUA,DIA ÚTIL,13:05
64,TERMINAL CAIUA,DIA ÚTIL,13:26
65,TERMINAL CAIUA,DIA ÚTIL,13:50
66,TERMINAL CAIUA,DIA ÚTIL,14:14
67,TERMINAL CAIUA,DIA ÚTIL,14:38
68,TERMINAL CAIUA,DIA ÚTIL,15:02
69,TERMINAL CAIUA,DIA ÚTIL,15:26
70,TERMINAL CAIUA,DIA ÚTIL,15:50
71,TERMINAL CAIUA,DIA ÚTIL,16:15
72,TERMINAL CAIUA,DIA ÚTIL,16:40
73,TERMINAL CAIUA,DIA ÚTIL,17:05
74,TERMINAL CAIUA,DIA ÚTIL,17:30
75,TERMINAL CAIUA,DIA ÚTIL,17:56
76,TERMINAL CAIUA,DIA ÚTIL,18:22
77,TERMINAL CAIUA,DIA ÚTIL,18:48
78,TERMINAL CAIUA,DIA ÚTIL,19:17
79,TERMINAL CAIUA,DIA ÚTIL,19:42
80,TERMINAL CAIUA,DIA ÚTIL,20:26
81,TERMINAL CAIUA,DIA ÚTIL,21:09
82,TERMINAL CAIUA,DIA ÚTIL,21:52
83,TERMINAL CAIUA,DIA ÚTIL,22:35
84,TERMINAL CAIUA,DIA ÚTIL,23:17
85,TERMINAL CAIUA,DIA ÚTIL,23:56
86,FORUM CIC,DIA ÚTIL,05:08
87,FORUM CIC,DIA ÚTIL,05:28
88,FORUM CIC,DIA ÚTIL,05:48
89,FORUM CIC,DIA ÚTIL,06:08
90,FORUM CIC,DIA ÚTIL,06:31
91,FORUM CIC,DIA ÚTIL,06:54
92,FORUM CIC,DIA ÚTIL,07:17
93,FORUM CIC,DIA ÚTIL,07:40
94,FORUM CIC,DIA ÚTIL,08:04
95,FORUM CIC,DIA ÚTIL,08:28
96,FORUM CIC,DIA ÚTIL,08:52
97,FORUM CIC,DIA ÚTIL,09:16
98,FORUM CIC,DIA ÚTIL,09:40
99,FORUM CIC,DIA ÚTIL,10:04
100,FORUM CIC,DIA ÚTIL,10:28
101,FORUM CIC,DIA ÚTIL,10:52
102,FORUM CIC,DIA ÚTIL,11:16
103,FORUM CIC,DIA ÚTIL,11:40
104,FORUM CIC,DIA ÚTIL,12:04
105,FORUM CIC,DIA ÚTIL,12:28
106,FORUM CIC,DIA ÚTIL,12:52
107,FORUM CIC,DIA ÚTIL,13:16
108,FORUM CIC,DIA ÚTIL,13:40
109,FORUM CIC,DIA ÚTIL,14:04
110,FORUM CIC,DIA ÚTIL,14:28
111,FORUM CIC,DIA ÚTIL,14:52
112,FORUM CIC,DIA ÚTIL,15:16
113,FORUM CIC,DIA ÚTIL,15:40
114,FORUM CIC,DIA ÚTIL,16:04
115,FORUM CIC,DIA ÚTIL,16:30
116,FORUM CIC,DIA ÚTIL,16:56
117,FORUM CIC,DIA ÚTIL,17:22
118,FORUM CIC,DIA ÚTIL,17:48
119,FORUM CIC,DIA ÚTIL,18:14
120,FORUM CIC,DIA ÚTIL,18:40
121,FORUM CIC,DIA ÚTIL,19:06
122,FORUM CIC,DIA ÚTIL,19:34
123,FORUM CIC,DIA ÚTIL,20:17
124,FORUM CIC,DIA ÚTIL,21:00
125,FORUM CIC,DIA ÚTIL,21:42
126,FORUM CIC,DIA ÚTIL,22:25
127,FORUM CIC,DIA ÚTIL,23:07
128,FORUM CIC,DIA ÚTIL,23:49
129,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,05:40
130,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,06:00
131,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,06:22
132,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,06:45
133,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,07:08
134,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,07:31
135,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,07:55
136,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,08:19
137,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,08:43
138,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,09:07
139,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,09:31
140,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,09:55
141,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,10:19
142,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,10:43
143,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,11:07
144,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,11:31
145,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,11:55
146,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,12:19
147,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,12:43
148,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,13:07
149,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,13:31
150,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,13:55
151,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,14:19
152,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,14:43
153,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,15:07
154,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,15:31
155,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,15:56
156,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,16:21
157,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,16:47
158,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,17:13
159,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,17:39
160,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,18:05
161,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,18:31
162,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,18:56
163,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,19:21
164,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,19:46
165,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,20:11
166,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,20:53
167,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,21:35
168,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,22:17
169,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,22:59
170,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,23:41
171,TERMINAL CAIUA SENTIDO FORUM,DIA ÚTIL,00:23
