,pontos,dia,horarios
0,TERMINAL FAZENDINHA,DIA ÚTIL,05:20
1,TERMINAL FAZENDINHA,DIA ÚTIL,05:40
2,TERMINAL FAZENDINHA,DIA ÚTIL,06:00
3,TERMINAL FAZENDINHA,DIA ÚTIL,06:10
4,TERMINAL FAZENDINHA,DIA ÚTIL,06:20
5,TERMINAL FAZENDINHA,DIA ÚTIL,06:30
6,TERMINAL FAZENDINHA,DIA ÚTIL,06:40
7,TERMINAL FAZENDINHA,DIA ÚTIL,06:50
8,TERMINAL FAZENDINHA,DIA ÚTIL,07:00
9,TERMINAL FAZENDINHA,DIA ÚTIL,07:09
10,TERMINAL FAZENDINHA,DIA ÚTIL,07:18
11,TERMINAL FAZENDINHA,DIA ÚTIL,07:27
12,TERMINAL FAZENDINHA,DIA ÚTIL,07:36
13,TERMINAL FAZENDINHA,DIA ÚTIL,07:45
14,TERMINAL FAZENDINHA,DIA ÚTIL,07:54
15,TERMINAL FAZENDINHA,DIA ÚTIL,08:03
16,TERMINAL FAZENDINHA,DIA ÚTIL,08:12
17,TERMINAL FAZENDINHA,DIA ÚTIL,08:28
18,TERMINAL FAZENDINHA,DIA ÚTIL,08:44
19,TERMINAL FAZENDINHA,DIA ÚTIL,09:01
20,TERMINAL FAZENDINHA,DIA ÚTIL,09:17
21,TERMINAL FAZENDINHA,DIA ÚTIL,09:34
22,TERMINAL FAZENDINHA,DIA ÚTIL,09:50
23,TERMINAL FAZENDINHA,DIA ÚTIL,10:07
24,TERMINAL FAZENDINHA,DIA ÚTIL,10:24
25,TERMINAL FAZENDINHA,DIA ÚTIL,10:41
26,TERMINAL FAZENDINHA,DIA ÚTIL,10:58
27,TERMINAL FAZENDINHA,DIA ÚTIL,11:15
28,TERMINAL FAZENDINHA,DIA ÚTIL,11:31
29,TERMINAL FAZENDINHA,DIA ÚTIL,11:48
30,TERMINAL FAZENDINHA,DIA ÚTIL,12:04
31,TERMINAL FAZENDINHA,DIA ÚTIL,12:21
32,TERMINAL FAZENDINHA,DIA ÚTIL,12:37
33,TERMINAL FAZENDINHA,DIA ÚTIL,12:54
34,TERMINAL FAZENDINHA,DIA ÚTIL,13:10
35,TERMINAL FAZENDINHA,DIA ÚTIL,13:27
36,TERMINAL FAZENDINHA,DIA ÚTIL,13:43
37,TERMINAL FAZENDINHA,DIA ÚTIL,14:00
38,TERMINAL FAZENDINHA,DIA ÚTIL,14:16
39,TERMINAL FAZENDINHA,DIA ÚTIL,14:33
40,TERMINAL FAZENDINHA,DIA ÚTIL,14:50
41,TERMINAL FAZENDINHA,DIA ÚTIL,15:07
42,TERMINAL FAZENDINHA,DIA ÚTIL,15:24
43,TERMINAL FAZENDINHA,DIA ÚTIL,15:41
44,TERMINAL FAZENDINHA,DIA ÚTIL,15:58
45,TERMINAL FAZENDINHA,DIA ÚTIL,16:16
46,TERMINAL FAZENDINHA,DIA ÚTIL,16:34
47,TERMINAL FAZENDINHA,DIA ÚTIL,16:52
48,TERMINAL FAZENDINHA,DIA ÚTIL,17:10
49,TERMINAL FAZENDINHA,DIA ÚTIL,17:28
50,TERMINAL FAZENDINHA,DIA ÚTIL,17:40
51,TERMINAL FAZENDINHA,DIA ÚTIL,17:51
52,TERMINAL FAZENDINHA,DIA ÚTIL,18:02
53,TERMINAL FAZENDINHA,DIA ÚTIL,18:13
54,TERMINAL FAZENDINHA,DIA ÚTIL,18:24
55,TERMINAL FAZENDINHA,DIA ÚTIL,18:41
56,TERMINAL FAZENDINHA,DIA ÚTIL,18:58
57,TERMINAL FAZENDINHA,DIA ÚTIL,19:15
58,TERMINAL FAZENDINHA,DIA ÚTIL,19:31
59,TERMINAL FAZENDINHA,DIA ÚTIL,19:46
60,TERMINAL FAZENDINHA,DIA ÚTIL,20:01
61,TERMINAL FAZENDINHA,DIA ÚTIL,20:16
62,TERMINAL FAZENDINHA,DIA ÚTIL,20:31
63,TERMINAL FAZENDINHA,DIA ÚTIL,20:46
64,TERMINAL FAZENDINHA,DIA ÚTIL,21:01
65,TERMINAL FAZENDINHA,DIA ÚTIL,21:16
66,TERMINAL FAZENDINHA,DIA ÚTIL,21:31
67,TERMINAL FAZENDINHA,DIA ÚTIL,21:46
68,TERMINAL FAZENDINHA,DIA ÚTIL,22:01
69,TERMINAL FAZENDINHA,DIA ÚTIL,22:16
70,TERMINAL FAZENDINHA,DIA ÚTIL,22:31
71,TERMINAL FAZENDINHA,DIA ÚTIL,22:51
72,TERMINAL FAZENDINHA,DIA ÚTIL,23:11
73,TERMINAL FAZENDINHA,DIA ÚTIL,23:30
74,TERMINAL FAZENDINHA,DIA ÚTIL,23:48
75,TERMINAL FAZENDINHA,DIA ÚTIL,00:07
76,PRACA RUI BARBOSA,DIA ÚTIL,05:50
77,PRACA RUI BARBOSA,DIA ÚTIL,06:10
78,PRACA RUI BARBOSA,DIA ÚTIL,06:30
79,PRACA RUI BARBOSA,DIA ÚTIL,06:45
80,PRACA RUI BARBOSA,DIA ÚTIL,06:55
81,PRACA RUI BARBOSA,DIA ÚTIL,07:05
82,PRACA RUI BARBOSA,DIA ÚTIL,07:15
83,PRACA RUI BARBOSA,DIA ÚTIL,07:25
84,PRACA RUI BARBOSA,DIA ÚTIL,07:35
85,PRACA RUI BARBOSA,DIA ÚTIL,07:45
86,PRACA RUI BARBOSA,DIA ÚTIL,07:56
87,PRACA RUI BARBOSA,DIA ÚTIL,08:13
88,PRACA RUI BARBOSA,DIA ÚTIL,08:30
89,PRACA RUI BARBOSA,DIA ÚTIL,08:47
90,PRACA RUI BARBOSA,DIA ÚTIL,09:04
91,PRACA RUI BARBOSA,DIA ÚTIL,09:20
92,PRACA RUI BARBOSA,DIA ÚTIL,09:37
93,PRACA RUI BARBOSA,DIA ÚTIL,09:53
94,PRACA RUI BARBOSA,DIA ÚTIL,10:10
95,PRACA RUI BARBOSA,DIA ÚTIL,10:26
96,PRACA RUI BARBOSA,DIA ÚTIL,10:43
97,PRACA RUI BARBOSA,DIA ÚTIL,10:59
98,PRACA RUI BARBOSA,DIA ÚTIL,11:16
99,PRACA RUI BARBOSA,DIA ÚTIL,11:32
100,PRACA RUI BARBOSA,DIA ÚTIL,11:49
101,PRACA RUI BARBOSA,DIA ÚTIL,12:05
102,PRACA RUI BARBOSA,DIA ÚTIL,12:22
103,PRACA RUI BARBOSA,DIA ÚTIL,12:38
104,PRACA RUI BARBOSA,DIA ÚTIL,12:55
105,PRACA RUI BARBOSA,DIA ÚTIL,13:11
106,PRACA RUI BARBOSA,DIA ÚTIL,13:28
107,PRACA RUI BARBOSA,DIA ÚTIL,13:44
108,PRACA RUI BARBOSA,DIA ÚTIL,14:01
109,PRACA RUI BARBOSA,DIA ÚTIL,14:17
110,PRACA RUI BARBOSA,DIA ÚTIL,14:34
111,PRACA RUI BARBOSA,DIA ÚTIL,14:50
112,PRACA RUI BARBOSA,DIA ÚTIL,15:07
113,PRACA RUI BARBOSA,DIA ÚTIL,15:24
114,PRACA RUI BARBOSA,DIA ÚTIL,15:41
115,PRACA RUI BARBOSA,DIA ÚTIL,15:58
116,PRACA RUI BARBOSA,DIA ÚTIL,16:15
117,PRACA RUI BARBOSA,DIA ÚTIL,16:32
118,PRACA RUI BARBOSA,DIA ÚTIL,16:49
119,PRACA RUI BARBOSA,DIA ÚTIL,17:00
120,PRACA RUI BARBOSA,DIA ÚTIL,17:11
121,PRACA RUI BARBOSA,DIA ÚTIL,17:22
122,PRACA RUI BARBOSA,DIA ÚTIL,17:33
123,PRACA RUI BARBOSA,DIA ÚTIL,17:44
124,PRACA RUI BARBOSA,DIA ÚTIL,17:55
125,PRACA RUI BARBOSA,DIA ÚTIL,18:06
126,PRACA RUI BARBOSA,DIA ÚTIL,18:17
127,PRACA RUI BARBOSA,DIA ÚTIL,18:28
128,PRACA RUI BARBOSA,DIA ÚTIL,18:39
129,PRACA RUI BARBOSA,DIA ÚTIL,18:50
130,PRACA RUI BARBOSA,DIA ÚTIL,19:01
131,PRACA RUI BARBOSA,DIA ÚTIL,19:16
132,PRACA RUI BARBOSA,DIA ÚTIL,19:31
133,PRACA RUI BARBOSA,DIA ÚTIL,19:46
134,PRACA RUI BARBOSA,DIA ÚTIL,20:01
135,PRACA RUI BARBOSA,DIA ÚTIL,20:16
136,PRACA RUI BARBOSA,DIA ÚTIL,20:31
137,PRACA RUI BARBOSA,DIA ÚTIL,20:46
138,PRACA RUI BARBOSA,DIA ÚTIL,21:01
139,PRACA RUI BARBOSA,DIA ÚTIL,21:16
140,PRACA RUI BARBOSA,DIA ÚTIL,21:31
141,PRACA RUI BARBOSA,DIA ÚTIL,21:46
142,PRACA RUI BARBOSA,DIA ÚTIL,22:01
143,PRACA RUI BARBOSA,DIA ÚTIL,22:16
144,PRACA RUI BARBOSA,DIA ÚTIL,22:31
145,PRACA RUI BARBOSA,DIA ÚTIL,22:46
146,PRACA RUI BARBOSA,DIA ÚTIL,23:01
147,PRACA RUI BARBOSA,DIA ÚTIL,23:19
148,PRACA RUI BARBOSA,DIA ÚTIL,23:38
149,PRACA RUI BARBOSA,DIA ÚTIL,23:57
150,PRACA RUI BARBOSA,DIA ÚTIL,00:16
151,PRACA RUI BARBOSA,DIA ÚTIL,00:35
