,pontos,dia,horarios
0,BAIRRO FERNANDO NORONHA,DIA ÚTIL,05:15
1,BAIRRO FERNANDO NORONHA,DIA ÚTIL,05:45
2,BAIRRO FERNANDO NORONHA,DIA ÚTIL,06:08
3,BAIRRO FERNANDO NORONHA,DIA ÚTIL,06:31
4,BAIRRO FERNANDO NORONHA,DIA ÚTIL,06:54
5,BAIRRO FERNANDO NORONHA,DIA ÚTIL,07:18
6,BAIRRO FERNANDO NORONHA,DIA ÚTIL,07:42
7,BAIRRO FERNANDO NORONHA,DIA ÚTIL,08:08
8,BAIRRO FERNANDO NORONHA,DIA ÚTIL,08:34
9,BAIRRO FERNANDO NORONHA,DIA ÚTIL,09:00
10,BAIRRO FERNANDO NORONHA,DIA ÚTIL,09:36
11,BAIRRO FERNANDO NORONHA,DIA ÚTIL,10:13
12,BAIRRO FERNANDO NORONHA,DIA ÚTIL,10:50
13,BAIRRO FERNANDO NORONHA,DIA ÚTIL,11:27
14,BAIRRO FERNANDO NORONHA,DIA ÚTIL,12:04
15,BAIRRO FERNANDO NORONHA,DIA ÚTIL,12:42
16,BAIRRO FERNANDO NORONHA,DIA ÚTIL,13:20
17,BAIRRO FERNANDO NORONHA,DIA ÚTIL,13:58
18,BAIRRO FERNANDO NORONHA,DIA ÚTIL,14:37
19,BAIRRO FERNANDO NORONHA,DIA ÚTIL,15:16
20,BAIRRO FERNANDO NORONHA,DIA ÚTIL,15:50
21,BAIRRO FERNANDO NORONHA,DIA ÚTIL,16:35
22,BAIRRO FERNANDO NORONHA,DIA ÚTIL,17:05
23,BAIRRO FERNANDO NORONHA,DIA ÚTIL,17:35
24,BAIRRO FERNANDO NORONHA,DIA ÚTIL,18:05
25,BAIRRO FERNANDO NORONHA,DIA ÚTIL,18:40
26,BAIRRO FERNANDO NORONHA,DIA ÚTIL,19:23
27,BAIRRO FERNANDO NORONHA,DIA ÚTIL,19:58
28,BAIRRO FERNANDO NORONHA,DIA ÚTIL,20:30
29,BAIRRO FERNANDO NORONHA,DIA ÚTIL,21:02
30,BAIRRO FERNANDO NORONHA,DIA ÚTIL,21:35
31,BAIRRO FERNANDO NORONHA,DIA ÚTIL,22:08
32,BAIRRO FERNANDO NORONHA,DIA ÚTIL,22:43
33,BAIRRO FERNANDO NORONHA,DIA ÚTIL,23:18
34,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,05:55
35,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,06:20
36,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,06:44
37,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:08
38,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,07:34
39,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,08:00
40,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,08:25
41,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,08:56
42,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,09:36
43,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,10:13
44,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,10:50
45,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,11:27
46,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,12:04
47,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,12:42
48,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,13:20
49,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,13:59
50,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,14:38
51,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,15:14
52,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,15:54
53,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,16:27
54,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,16:54
55,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,17:20
56,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,17:47
57,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,18:15
58,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,18:45
59,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,19:20
60,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,19:55
61,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,20:30
62,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,21:02
63,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,21:34
64,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,22:08
65,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,22:42
66,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,23:16
67,TRAVESSA MOREIRA GARCEZ,DIA ÚTIL,23:50
