,pontos,dia,horarios
0,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,05:34
1,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,05:55
2,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:16
3,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:37
4,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,06:58
5,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:21
6,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,07:44
7,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:07
8,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,08:30
9,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,09:00
10,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,09:35
11,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:10
12,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,10:45
13,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:20
14,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,11:55
15,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,12:30
16,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:05
17,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,13:39
18,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:14
19,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,14:49
20,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,15:24
21,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:00
22,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,16:36
23,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:07
24,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,17:35
25,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:00
26,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:25
27,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,18:48
28,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:10
29,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,19:35
30,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,20:05
31,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,20:38
32,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:10
33,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,21:43
34,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,22:15
35,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,22:50
36,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,23:25
37,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,00:00
38,TERMINAL CAMPO COMPRIDO,DIA ÚTIL,00:35
39,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:20
40,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:45
41,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:06
42,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:27
43,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:48
44,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:10
45,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:32
46,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:54
47,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:17
48,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:40
49,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:03
50,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:35
51,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:10
52,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:45
53,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:20
54,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:55
55,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:30
56,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:05
57,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:40
58,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:15
59,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:50
60,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:25
61,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:00
62,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:35
63,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:58
64,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:21
65,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:46
66,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:11
67,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:36
68,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:01
69,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:32
70,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:05
71,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:38
72,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:10
73,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:43
74,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:15
75,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:50
76,TERMINAL SANTA FELICIDADE,DIA ÚTIL,23:25
77,TERMINAL SANTA FELICIDADE,DIA ÚTIL,00:00
78,TERMINAL CAMPO COMPRIDO,SÁBADO,05:53
79,TERMINAL CAMPO COMPRIDO,SÁBADO,06:26
80,TERMINAL CAMPO COMPRIDO,SÁBADO,06:59
81,TERMINAL CAMPO COMPRIDO,SÁBADO,07:32
82,TERMINAL CAMPO COMPRIDO,SÁBADO,08:05
83,TERMINAL CAMPO COMPRIDO,SÁBADO,08:40
84,TERMINAL CAMPO COMPRIDO,SÁBADO,09:15
85,TERMINAL CAMPO COMPRIDO,SÁBADO,09:50
86,TERMINAL CAMPO COMPRIDO,SÁBADO,10:25
87,TERMINAL CAMPO COMPRIDO,SÁBADO,11:00
88,TERMINAL CAMPO COMPRIDO,SÁBADO,11:35
89,TERMINAL CAMPO COMPRIDO,SÁBADO,12:10
90,TERMINAL CAMPO COMPRIDO,SÁBADO,12:45
91,TERMINAL CAMPO COMPRIDO,SÁBADO,13:20
92,TERMINAL CAMPO COMPRIDO,SÁBADO,13:55
93,TERMINAL CAMPO COMPRIDO,SÁBADO,14:30
94,TERMINAL CAMPO COMPRIDO,SÁBADO,15:10
95,TERMINAL CAMPO COMPRIDO,SÁBADO,15:50
96,TERMINAL CAMPO COMPRIDO,SÁBADO,16:30
97,TERMINAL CAMPO COMPRIDO,SÁBADO,17:10
98,TERMINAL CAMPO COMPRIDO,SÁBADO,17:50
99,TERMINAL CAMPO COMPRIDO,SÁBADO,18:30
100,TERMINAL CAMPO COMPRIDO,SÁBADO,19:10
101,TERMINAL CAMPO COMPRIDO,SÁBADO,20:15
102,TERMINAL CAMPO COMPRIDO,SÁBADO,21:20
103,TERMINAL CAMPO COMPRIDO,SÁBADO,22:25
104,TERMINAL CAMPO COMPRIDO,SÁBADO,23:30
105,TERMINAL CAMPO COMPRIDO,SÁBADO,00:30
106,TERMINAL SANTA FELICIDADE,SÁBADO,05:20
107,TERMINAL SANTA FELICIDADE,SÁBADO,05:53
108,TERMINAL SANTA FELICIDADE,SÁBADO,06:26
109,TERMINAL SANTA FELICIDADE,SÁBADO,06:59
110,TERMINAL SANTA FELICIDADE,SÁBADO,07:32
111,TERMINAL SANTA FELICIDADE,SÁBADO,08:05
112,TERMINAL SANTA FELICIDADE,SÁBADO,08:40
113,TERMINAL SANTA FELICIDADE,SÁBADO,09:15
114,TERMINAL SANTA FELICIDADE,SÁBADO,09:50
115,TERMINAL SANTA FELICIDADE,SÁBADO,10:25
116,TERMINAL SANTA FELICIDADE,SÁBADO,11:00
117,TERMINAL SANTA FELICIDADE,SÁBADO,11:35
118,TERMINAL SANTA FELICIDADE,SÁBADO,12:10
119,TERMINAL SANTA FELICIDADE,SÁBADO,12:45
120,TERMINAL SANTA FELICIDADE,SÁBADO,13:20
121,TERMINAL SANTA FELICIDADE,SÁBADO,13:55
122,TERMINAL SANTA FELICIDADE,SÁBADO,14:30
123,TERMINAL SANTA FELICIDADE,SÁBADO,15:10
124,TERMINAL SANTA FELICIDADE,SÁBADO,15:50
125,TERMINAL SANTA FELICIDADE,SÁBADO,16:30
126,TERMINAL SANTA FELICIDADE,SÁBADO,17:10
127,TERMINAL SANTA FELICIDADE,SÁBADO,17:50
128,TERMINAL SANTA FELICIDADE,SÁBADO,18:38
129,TERMINAL SANTA FELICIDADE,SÁBADO,19:43
130,TERMINAL SANTA FELICIDADE,SÁBADO,20:48
131,TERMINAL SANTA FELICIDADE,SÁBADO,21:53
132,TERMINAL SANTA FELICIDADE,SÁBADO,22:58
133,TERMINAL SANTA FELICIDADE,SÁBADO,00:02
134,TERMINAL CAMPO COMPRIDO,DOMINGO,05:50
135,TERMINAL CAMPO COMPRIDO,DOMINGO,06:50
136,TERMINAL CAMPO COMPRIDO,DOMINGO,07:50
137,TERMINAL CAMPO COMPRIDO,DOMINGO,08:50
138,TERMINAL CAMPO COMPRIDO,DOMINGO,09:50
139,TERMINAL CAMPO COMPRIDO,DOMINGO,10:50
140,TERMINAL CAMPO COMPRIDO,DOMINGO,11:50
141,TERMINAL CAMPO COMPRIDO,DOMINGO,12:50
142,TERMINAL CAMPO COMPRIDO,DOMINGO,13:50
143,TERMINAL CAMPO COMPRIDO,DOMINGO,14:50
144,TERMINAL CAMPO COMPRIDO,DOMINGO,15:50
145,TERMINAL CAMPO COMPRIDO,DOMINGO,16:50
146,TERMINAL CAMPO COMPRIDO,DOMINGO,17:50
147,TERMINAL CAMPO COMPRIDO,DOMINGO,18:50
148,TERMINAL CAMPO COMPRIDO,DOMINGO,19:50
149,TERMINAL CAMPO COMPRIDO,DOMINGO,20:50
150,TERMINAL CAMPO COMPRIDO,DOMINGO,21:47
151,TERMINAL CAMPO COMPRIDO,DOMINGO,22:41
152,TERMINAL CAMPO COMPRIDO,DOMINGO,23:35
153,TERMINAL CAMPO COMPRIDO,DOMINGO,00:30
154,TERMINAL SANTA FELICIDADE,DOMINGO,05:20
155,TERMINAL SANTA FELICIDADE,DOMINGO,06:20
156,TERMINAL SANTA FELICIDADE,DOMINGO,07:20
157,TERMINAL SANTA FELICIDADE,DOMINGO,08:20
158,TERMINAL SANTA FELICIDADE,DOMINGO,09:20
159,TERMINAL SANTA FELICIDADE,DOMINGO,10:20
160,TERMINAL SANTA FELICIDADE,DOMINGO,11:20
161,TERMINAL SANTA FELICIDADE,DOMINGO,12:20
162,TERMINAL SANTA FELICIDADE,DOMINGO,13:20
163,TERMINAL SANTA FELICIDADE,DOMINGO,14:20
164,TERMINAL SANTA FELICIDADE,DOMINGO,15:20
165,TERMINAL SANTA FELICIDADE,DOMINGO,16:20
166,TERMINAL SANTA FELICIDADE,DOMINGO,17:20
167,TERMINAL SANTA FELICIDADE,DOMINGO,18:20
168,TERMINAL SANTA FELICIDADE,DOMINGO,19:20
169,TERMINAL SANTA FELICIDADE,DOMINGO,20:20
170,TERMINAL SANTA FELICIDADE,DOMINGO,21:20
171,TERMINAL SANTA FELICIDADE,DOMINGO,22:14
172,TERMINAL SANTA FELICIDADE,DOMINGO,23:08
173,TERMINAL SANTA FELICIDADE,DOMINGO,00:02
