,pontos,dia,horarios
0,BAIRRO FORMOSA,DIA ÚTIL,05:30
1,BAIRRO FORMOSA,DIA ÚTIL,06:00
2,BAIRRO FORMOSA,DIA ÚTIL,06:30
3,BAIRRO FORMOSA,DIA ÚTIL,06:50
4,BAIRRO FORMOSA,DIA ÚTIL,07:10
5,BAIRRO FORMOSA,DIA ÚTIL,07:32
6,BAIRRO FORMOSA,DIA ÚTIL,07:54
7,BAIRRO FORMOSA,DIA ÚTIL,08:16
8,BAIRRO FORMOSA,DIA ÚTIL,08:47
9,BAIRRO FORMOSA,DIA ÚTIL,09:18
10,BAIRRO FORMOSA,DIA ÚTIL,09:50
11,BAIRRO FORMOSA,DIA ÚTIL,10:22
12,BAIRRO FORMOSA,DIA ÚTIL,10:54
13,BAIRRO FORMOSA,DIA ÚTIL,11:26
14,BAIRRO FORMOSA,DIA ÚTIL,11:58
15,BAIRRO FORMOSA,DIA ÚTIL,12:30
16,BAIRRO FORMOSA,DIA ÚTIL,13:02
17,BAIRRO FORMOSA,DIA ÚTIL,13:34
18,BAIRRO FORMOSA,DIA ÚTIL,14:06
19,BAIRRO FORMOSA,DIA ÚTIL,14:38
20,BAIRRO FORMOSA,DIA ÚTIL,15:10
21,BAIRRO FORMOSA,DIA ÚTIL,15:42
22,BAIRRO FORMOSA,DIA ÚTIL,16:15
23,BAIRRO FORMOSA,DIA ÚTIL,16:48
24,BAIRRO FORMOSA,DIA ÚTIL,17:14
25,BAIRRO FORMOSA,DIA ÚTIL,17:40
26,BAIRRO FORMOSA,DIA ÚTIL,18:07
27,BAIRRO FORMOSA,DIA ÚTIL,18:34
28,BAIRRO FORMOSA,DIA ÚTIL,19:07
29,BAIRRO FORMOSA,DIA ÚTIL,19:40
30,BAIRRO FORMOSA,DIA ÚTIL,20:08
31,BAIRRO FORMOSA,DIA ÚTIL,20:36
32,BAIRRO FORMOSA,DIA ÚTIL,21:04
33,BAIRRO FORMOSA,DIA ÚTIL,21:32
34,BAIRRO FORMOSA,DIA ÚTIL,21:59
35,BAIRRO FORMOSA,DIA ÚTIL,22:26
36,BAIRRO FORMOSA,DIA ÚTIL,22:53
37,BAIRRO FORMOSA,DIA ÚTIL,23:20
38,BAIRRO FORMOSA,DIA ÚTIL,23:47
39,PRACA RUI BARBOSA,DIA ÚTIL,06:00
40,PRACA RUI BARBOSA,DIA ÚTIL,06:32
41,PRACA RUI BARBOSA,DIA ÚTIL,07:04
42,PRACA RUI BARBOSA,DIA ÚTIL,07:26
43,PRACA RUI BARBOSA,DIA ÚTIL,07:48
44,PRACA RUI BARBOSA,DIA ÚTIL,08:19
45,PRACA RUI BARBOSA,DIA ÚTIL,08:50
46,PRACA RUI BARBOSA,DIA ÚTIL,09:21
47,PRACA RUI BARBOSA,DIA ÚTIL,09:53
48,PRACA RUI BARBOSA,DIA ÚTIL,10:25
49,PRACA RUI BARBOSA,DIA ÚTIL,10:57
50,PRACA RUI BARBOSA,DIA ÚTIL,11:29
51,PRACA RUI BARBOSA,DIA ÚTIL,12:01
52,PRACA RUI BARBOSA,DIA ÚTIL,12:33
53,PRACA RUI BARBOSA,DIA ÚTIL,13:05
54,PRACA RUI BARBOSA,DIA ÚTIL,13:37
55,PRACA RUI BARBOSA,DIA ÚTIL,14:09
56,PRACA RUI BARBOSA,DIA ÚTIL,14:41
57,PRACA RUI BARBOSA,DIA ÚTIL,15:13
58,PRACA RUI BARBOSA,DIA ÚTIL,15:45
59,PRACA RUI BARBOSA,DIA ÚTIL,16:17
60,PRACA RUI BARBOSA,DIA ÚTIL,16:39
61,PRACA RUI BARBOSA,DIA ÚTIL,17:01
62,PRACA RUI BARBOSA,DIA ÚTIL,17:27
63,PRACA RUI BARBOSA,DIA ÚTIL,17:53
64,PRACA RUI BARBOSA,DIA ÚTIL,18:20
65,PRACA RUI BARBOSA,DIA ÚTIL,18:47
66,PRACA RUI BARBOSA,DIA ÚTIL,19:14
67,PRACA RUI BARBOSA,DIA ÚTIL,19:42
68,PRACA RUI BARBOSA,DIA ÚTIL,20:10
69,PRACA RUI BARBOSA,DIA ÚTIL,20:38
70,PRACA RUI BARBOSA,DIA ÚTIL,21:06
71,PRACA RUI BARBOSA,DIA ÚTIL,21:34
72,PRACA RUI BARBOSA,DIA ÚTIL,22:01
73,PRACA RUI BARBOSA,DIA ÚTIL,22:28
74,PRACA RUI BARBOSA,DIA ÚTIL,22:55
75,PRACA RUI BARBOSA,DIA ÚTIL,23:22
76,PRACA RUI BARBOSA,DIA ÚTIL,23:49
77,PRACA RUI BARBOSA,DIA ÚTIL,00:16
78,BAIRRO FORMOSA,SÁBADO,05:30
79,BAIRRO FORMOSA,SÁBADO,06:00
80,BAIRRO FORMOSA,SÁBADO,06:30
81,BAIRRO FORMOSA,SÁBADO,07:00
82,BAIRRO FORMOSA,SÁBADO,07:30
83,BAIRRO FORMOSA,SÁBADO,08:00
84,BAIRRO FORMOSA,SÁBADO,08:30
85,BAIRRO FORMOSA,SÁBADO,09:00
86,BAIRRO FORMOSA,SÁBADO,09:30
87,BAIRRO FORMOSA,SÁBADO,10:00
88,BAIRRO FORMOSA,SÁBADO,10:30
89,BAIRRO FORMOSA,SÁBADO,11:00
90,BAIRRO FORMOSA,SÁBADO,11:30
91,BAIRRO FORMOSA,SÁBADO,12:00
92,BAIRRO FORMOSA,SÁBADO,12:30
93,BAIRRO FORMOSA,SÁBADO,13:00
94,BAIRRO FORMOSA,SÁBADO,13:30
95,BAIRRO FORMOSA,SÁBADO,14:00
96,BAIRRO FORMOSA,SÁBADO,14:30
97,BAIRRO FORMOSA,SÁBADO,15:00
98,BAIRRO FORMOSA,SÁBADO,15:30
99,BAIRRO FORMOSA,SÁBADO,16:00
100,BAIRRO FORMOSA,SÁBADO,16:30
101,BAIRRO FORMOSA,SÁBADO,17:00
102,BAIRRO FORMOSA,SÁBADO,17:30
103,BAIRRO FORMOSA,SÁBADO,18:00
104,BAIRRO FORMOSA,SÁBADO,18:30
105,BAIRRO FORMOSA,SÁBADO,19:00
106,BAIRRO FORMOSA,SÁBADO,19:30
107,BAIRRO FORMOSA,SÁBADO,20:00
108,BAIRRO FORMOSA,SÁBADO,20:32
109,BAIRRO FORMOSA,SÁBADO,21:04
110,BAIRRO FORMOSA,SÁBADO,21:36
111,BAIRRO FORMOSA,SÁBADO,22:08
112,BAIRRO FORMOSA,SÁBADO,22:40
113,BAIRRO FORMOSA,SÁBADO,23:10
114,BAIRRO FORMOSA,SÁBADO,23:44
115,PRACA RUI BARBOSA,SÁBADO,06:00
116,PRACA RUI BARBOSA,SÁBADO,06:30
117,PRACA RUI BARBOSA,SÁBADO,07:00
118,PRACA RUI BARBOSA,SÁBADO,07:30
119,PRACA RUI BARBOSA,SÁBADO,08:00
120,PRACA RUI BARBOSA,SÁBADO,08:30
121,PRACA RUI BARBOSA,SÁBADO,09:00
122,PRACA RUI BARBOSA,SÁBADO,09:30
123,PRACA RUI BARBOSA,SÁBADO,10:00
124,PRACA RUI BARBOSA,SÁBADO,10:30
125,PRACA RUI BARBOSA,SÁBADO,11:00
126,PRACA RUI BARBOSA,SÁBADO,11:30
127,PRACA RUI BARBOSA,SÁBADO,12:00
128,PRACA RUI BARBOSA,SÁBADO,12:30
129,PRACA RUI BARBOSA,SÁBADO,13:00
130,PRACA RUI BARBOSA,SÁBADO,13:30
131,PRACA RUI BARBOSA,SÁBADO,14:00
132,PRACA RUI BARBOSA,SÁBADO,14:30
133,PRACA RUI BARBOSA,SÁBADO,15:00
134,PRACA RUI BARBOSA,SÁBADO,15:30
135,PRACA RUI BARBOSA,SÁBADO,16:00
136,PRACA RUI BARBOSA,SÁBADO,16:30
137,PRACA RUI BARBOSA,SÁBADO,17:00
138,PRACA RUI BARBOSA,SÁBADO,17:30
139,PRACA RUI BARBOSA,SÁBADO,18:00
140,PRACA RUI BARBOSA,SÁBADO,18:30
141,PRACA RUI BARBOSA,SÁBADO,19:00
142,PRACA RUI BARBOSA,SÁBADO,19:30
143,PRACA RUI BARBOSA,SÁBADO,20:00
144,PRACA RUI BARBOSA,SÁBADO,20:32
145,PRACA RUI BARBOSA,SÁBADO,21:04
146,PRACA RUI BARBOSA,SÁBADO,21:36
147,PRACA RUI BARBOSA,SÁBADO,22:08
148,PRACA RUI BARBOSA,SÁBADO,22:40
149,PRACA RUI BARBOSA,SÁBADO,23:12
150,PRACA RUI BARBOSA,SÁBADO,23:44
151,PRACA RUI BARBOSA,SÁBADO,00:15
152,BAIRRO FORMOSA,DOMINGO,05:30
153,BAIRRO FORMOSA,DOMINGO,06:00
154,BAIRRO FORMOSA,DOMINGO,06:30
155,BAIRRO FORMOSA,DOMINGO,07:00
156,BAIRRO FORMOSA,DOMINGO,07:30
157,BAIRRO FORMOSA,DOMINGO,08:00
158,BAIRRO FORMOSA,DOMINGO,08:30
159,BAIRRO FORMOSA,DOMINGO,09:00
160,BAIRRO FORMOSA,DOMINGO,09:30
161,BAIRRO FORMOSA,DOMINGO,10:00
162,BAIRRO FORMOSA,DOMINGO,10:30
163,BAIRRO FORMOSA,DOMINGO,11:00
164,BAIRRO FORMOSA,DOMINGO,11:30
165,BAIRRO FORMOSA,DOMINGO,12:00
166,BAIRRO FORMOSA,DOMINGO,12:30
167,BAIRRO FORMOSA,DOMINGO,13:00
168,BAIRRO FORMOSA,DOMINGO,13:30
169,BAIRRO FORMOSA,DOMINGO,14:00
170,BAIRRO FORMOSA,DOMINGO,14:30
171,BAIRRO FORMOSA,DOMINGO,15:00
172,BAIRRO FORMOSA,DOMINGO,15:30
173,BAIRRO FORMOSA,DOMINGO,16:00
174,BAIRRO FORMOSA,DOMINGO,16:30
175,BAIRRO FORMOSA,DOMINGO,17:00
176,BAIRRO FORMOSA,DOMINGO,17:30
177,BAIRRO FORMOSA,DOMINGO,18:00
178,BAIRRO FORMOSA,DOMINGO,18:30
179,BAIRRO FORMOSA,DOMINGO,19:00
180,BAIRRO FORMOSA,DOMINGO,19:30
181,BAIRRO FORMOSA,DOMINGO,20:00
182,BAIRRO FORMOSA,DOMINGO,20:30
183,BAIRRO FORMOSA,DOMINGO,21:00
184,BAIRRO FORMOSA,DOMINGO,21:30
185,BAIRRO FORMOSA,DOMINGO,22:00
186,BAIRRO FORMOSA,DOMINGO,22:30
187,BAIRRO FORMOSA,DOMINGO,23:30
188,PRACA RUI BARBOSA,DOMINGO,06:00
189,PRACA RUI BARBOSA,DOMINGO,06:30
190,PRACA RUI BARBOSA,DOMINGO,07:00
191,PRACA RUI BARBOSA,DOMINGO,07:30
192,PRACA RUI BARBOSA,DOMINGO,08:00
193,PRACA RUI BARBOSA,DOMINGO,08:30
194,PRACA RUI BARBOSA,DOMINGO,09:00
195,PRACA RUI BARBOSA,DOMINGO,09:30
196,PRACA RUI BARBOSA,DOMINGO,10:00
197,PRACA RUI BARBOSA,DOMINGO,10:30
198,PRACA RUI BARBOSA,DOMINGO,11:00
199,PRACA RUI BARBOSA,DOMINGO,11:30
200,PRACA RUI BARBOSA,DOMINGO,12:00
201,PRACA RUI BARBOSA,DOMINGO,12:30
202,PRACA RUI BARBOSA,DOMINGO,13:00
203,PRACA RUI BARBOSA,DOMINGO,13:30
204,PRACA RUI BARBOSA,DOMINGO,14:00
205,PRACA RUI BARBOSA,DOMINGO,14:30
206,PRACA RUI BARBOSA,DOMINGO,15:00
207,PRACA RUI BARBOSA,DOMINGO,15:30
208,PRACA RUI BARBOSA,DOMINGO,16:00
209,PRACA RUI BARBOSA,DOMINGO,16:30
210,PRACA RUI BARBOSA,DOMINGO,17:00
211,PRACA RUI BARBOSA,DOMINGO,17:30
212,PRACA RUI BARBOSA,DOMINGO,18:00
213,PRACA RUI BARBOSA,DOMINGO,18:30
214,PRACA RUI BARBOSA,DOMINGO,19:00
