,pontos,dia,horarios
0,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,05:45
1,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,06:20
2,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,07:00
3,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,07:40
4,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,08:20
5,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,09:00
6,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,09:40
7,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,10:20
8,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,11:00
9,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,11:40
10,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,12:20
11,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,13:00
12,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,13:40
13,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,14:20
14,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,15:00
15,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,15:40
16,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,16:20
17,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,17:00
18,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,17:40
19,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,18:20
20,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,18:50
21,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,19:20
22,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,19:49
23,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,20:18
24,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,20:47
25,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,21:16
26,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,21:45
27,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,22:14
28,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,22:43
29,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,23:12
30,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,23:41
31,CAIUA SENT.MOR.ALTO BELA VISTA,SÁBADO,00:10
32,MOR.ALTO DA BELA VISTA,SÁBADO,05:50
33,MOR.ALTO DA BELA VISTA,SÁBADO,06:30
34,MOR.ALTO DA BELA VISTA,SÁBADO,07:10
35,MOR.ALTO DA BELA VISTA,SÁBADO,07:50
36,MOR.ALTO DA BELA VISTA,SÁBADO,08:30
37,MOR.ALTO DA BELA VISTA,SÁBADO,09:10
38,MOR.ALTO DA BELA VISTA,SÁBADO,09:50
39,MOR.ALTO DA BELA VISTA,SÁBADO,10:30
40,MOR.ALTO DA BELA VISTA,SÁBADO,11:10
41,MOR.ALTO DA BELA VISTA,SÁBADO,11:50
42,MOR.ALTO DA BELA VISTA,SÁBADO,12:30
43,MOR.ALTO DA BELA VISTA,SÁBADO,13:10
44,MOR.ALTO DA BELA VISTA,SÁBADO,13:50
45,MOR.ALTO DA BELA VISTA,SÁBADO,14:30
46,MOR.ALTO DA BELA VISTA,SÁBADO,15:10
47,MOR.ALTO DA BELA VISTA,SÁBADO,15:50
48,MOR.ALTO DA BELA VISTA,SÁBADO,16:30
49,MOR.ALTO DA BELA VISTA,SÁBADO,17:10
50,MOR.ALTO DA BELA VISTA,SÁBADO,17:50
51,MOR.ALTO DA BELA VISTA,SÁBADO,18:25
52,MOR.ALTO DA BELA VISTA,SÁBADO,18:55
53,MOR.ALTO DA BELA VISTA,SÁBADO,19:25
54,MOR.ALTO DA BELA VISTA,SÁBADO,19:54
55,MOR.ALTO DA BELA VISTA,SÁBADO,20:23
56,MOR.ALTO DA BELA VISTA,SÁBADO,20:52
57,MOR.ALTO DA BELA VISTA,SÁBADO,21:21
58,MOR.ALTO DA BELA VISTA,SÁBADO,21:50
59,MOR.ALTO DA BELA VISTA,SÁBADO,22:19
60,MOR.ALTO DA BELA VISTA,SÁBADO,22:48
61,MOR.ALTO DA BELA VISTA,SÁBADO,23:17
62,MOR.ALTO DA BELA VISTA,SÁBADO,23:46
63,FORUM CIC,SÁBADO,05:40
64,FORUM CIC,SÁBADO,06:10
65,FORUM CIC,SÁBADO,06:50
66,FORUM CIC,SÁBADO,07:30
67,FORUM CIC,SÁBADO,08:10
68,FORUM CIC,SÁBADO,08:50
69,FORUM CIC,SÁBADO,09:30
70,FORUM CIC,SÁBADO,10:10
71,FORUM CIC,SÁBADO,10:50
72,FORUM CIC,SÁBADO,11:30
73,FORUM CIC,SÁBADO,12:10
74,FORUM CIC,SÁBADO,12:50
75,FORUM CIC,SÁBADO,13:30
76,FORUM CIC,SÁBADO,14:10
77,FORUM CIC,SÁBADO,14:50
78,FORUM CIC,SÁBADO,15:30
79,FORUM CIC,SÁBADO,16:10
80,FORUM CIC,SÁBADO,16:50
81,FORUM CIC,SÁBADO,17:30
82,FORUM CIC,SÁBADO,18:10
83,FORUM CIC,SÁBADO,18:40
84,FORUM CIC,SÁBADO,19:10
85,FORUM CIC,SÁBADO,19:39
86,FORUM CIC,SÁBADO,20:08
87,FORUM CIC,SÁBADO,20:37
88,FORUM CIC,SÁBADO,21:06
89,FORUM CIC,SÁBADO,21:35
90,FORUM CIC,SÁBADO,22:04
91,FORUM CIC,SÁBADO,22:33
92,FORUM CIC,SÁBADO,23:02
93,FORUM CIC,SÁBADO,23:31
94,FORUM CIC,SÁBADO,00:00
95,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,06:00
96,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,06:40
97,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,07:20
98,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,08:00
99,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,08:40
100,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,09:20
101,TERMINAL CAIUA SENTIDO FORUM,SÁBADO,10:00
