,pontos,dia,horarios
0,BAIRRO FREDOLIN WOLF,DIA ÚTIL,06:45
1,BAIRRO FREDOLIN WOLF,DIA ÚTIL,07:55
2,BAIRRO FREDOLIN WOLF,DIA ÚTIL,09:05
3,BAIRRO FREDOLIN WOLF,DIA ÚTIL,10:05
4,BAIRRO FREDOLIN WOLF,DIA ÚTIL,11:03
5,BAIRRO FREDOLIN WOLF,DIA ÚTIL,12:00
6,BAIRRO FREDOLIN WOLF,DIA ÚTIL,12:57
7,BAIRRO FREDOLIN WOLF,DIA ÚTIL,13:58
8,BAIRRO FREDOLIN WOLF,DIA ÚTIL,14:58
9,BAIRRO FREDOLIN WOLF,DIA ÚTIL,15:58
10,BAIRRO FREDOLIN WOLF,DIA ÚTIL,16:58
11,BAIRRO FREDOLIN WOLF,DIA ÚTIL,18:00
12,BAIRRO FREDOLIN WOLF,DIA ÚTIL,19:10
13,BAIRRO FREDOLIN WOLF,DIA ÚTIL,20:10
14,BAIRRO FREDOLIN WOLF,DIA ÚTIL,21:05
15,BAIRRO FREDOLIN WOLF,DIA ÚTIL,22:00
16,BAIRRO FREDOLIN WOLF,DIA ÚTIL,22:55
17,RUA NESTOR DE CASTRO,DIA ÚTIL,07:25
18,RUA NESTOR DE CASTRO,DIA ÚTIL,08:35
19,RUA NESTOR DE CASTRO,DIA ÚTIL,09:35
20,RUA NESTOR DE CASTRO,DIA ÚTIL,10:35
21,RUA NESTOR DE CASTRO,DIA ÚTIL,11:33
22,RUA NESTOR DE CASTRO,DIA ÚTIL,12:30
23,RUA NESTOR DE CASTRO,DIA ÚTIL,13:30
24,RUA NESTOR DE CASTRO,DIA ÚTIL,14:30
25,RUA NESTOR DE CASTRO,DIA ÚTIL,15:30
26,RUA NESTOR DE CASTRO,DIA ÚTIL,16:30
27,RUA NESTOR DE CASTRO,DIA ÚTIL,17:30
28,RUA NESTOR DE CASTRO,DIA ÚTIL,18:40
29,RUA NESTOR DE CASTRO,DIA ÚTIL,19:40
30,RUA NESTOR DE CASTRO,DIA ÚTIL,20:40
31,RUA NESTOR DE CASTRO,DIA ÚTIL,21:35
32,RUA NESTOR DE CASTRO,DIA ÚTIL,22:30
33,RUA NESTOR DE CASTRO,DIA ÚTIL,23:25
