,pontos,dia,horarios
0,BAIRRO ABRANCHES,DIA ÚTIL,06:12
1,BAIRRO ABRANCHES,DIA ÚTIL,06:42
2,BAIRRO ABRANCHES,DIA ÚTIL,07:13
3,BAIRRO ABRANCHES,DIA ÚTIL,07:44
4,BAIRRO ABRANCHES,DIA ÚTIL,08:16
5,BAIRRO ABRANCHES,DIA ÚTIL,08:48
6,BAIRRO ABRANCHES,DIA ÚTIL,09:20
7,BAIRRO ABRANCHES,DIA ÚTIL,09:52
8,BAIRRO ABRANCHES,DIA ÚTIL,10:24
9,BAIRRO ABRANCHES,DIA ÚTIL,10:56
10,BAIRRO ABRANCHES,DIA ÚTIL,11:28
11,BAIRRO ABRANCHES,DIA ÚTIL,12:00
12,BAIRRO ABRANCHES,DIA ÚTIL,12:32
13,BAIRRO ABRANCHES,DIA ÚTIL,13:04
14,BAIRRO ABRANCHES,DIA ÚTIL,13:37
15,BAIRRO ABRANCHES,DIA ÚTIL,14:10
16,BAIRRO ABRANCHES,DIA ÚTIL,14:43
17,BAIRRO ABRANCHES,DIA ÚTIL,15:16
18,BAIRRO ABRANCHES,DIA ÚTIL,15:50
19,BAIRRO ABRANCHES,DIA ÚTIL,16:24
20,BAIRRO ABRANCHES,DIA ÚTIL,16:59
21,BAIRRO ABRANCHES,DIA ÚTIL,17:34
22,BAIRRO ABRANCHES,DIA ÚTIL,18:11
23,BAIRRO ABRANCHES,DIA ÚTIL,18:49
24,BAIRRO ABRANCHES,DIA ÚTIL,19:26
25,BAIRRO ABRANCHES,DIA ÚTIL,20:09
26,BAIRRO ABRANCHES,DIA ÚTIL,20:57
27,BAIRRO ABRANCHES,DIA ÚTIL,21:39
28,BAIRRO ABRANCHES,DIA ÚTIL,22:21
29,BAIRRO ABRANCHES,DIA ÚTIL,23:01
30,BAIRRO ABRANCHES,DIA ÚTIL,23:43
31,BAIRRO AGUA VERDE,DIA ÚTIL,05:30
32,BAIRRO AGUA VERDE,DIA ÚTIL,06:00
33,BAIRRO AGUA VERDE,DIA ÚTIL,06:30
34,BAIRRO AGUA VERDE,DIA ÚTIL,07:00
35,BAIRRO AGUA VERDE,DIA ÚTIL,07:30
36,BAIRRO AGUA VERDE,DIA ÚTIL,08:02
37,BAIRRO AGUA VERDE,DIA ÚTIL,08:34
38,BAIRRO AGUA VERDE,DIA ÚTIL,09:06
39,BAIRRO AGUA VERDE,DIA ÚTIL,09:38
40,BAIRRO AGUA VERDE,DIA ÚTIL,10:10
41,BAIRRO AGUA VERDE,DIA ÚTIL,10:42
42,BAIRRO AGUA VERDE,DIA ÚTIL,11:14
43,BAIRRO AGUA VERDE,DIA ÚTIL,11:46
44,BAIRRO AGUA VERDE,DIA ÚTIL,12:18
45,BAIRRO AGUA VERDE,DIA ÚTIL,12:50
46,BAIRRO AGUA VERDE,DIA ÚTIL,13:22
47,BAIRRO AGUA VERDE,DIA ÚTIL,13:54
48,BAIRRO AGUA VERDE,DIA ÚTIL,14:28
49,BAIRRO AGUA VERDE,DIA ÚTIL,15:02
50,BAIRRO AGUA VERDE,DIA ÚTIL,15:36
51,BAIRRO AGUA VERDE,DIA ÚTIL,16:10
52,BAIRRO AGUA VERDE,DIA ÚTIL,16:44
53,BAIRRO AGUA VERDE,DIA ÚTIL,17:19
54,BAIRRO AGUA VERDE,DIA ÚTIL,17:58
55,BAIRRO AGUA VERDE,DIA ÚTIL,18:35
56,BAIRRO AGUA VERDE,DIA ÚTIL,19:13
57,BAIRRO AGUA VERDE,DIA ÚTIL,20:18
58,BAIRRO AGUA VERDE,DIA ÚTIL,20:59
59,BAIRRO AGUA VERDE,DIA ÚTIL,21:39
60,BAIRRO AGUA VERDE,DIA ÚTIL,22:20
61,BAIRRO AGUA VERDE,DIA ÚTIL,23:01
62,AV MARECHAL FLORIANO,DIA ÚTIL,05:52
63,AV MARECHAL FLORIANO,DIA ÚTIL,06:22
64,AV MARECHAL FLORIANO,DIA ÚTIL,06:52
65,AV MARECHAL FLORIANO,DIA ÚTIL,07:22
66,AV MARECHAL FLORIANO,DIA ÚTIL,07:54
67,AV MARECHAL FLORIANO,DIA ÚTIL,08:26
68,AV MARECHAL FLORIANO,DIA ÚTIL,08:58
69,AV MARECHAL FLORIANO,DIA ÚTIL,09:30
70,AV MARECHAL FLORIANO,DIA ÚTIL,10:02
71,AV MARECHAL FLORIANO,DIA ÚTIL,10:34
72,AV MARECHAL FLORIANO,DIA ÚTIL,11:06
73,AV MARECHAL FLORIANO,DIA ÚTIL,11:38
74,AV MARECHAL FLORIANO,DIA ÚTIL,12:10
75,AV MARECHAL FLORIANO,DIA ÚTIL,12:42
76,AV MARECHAL FLORIANO,DIA ÚTIL,13:15
77,AV MARECHAL FLORIANO,DIA ÚTIL,13:48
78,AV MARECHAL FLORIANO,DIA ÚTIL,14:20
79,AV MARECHAL FLORIANO,DIA ÚTIL,14:54
80,AV MARECHAL FLORIANO,DIA ÚTIL,15:28
81,AV MARECHAL FLORIANO,DIA ÚTIL,16:02
82,AV MARECHAL FLORIANO,DIA ÚTIL,16:36
83,AV MARECHAL FLORIANO,DIA ÚTIL,17:10
84,AV MARECHAL FLORIANO,DIA ÚTIL,17:46
85,AV MARECHAL FLORIANO,DIA ÚTIL,18:25
86,AV MARECHAL FLORIANO,DIA ÚTIL,19:02
87,AV MARECHAL FLORIANO,DIA ÚTIL,19:41
88,AV MARECHAL FLORIANO,DIA ÚTIL,20:39
89,AV MARECHAL FLORIANO,DIA ÚTIL,21:21
90,AV MARECHAL FLORIANO,DIA ÚTIL,22:02
91,AV MARECHAL FLORIANO,DIA ÚTIL,22:43
92,AV MARECHAL FLORIANO,DIA ÚTIL,23:24
93, PRACA RUI BARBOSA,DIA ÚTIL,06:40
