,pontos,dia,horarios
0,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:12
1,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:30
2,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:44
3,TERMINAL SANTA FELICIDADE,DIA ÚTIL,05:55
4,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:05
5,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:15
6,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:24
7,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:33
8,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:42
9,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:51
10,TERMINAL SANTA FELICIDADE,DIA ÚTIL,06:59
11,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:08
12,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:16
13,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:25
14,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:34
15,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:43
16,TERMINAL SANTA FELICIDADE,DIA ÚTIL,07:52
17,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:02
18,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:12
19,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:23
20,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:34
21,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:45
22,TERMINAL SANTA FELICIDADE,DIA ÚTIL,08:56
23,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:08
24,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:20
25,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:32
26,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:43
27,TERMINAL SANTA FELICIDADE,DIA ÚTIL,09:55
28,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:06
29,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:18
30,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:29
31,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:41
32,TERMINAL SANTA FELICIDADE,DIA ÚTIL,10:52
33,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:04
34,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:16
35,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:27
36,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:38
37,TERMINAL SANTA FELICIDADE,DIA ÚTIL,11:49
38,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:00
39,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:11
40,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:22
41,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:33
42,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:44
43,TERMINAL SANTA FELICIDADE,DIA ÚTIL,12:55
44,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:06
45,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:18
46,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:29
47,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:41
48,TERMINAL SANTA FELICIDADE,DIA ÚTIL,13:52
49,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:03
50,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:15
51,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:27
52,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:38
53,TERMINAL SANTA FELICIDADE,DIA ÚTIL,14:49
54,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:00
55,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:12
56,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:24
57,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:36
58,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:48
59,TERMINAL SANTA FELICIDADE,DIA ÚTIL,15:59
60,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:10
61,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:21
62,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:33
63,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:44
64,TERMINAL SANTA FELICIDADE,DIA ÚTIL,16:59
65,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:10
66,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:20
67,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:30
68,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:41
69,TERMINAL SANTA FELICIDADE,DIA ÚTIL,17:51
70,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:01
71,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:11
72,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:21
73,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:32
74,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:45
75,TERMINAL SANTA FELICIDADE,DIA ÚTIL,18:59
76,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:13
77,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:27
78,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:41
79,TERMINAL SANTA FELICIDADE,DIA ÚTIL,19:55
80,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:09
81,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:23
82,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:37
83,TERMINAL SANTA FELICIDADE,DIA ÚTIL,20:51
84,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:05
85,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:19
86,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:33
87,TERMINAL SANTA FELICIDADE,DIA ÚTIL,21:46
88,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:00
89,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:13
90,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:26
91,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:40
92,TERMINAL SANTA FELICIDADE,DIA ÚTIL,22:55
93,TERMINAL SANTA FELICIDADE,DIA ÚTIL,23:15
94,TERMINAL SANTA FELICIDADE,DIA ÚTIL,23:35
95,TERMINAL SANTA FELICIDADE,DIA ÚTIL,00:02
96,TERMINAL SANTA FELICIDADE,DIA ÚTIL,00:25
97,RUA NESTOR DE CASTRO,DIA ÚTIL,05:35
98,RUA NESTOR DE CASTRO,DIA ÚTIL,05:53
99,RUA NESTOR DE CASTRO,DIA ÚTIL,06:07
100,RUA NESTOR DE CASTRO,DIA ÚTIL,06:18
101,RUA NESTOR DE CASTRO,DIA ÚTIL,06:28
102,RUA NESTOR DE CASTRO,DIA ÚTIL,06:39
103,RUA NESTOR DE CASTRO,DIA ÚTIL,06:50
104,RUA NESTOR DE CASTRO,DIA ÚTIL,07:00
105,RUA NESTOR DE CASTRO,DIA ÚTIL,07:09
106,RUA NESTOR DE CASTRO,DIA ÚTIL,07:18
107,RUA NESTOR DE CASTRO,DIA ÚTIL,07:27
108,RUA NESTOR DE CASTRO,DIA ÚTIL,07:37
109,RUA NESTOR DE CASTRO,DIA ÚTIL,07:47
110,RUA NESTOR DE CASTRO,DIA ÚTIL,07:57
111,RUA NESTOR DE CASTRO,DIA ÚTIL,08:07
112,RUA NESTOR DE CASTRO,DIA ÚTIL,08:17
113,RUA NESTOR DE CASTRO,DIA ÚTIL,08:28
114,RUA NESTOR DE CASTRO,DIA ÚTIL,08:40
115,RUA NESTOR DE CASTRO,DIA ÚTIL,08:52
116,RUA NESTOR DE CASTRO,DIA ÚTIL,09:04
117,RUA NESTOR DE CASTRO,DIA ÚTIL,09:15
118,RUA NESTOR DE CASTRO,DIA ÚTIL,09:26
119,RUA NESTOR DE CASTRO,DIA ÚTIL,09:37
120,RUA NESTOR DE CASTRO,DIA ÚTIL,09:49
121,RUA NESTOR DE CASTRO,DIA ÚTIL,10:00
122,RUA NESTOR DE CASTRO,DIA ÚTIL,10:12
123,RUA NESTOR DE CASTRO,DIA ÚTIL,10:24
124,RUA NESTOR DE CASTRO,DIA ÚTIL,10:36
125,RUA NESTOR DE CASTRO,DIA ÚTIL,10:47
126,RUA NESTOR DE CASTRO,DIA ÚTIL,10:59
127,RUA NESTOR DE CASTRO,DIA ÚTIL,11:11
128,RUA NESTOR DE CASTRO,DIA ÚTIL,11:22
129,RUA NESTOR DE CASTRO,DIA ÚTIL,11:33
130,RUA NESTOR DE CASTRO,DIA ÚTIL,11:44
131,RUA NESTOR DE CASTRO,DIA ÚTIL,11:55
132,RUA NESTOR DE CASTRO,DIA ÚTIL,12:06
133,RUA NESTOR DE CASTRO,DIA ÚTIL,12:17
134,RUA NESTOR DE CASTRO,DIA ÚTIL,12:28
135,RUA NESTOR DE CASTRO,DIA ÚTIL,12:39
136,RUA NESTOR DE CASTRO,DIA ÚTIL,12:50
137,RUA NESTOR DE CASTRO,DIA ÚTIL,13:01
138,RUA NESTOR DE CASTRO,DIA ÚTIL,13:12
139,RUA NESTOR DE CASTRO,DIA ÚTIL,13:24
140,RUA NESTOR DE CASTRO,DIA ÚTIL,13:36
141,RUA NESTOR DE CASTRO,DIA ÚTIL,13:48
142,RUA NESTOR DE CASTRO,DIA ÚTIL,14:00
143,RUA NESTOR DE CASTRO,DIA ÚTIL,14:11
144,RUA NESTOR DE CASTRO,DIA ÚTIL,14:22
145,RUA NESTOR DE CASTRO,DIA ÚTIL,14:33
146,RUA NESTOR DE CASTRO,DIA ÚTIL,14:45
147,RUA NESTOR DE CASTRO,DIA ÚTIL,14:57
148,RUA NESTOR DE CASTRO,DIA ÚTIL,15:08
149,RUA NESTOR DE CASTRO,DIA ÚTIL,15:20
150,RUA NESTOR DE CASTRO,DIA ÚTIL,15:32
151,RUA NESTOR DE CASTRO,DIA ÚTIL,15:43
152,RUA NESTOR DE CASTRO,DIA ÚTIL,15:54
153,RUA NESTOR DE CASTRO,DIA ÚTIL,16:06
154,RUA NESTOR DE CASTRO,DIA ÚTIL,16:17
155,RUA NESTOR DE CASTRO,DIA ÚTIL,16:29
156,RUA NESTOR DE CASTRO,DIA ÚTIL,16:40
157,RUA NESTOR DE CASTRO,DIA ÚTIL,16:51
158,RUA NESTOR DE CASTRO,DIA ÚTIL,17:02
159,RUA NESTOR DE CASTRO,DIA ÚTIL,17:12
160,RUA NESTOR DE CASTRO,DIA ÚTIL,17:22
161,RUA NESTOR DE CASTRO,DIA ÚTIL,17:32
162,RUA NESTOR DE CASTRO,DIA ÚTIL,17:42
163,RUA NESTOR DE CASTRO,DIA ÚTIL,17:52
164,RUA NESTOR DE CASTRO,DIA ÚTIL,18:02
165,RUA NESTOR DE CASTRO,DIA ÚTIL,18:12
166,RUA NESTOR DE CASTRO,DIA ÚTIL,18:22
167,RUA NESTOR DE CASTRO,DIA ÚTIL,18:32
168,RUA NESTOR DE CASTRO,DIA ÚTIL,18:42
169,RUA NESTOR DE CASTRO,DIA ÚTIL,18:52
170,RUA NESTOR DE CASTRO,DIA ÚTIL,19:02
171,RUA NESTOR DE CASTRO,DIA ÚTIL,19:14
172,RUA NESTOR DE CASTRO,DIA ÚTIL,19:27
173,RUA NESTOR DE CASTRO,DIA ÚTIL,19:41
174,RUA NESTOR DE CASTRO,DIA ÚTIL,19:55
175,RUA NESTOR DE CASTRO,DIA ÚTIL,20:09
176,RUA NESTOR DE CASTRO,DIA ÚTIL,20:23
177,RUA NESTOR DE CASTRO,DIA ÚTIL,20:37
178,RUA NESTOR DE CASTRO,DIA ÚTIL,20:51
179,RUA NESTOR DE CASTRO,DIA ÚTIL,21:05
180,RUA NESTOR DE CASTRO,DIA ÚTIL,21:19
181,RUA NESTOR DE CASTRO,DIA ÚTIL,21:33
182,RUA NESTOR DE CASTRO,DIA ÚTIL,21:47
183,RUA NESTOR DE CASTRO,DIA ÚTIL,22:00
184,RUA NESTOR DE CASTRO,DIA ÚTIL,22:13
185,RUA NESTOR DE CASTRO,DIA ÚTIL,22:26
186,RUA NESTOR DE CASTRO,DIA ÚTIL,22:39
187,RUA NESTOR DE CASTRO,DIA ÚTIL,22:52
188,RUA NESTOR DE CASTRO,DIA ÚTIL,23:06
189,RUA NESTOR DE CASTRO,DIA ÚTIL,23:23
190,RUA NESTOR DE CASTRO,DIA ÚTIL,23:40
191,RUA NESTOR DE CASTRO,DIA ÚTIL,00:00
192,RUA NESTOR DE CASTRO,DIA ÚTIL,00:25
193,RUA NESTOR DE CASTRO,DIA ÚTIL,00:50
194,TROMBINI/SENTIDO CENTRO,DIA ÚTIL,15:10
195,TROMBINI/SENTIDO CENTRO,DIA ÚTIL,23:05
196,TROMBINI/SENTIDO STA.FELICIDAD,DIA ÚTIL,23:15
197,TERMINAL SANTA FELICIDADE,SÁBADO,05:20
198,TERMINAL SANTA FELICIDADE,SÁBADO,05:33
199,TERMINAL SANTA FELICIDADE,SÁBADO,05:46
200,TERMINAL SANTA FELICIDADE,SÁBADO,05:59
201,TERMINAL SANTA FELICIDADE,SÁBADO,06:12
202,TERMINAL SANTA FELICIDADE,SÁBADO,06:25
203,TERMINAL SANTA FELICIDADE,SÁBADO,06:38
204,TERMINAL SANTA FELICIDADE,SÁBADO,06:51
205,TERMINAL SANTA FELICIDADE,SÁBADO,07:04
206,TERMINAL SANTA FELICIDADE,SÁBADO,07:17
207,TERMINAL SANTA FELICIDADE,SÁBADO,07:30
208,TERMINAL SANTA FELICIDADE,SÁBADO,07:43
209,TERMINAL SANTA FELICIDADE,SÁBADO,07:56
210,TERMINAL SANTA FELICIDADE,SÁBADO,08:09
211,TERMINAL SANTA FELICIDADE,SÁBADO,08:22
212,TERMINAL SANTA FELICIDADE,SÁBADO,08:35
213,TERMINAL SANTA FELICIDADE,SÁBADO,08:49
214,TERMINAL SANTA FELICIDADE,SÁBADO,09:02
215,TERMINAL SANTA FELICIDADE,SÁBADO,09:16
216,TERMINAL SANTA FELICIDADE,SÁBADO,09:29
217,TERMINAL SANTA FELICIDADE,SÁBADO,09:43
218,TERMINAL SANTA FELICIDADE,SÁBADO,09:56
219,TERMINAL SANTA FELICIDADE,SÁBADO,10:10
220,TERMINAL SANTA FELICIDADE,SÁBADO,10:23
221,TERMINAL SANTA FELICIDADE,SÁBADO,10:37
222,TERMINAL SANTA FELICIDADE,SÁBADO,10:50
223,TERMINAL SANTA FELICIDADE,SÁBADO,11:04
224,TERMINAL SANTA FELICIDADE,SÁBADO,11:17
225,TERMINAL SANTA FELICIDADE,SÁBADO,11:31
226,TERMINAL SANTA FELICIDADE,SÁBADO,11:44
227,TERMINAL SANTA FELICIDADE,SÁBADO,11:58
228,TERMINAL SANTA FELICIDADE,SÁBADO,12:11
229,TERMINAL SANTA FELICIDADE,SÁBADO,12:25
230,TERMINAL SANTA FELICIDADE,SÁBADO,12:39
231,TERMINAL SANTA FELICIDADE,SÁBADO,12:52
232,TERMINAL SANTA FELICIDADE,SÁBADO,13:06
233,TERMINAL SANTA FELICIDADE,SÁBADO,13:20
234,TERMINAL SANTA FELICIDADE,SÁBADO,13:34
235,TERMINAL SANTA FELICIDADE,SÁBADO,13:48
236,TERMINAL SANTA FELICIDADE,SÁBADO,14:02
237,TERMINAL SANTA FELICIDADE,SÁBADO,14:16
238,TERMINAL SANTA FELICIDADE,SÁBADO,14:30
239,TERMINAL SANTA FELICIDADE,SÁBADO,14:45
240,TERMINAL SANTA FELICIDADE,SÁBADO,15:00
241,TERMINAL SANTA FELICIDADE,SÁBADO,15:15
242,TERMINAL SANTA FELICIDADE,SÁBADO,15:30
243,TERMINAL SANTA FELICIDADE,SÁBADO,15:45
244,TERMINAL SANTA FELICIDADE,SÁBADO,16:00
245,TERMINAL SANTA FELICIDADE,SÁBADO,16:15
246,TERMINAL SANTA FELICIDADE,SÁBADO,16:30
247,TERMINAL SANTA FELICIDADE,SÁBADO,16:44
